approxkl,explained_variance,serial_timesteps,ep_reward_mean,policy_entropy,clipfrac,ep_len_mean,total_timesteps,n_updates,time_elapsed,fps,value_loss,policy_loss
0.004539251,-2.3817873001098633,79872,0.0,1.3007947,0.047265626,86.3,79872,39,187.301509141922,441,5.5068456e-05,-0.003384848
0.0026232929,-1.5196750164031982,81920,0.0,1.2885339,0.02421875,82.99,81920,40,191.94276547431946,427,2.434412e-07,-0.00058554363
0.004024733,-1.9611027240753174,83968,0.0,1.2766407,0.046044923,82.43,83968,41,196.73266124725342,423,2.165704e-07,-0.0036475975
0.0033563196,-0.253581166267395,86016,0.0,1.2692286,0.036865234,86.21,86016,42,201.56900334358215,415,9.801577e-07,-0.0019382767
0.003915674,-2.6876883506774902,88064,0.0,1.2515117,0.040283203,88.48,88064,43,206.5053195953369,422,2.35081e-06,-0.0026481035
0.003860583,-1.584157943725586,90112,0.0,1.2315431,0.041796874,94.82,90112,44,211.3584268093109,420,3.7992904e-06,-0.004334218
0.0031232252,-0.22777986526489258,92160,0.0,1.2252276,0.032958984,95.72,92160,45,216.22529220581055,438,7.897028e-05,-0.00041497778
0.004541894,0.29755181074142456,94208,0.0,1.230385,0.051464844,97.27,94208,46,220.9018828868866,438,9.017955e-06,-0.0029260837
0.0063713887,0.6680563986301422,96256,0.0,1.2277396,0.08203125,98.83,96256,47,225.57848834991455,432,1.7264883e-06,-0.0065279743
0.006731202,0.45661431550979614,98304,0.0,1.2217529,0.087939456,102.98,98304,48,230.31769323349,411,4.16436e-06,-0.008674243
0.0063128634,0.5283268690109253,100352,0.0,1.2217734,0.0730957,101.51,100352,49,235.2937252521515,425,2.2638537e-06,-0.0053040097
0.004884369,0.26428860425949097,102400,0.0,1.2256576,0.058789063,104.78,102400,50,240.1131944656372,433,6.799197e-07,-0.0036352645
0.004761709,-0.4663642644882202,104448,0.0,1.2249137,0.05805664,104.89,104448,51,244.8373532295227,424,5.3873955e-06,-0.005496059
0.0046327407,0.26001614332199097,106496,0.0,1.2079699,0.050390624,104.39,106496,52,249.65871715545654,405,3.5886023e-07,-0.004875145
0.0046695517,0.07250481843948364,108544,0.0,1.208838,0.05307617,100.7,108544,53,254.71058225631714,437,6.3506072e-06,-0.001911856
0.0035912816,0.5927860736846924,110592,0.0,1.2197758,0.04033203,97.19,110592,54,259.3963794708252,435,3.0241665e-06,-0.0026627502
0.0029089558,0.5655179023742676,112640,0.0,1.2066556,0.02578125,101.74,112640,55,264.09845638275146,406,5.9069976e-06,-0.0013866238
0.00374014,0.34169822931289673,114688,0.0,1.1844482,0.039453126,100.93,114688,56,269.1379177570343,420,1.0159487e-06,-0.002519662
0.005649064,-0.4354315996170044,116736,0.0,1.1644484,0.062207032,100.17,116736,57,274.00756311416626,404,2.1605618e-05,-0.00482606
