fps,value_loss,serial_timesteps,n_updates,policy_loss,clipfrac,total_timesteps,explained_variance,policy_entropy,time_elapsed,ep_reward_mean,approxkl,ep_len_mean
309,44.629143,79872,39,-0.0043777097,0.044970702,79872,0.7046697437763214,1.7320347,244.5351538658142,294.21877624,0.003733335,315.3
311,40.222977,81920,40,-0.008180745,0.057958983,81920,0.7389281690120697,1.7513654,251.14573669433594,298.17143331000005,0.0046514785,319.45
309,43.806435,83968,41,-0.0026532174,0.037597656,83968,0.7586569786071777,1.7756348,257.7137932777405,309.53006455999997,0.003370916,331.02
310,44.973557,86016,42,-0.0040750196,0.025732422,86016,0.6827558875083923,1.7730986,264.33539962768555,311.73788566999997,0.002606803,333.12
306,37.735634,88064,43,-0.001542584,0.02319336,88064,0.8415865302085876,1.7757397,270.94294452667236,314.19269414,0.0023285702,335.46
310,35.991104,90112,44,-0.006869038,0.043066405,90112,0.7687164545059204,1.7981962,277.6384012699127,315.64206864,0.003546936,337.06
309,33.55143,92160,45,-0.0016646248,0.020117188,92160,0.8505432158708572,1.8166981,284.24148654937744,316.04222468,0.0023778183,337.61
317,32.625195,94208,46,-0.003728443,0.02607422,94208,0.8215590417385101,1.8110139,290.8510925769806,311.73971307,0.002704457,333.16
308,35.878548,96256,47,-0.0029639034,0.033154298,96256,0.8360729962587357,1.8180475,297.30290627479553,318.30813376000003,0.002919113,339.85
306,29.697952,98304,48,-0.001523446,0.01040039,98304,0.8953959047794342,1.8290551,303.9399929046631,319.75377216,0.0017058406,341.25
313,34.894814,100352,49,-0.0043626437,0.03691406,100352,0.7724207490682602,1.8357565,310.61627674102783,315.84498822,0.0032026477,337.39
306,31.618092,102400,50,-0.002068847,0.02421875,102400,0.7798880040645599,1.8499014,317.1447083950043,317.17137111,0.0024045655,338.71
313,27.003397,104448,51,-0.0054712477,0.049072266,104448,0.8916948214173317,1.8595753,323.8269593715668,314.32547943000003,0.0040965797,336.07
305,29.104374,106496,52,-0.0019279585,0.009521484,106496,0.8822265639901161,1.8694378,330.3670666217804,316.59045268,0.0015738381,338.6
314,27.717422,108544,53,-0.0025354088,0.025048828,108544,0.8371608108282089,1.874493,337.0642774105072,313.76076958,0.0025125812,335.6
304,29.706015,110592,54,-0.0039914655,0.033496093,110592,0.8336329609155655,1.8724699,343.58312797546387,316.02320823,0.003233634,337.87
301,27.015911,112640,55,-0.0022268682,0.029052734,112640,0.8778511509299278,1.8725901,350.31545209884644,321.72815496,0.002748442,343.36
311,24.243507,114688,56,-0.0003603439,0.014404297,114688,0.9334279149770737,1.8738649,357.10385823249817,319.52399463,0.0018803084,340.74
303,23.814688,116736,57,-0.0011299944,0.021386718,116736,0.9220557436347008,1.8770399,363.67552757263184,318.5651646199999,0.0025448732,339.61
303,24.096409,118784,58,-0.005508919,0.049072266,118784,0.9416418373584747,1.8951746,370.42045307159424,316.59963968000005,0.0040251007,337.49
