#{"t_start": 1566681484.0639677, "env_id": null}
r,l,t
45.296272,48,0.979145
41.086128,44,1.087645
32.222226,35,1.173269
46.905174,50,1.305057
58.559204,63,1.461613
38.923522,43,1.577648
32.863653,36,1.669446
63.945337,66,1.831963
46.976271,49,1.9461
43.258416,45,2.054243
44.395242,46,2.162191
58.165475,62,2.331508
46.003254,51,2.483672
51.443018,57,2.652323
46.903394,52,2.802964
49.481159,55,2.948531
101.325069,111,3.256213
37.92425,43,3.3562
72.128616,80,3.572443
47.678024,54,3.701095
88.145266,98,3.948024
40.352715,45,4.063522
52.413389,55,4.202703
40.532924,42,4.310596
68.104458,71,4.493701
67.854638,70,4.675967
65.760003,68,4.858257
58.038709,60,5.005092
46.331969,50,5.121936
55.037754,62,5.274007
50.665502,57,5.41666
37.146831,41,5.52125
68.059364,74,5.714467
87.419996,96,5.96859
42.243994,47,6.081898
50.70261,57,6.947411
69.289214,77,7.156945
63.458799,70,7.338314
57.542913,64,7.50024
43.899808,49,7.634135
41.721751,47,7.761399
40.048486,45,7.871402
39.938394,45,7.97267
43.891731,49,8.097401
94.991875,102,8.390607
40.039775,44,8.495796
44.422618,49,8.640643
32.434677,36,8.750071
39.317083,43,8.875973
54.069029,59,9.045394
76.250226,83,9.285533
53.314032,59,9.424211
49.721726,55,9.568029
110.031994,122,9.897695
35.032373,40,9.997365
46.4543,52,10.128543
55.78295,63,10.28899
46.205165,50,10.412717
47.545628,52,10.551677
105.554547,115,10.854214
35.718103,39,10.954193
87.071123,94,11.196777
45.65781,50,11.32741
52.999506,57,11.469735
146.808168,155,11.868693
41.0604,43,11.987339
55.692581,59,12.123243
48.172275,51,12.790801
59.623953,62,12.964686
52.617944,55,13.103776
72.346062,75,13.299544
46.277713,49,13.422786
67.628805,73,13.609125
38.68538,42,13.713577
67.109726,70,13.911544
45.084839,48,14.030924
55.502987,60,14.195485
55.152214,61,14.354162
44.514923,50,14.470342
47.125316,50,14.58563
54.167174,59,14.736134
107.704491,116,15.108133
61.862844,68,15.300558
58.574733,65,15.473761
58.865555,66,15.638328
47.275444,53,15.77096
49.849001,55,15.913956
50.795069,56,16.056739
44.715379,49,16.17318
69.79499,75,16.381057
64.543087,68,16.565362
42.639107,46,16.674417
67.014054,69,16.864036
44.787268,47,16.97257
53.800523,61,17.142916
43.841597,47,17.2525
48.428025,51,17.382735
80.349545,87,17.611124
30.429488,34,17.69097
45.116129,50,17.811071
61.760454,67,17.976637
100.745048,110,18.826158
62.723116,67,19.010005
53.170092,57,19.152211
64.196624,70,19.324229
75.891342,82,19.536986
80.554402,87,19.757902
69.100925,75,19.953518
78.388816,84,20.173787
68.49046,73,20.359277
54.189309,61,20.526503
58.417613,66,20.692028
59.907272,67,20.874592
44.952386,51,21.014784
52.436552,59,21.194181
46.614055,49,21.326134
66.591916,69,21.513623
93.413401,96,21.772049
56.98967,59,21.919899
56.133027,58,22.066141
39.16394,41,22.170963
73.178379,79,22.388164
68.708226,74,22.58023
64.032512,67,22.738771
41.991407,44,22.853891
81.906065,86,23.095946
77.546427,80,23.299594
81.415128,85,23.521638
68.698296,72,23.695683
46.562036,50,23.824726
37.729873,40,23.918885
49.704792,53,24.582741
56.739911,60,24.762559
62.426289,66,24.934335
55.064644,58,25.083595
61.229987,64,25.248044
58.733391,61,25.406882
57.599638,60,25.575829
60.853822,64,25.728293
49.214598,53,25.861532
76.323777,84,26.085958
77.922084,85,26.303913
57.481069,63,26.462486
41.442733,46,26.568983
69.204717,76,26.770064
59.956184,66,26.937814
63.764063,69,27.139105
44.488822,46,27.276301
77.856854,80,27.521363
52.792708,55,27.662154
67.720667,70,27.85141
78.163701,80,28.061941
92.685437,96,28.311275
66.744955,71,28.493736
119.180003,121,28.819587
112.064543,115,29.132274
91.347563,98,29.398186
52.991971,57,29.544087
85.443876,91,29.78
121.241703,124,30.662293
96.203272,99,30.93165
79.764619,82,31.138291
102.738157,106,31.431082
152.332816,157,31.862001
65.67861,68,32.028589
72.109373,78,32.231632
81.816916,88,32.467321
130.025337,140,32.843578
86.368908,96,33.08448
51.136812,57,33.254652
51.980829,58,33.422658
78.613897,88,33.698448
57.083871,65,33.88036
54.351504,60,34.033163
56.931509,61,34.181558
59.501501,64,34.345344
56.739356,61,34.506158
65.511251,70,34.678989
61.16786,65,34.847928
76.788314,79,35.054441
61.215481,64,35.217351
67.303032,74,35.409883
114.730237,124,35.732194
79.927737,86,35.953865
102.95941,111,36.79039
95.599116,103,37.065938
76.352356,83,37.276059
92.850113,100,37.541732
47.191004,51,37.667813
92.304672,99,37.933434
85.1368,93,38.17215
150.857714,165,38.618122
100.654407,112,38.914323
82.289843,92,39.153112
93.909841,101,39.45098
75.659747,84,39.713105
50.216405,54,39.859237
79.017901,86,40.09465
50.965854,53,40.236952
39.104117,41,40.347088
97.962706,104,40.625015
244.024703,258,41.315503
48.397957,52,41.453375
104.11725,112,41.745611
66.612449,72,41.936479
64.370663,69,42.658251
76.096963,84,42.896641
80.125896,89,43.124336
60.947203,68,43.301405
81.053353,90,43.539932
58.188015,65,43.711556
73.436517,81,43.921076
132.921883,140,44.31278
155.002032,160,44.749913
124.817342,129,45.091959
77.209135,82,45.310833
69.513482,72,45.497669
163.17387,172,46.04898
109.332903,112,46.388268
85.679702,90,46.61733
76.211149,83,46.833051
92.261833,101,47.084517
90.130261,98,47.348777
134.60954,148,47.749183
121.509724,135,48.107072
127.192893,140,49.056787
158.654816,169,49.508513
152.951585,164,49.951822
57.71398,63,50.104876
129.672706,144,50.486848
83.563875,93,50.730161
77.995149,86,50.958988
90.869472,98,51.217171
116.092322,124,51.546849
101.962058,106,51.8466
107.143238,111,52.21632
101.021752,106,52.51264
117.806912,127,52.865162
86.010179,94,53.116437
107.024407,117,53.430958
68.113595,75,53.61701
165.015706,176,54.101834
114.546723,124,54.966947
86.11102,93,55.214663
179.384916,184,55.731432
79.123692,82,55.952977
97.551709,102,56.247371
121.105305,127,56.573804
104.11559,112,56.886884
108.980725,117,57.194185
113.531032,127,57.54055
99.75753,110,57.837946
140.247281,146,58.321051
104.479951,109,58.636024
92.662391,101,58.909797
68.922373,76,59.11529
148.167797,160,59.544504
67.833576,70,59.72314
170.416459,178,60.205233
51.959466,56,60.355153
91.167028,99,61.168954
62.013047,65,61.348247
143.181019,154,61.760918
97.43263,103,62.022956
115.991766,127,62.37172
95.174538,104,62.638181
124.962927,135,63.001215
84.417359,95,63.249786
92.662818,104,63.519969
179.215717,190,64.034236
133.287902,141,64.470876
242.406314,256,65.216353
185.497075,197,65.749325
158.687257,172,66.212834
164.184187,176,67.243383
162.022101,173,67.732931
104.162229,114,68.029461
91.32415,102,68.298301
125.897805,132,68.648612
184.158853,193,69.193617
189.114258,207,69.760935
109.300319,116,70.05691
