policy_loss,fps,n_updates,serial_timesteps,ep_reward_mean,value_loss,approxkl,explained_variance,ep_len_mean,clipfrac,policy_entropy,time_elapsed,total_timesteps
-0.0017176971,412,1,2048,88.37659666666666,3.3300838,0.0020667468,0.21720755100250244,530.3333333333334,0.01826172,1.4193537,2.6226043701171875e-06,2048
-0.0022357279,392,2,4096,115.98232324999998,4.664298,0.0023232969,-0.16529643535614014,703.0,0.021386718,1.4242359,4.968630313873291,4096
-0.0014191315,423,3,6144,176.25785299999998,4.9111376,0.0014689633,0.022439420223236084,972.2,0.010253906,1.4364195,10.18831467628479,6144
-0.003953536,416,4,8192,203.35471016666665,6.695578,0.0035326493,0.055914998054504395,1073.0,0.041796874,1.4503111,15.023157596588135,8192
-0.0008077238,432,5,10240,232.19241714285712,6.917163,0.0014850202,0.31568610668182373,1172.0,0.0078125,1.4458631,19.938751220703125,10240
-0.0030825643,406,6,12288,266.36575875,7.51068,0.0023653125,0.18208932876586914,1281.625,0.021191407,1.4335511,24.673235416412354,12288
-0.0024615617,401,7,14336,254.81711383333334,4.610127,0.003058226,0.11754465103149414,1171.3333333333333,0.030126953,1.4321978,29.717524766921997,14336
-0.0037824865,426,8,16384,234.389173,4.2717524,0.0033845804,0.17746150493621826,1086.4,0.03652344,1.4276285,34.81465983390808,16384
-0.0031830047,400,9,18432,180.0004060909091,3.2213223,0.0026697537,0.36552685499191284,835.7272727272727,0.02836914,1.42484,39.62014961242676,18432
-0.0067669847,418,10,20480,150.66177144827583,2.8440764,0.005207199,0.5705558955669403,700.9310344827586,0.060302734,1.4367068,44.73528861999512,20480
-0.0036929324,429,11,22528,129.33777602702705,2.1576245,0.0046575805,0.7302151024341583,603.7837837837837,0.052197266,1.4412726,49.62513494491577,22528
-0.004323912,384,12,24576,129.81575239473685,4.2740235,0.003706752,0.4740562438964844,608.0,0.040039062,1.428993,54.392394065856934,24576
-0.0014567053,430,13,26624,135.88084662790695,6.923485,0.002094171,0.4705921411514282,615.4883720930233,0.015380859,1.4308617,59.7189462184906,26624
-0.0012467407,392,14,28672,133.41730778723402,3.2404618,0.0015482072,0.6600238382816315,601.1914893617021,0.012207031,1.443532,64.47686672210693,28672
-0.005359742,422,15,30720,123.53677725454547,1.6546571,0.003736414,0.8157061487436295,556.2545454545455,0.03754883,1.4455855,69.69856595993042,30720
-0.0024784647,418,16,32768,120.59164993333334,1.9104183,0.0028784156,0.7575660943984985,543.5666666666667,0.027685547,1.442844,74.54601001739502,32768
-0.0010961923,360,17,34816,122.62820129032258,4.03019,0.0030878414,0.3771708607673645,550.6612903225806,0.03227539,1.4382352,79.44129157066345,34816
-0.0024029636,371,18,36864,126.49727698437499,3.104619,0.0026464523,0.7004919946193695,563.65625,0.022998046,1.4354336,85.11723828315735,36864
-0.0017603517,382,19,38912,131.4461181044776,4.299871,0.003364471,0.5168180465698242,577.2835820895523,0.037841797,1.4452312,90.63754844665527,38912
-0.0021422275,399,20,40960,129.4265527826087,4.3671403,0.003276404,0.7487246990203857,568.6231884057971,0.034179688,1.4506433,95.98772168159485,40960
-0.0011962139,365,21,43008,136.03225384285713,6.374597,0.0024518815,0.7197197377681732,588.4714285714285,0.01845703,1.4338582,101.11340713500977,43008
-0.0034242116,409,22,45056,145.01748883333332,4.5657716,0.0032672337,0.4694696068763733,612.0416666666666,0.034277342,1.4224777,106.72420263290405,45056
-0.0058351634,377,23,47104,149.53246115068492,6.195753,0.0051377797,0.5374610424041748,623.8493150684932,0.06679688,1.4238101,111.73259997367859,47104
-0.0035047538,401,24,49152,157.3952212162162,5.684247,0.0037665502,0.5369119942188263,643.1081081081081,0.03779297,1.4176267,117.15650963783264,49152
-0.0027724386,402,25,51200,167.70347213157896,3.3446457,0.0030191895,0.572152853012085,673.5394736842105,0.031396486,1.4046556,122.25868773460388,51200
-0.004099765,395,26,53248,170.977351987013,1.8985465,0.0034523166,0.7949705868959427,683.7402597402597,0.038427733,1.4078252,127.35358667373657,53248
-0.0024195274,385,27,55296,176.8874325897436,3.278848,0.0025815407,0.5053982436656952,701.2435897435897,0.024951171,1.4114244,132.53748393058777,55296
-0.0039482047,400,28,57344,181.4278832875,4.147645,0.0026013907,0.16535687446594238,714.575,0.020898437,1.4094293,137.85473132133484,57344
