policy_loss,total_timesteps,n_updates,serial_timesteps,explained_variance,fps,ep_reward_mean,clipfrac,policy_entropy,value_loss,approxkl,ep_len_mean,time_elapsed
-0.0026062645,2048,1,2048,-0.013024568557739258,273,1532.554909,0.025292968,1.421313,88.43265,0.0027305835,1905.0,1.1920928955078125e-05
-0.0011667418,4096,2,4096,-0.041027188301086426,248,1007.1748019999999,0.0125488285,1.4283488,73.02281,0.0015511544,1328.6666666666667,7.499542474746704
-0.0012533311,6144,3,6144,-0.08629977703094482,160,467.47715924999994,0.011132812,1.4265544,42.128857,0.0020254033,675.0,15.730533361434937
-0.0019446623,8192,4,8192,-0.07621502876281738,84,288.8793083333333,0.017822266,1.4201531,33.541943,0.0022278288,450.8333333333333,28.48997926712036
-0.0021082375,10240,5,10240,-0.14120566844940186,114,218.75494007142856,0.01430664,1.4154041,27.450779,0.0017344372,361.67857142857144,52.66567397117615
-0.0022659262,12288,6,12288,-0.07168459892272949,124,200.19308777777778,0.01953125,1.4066569,34.678413,0.0023630718,339.0,70.59167957305908
-0.0031299896,14336,7,14336,-0.14122748374938965,113,182.41318133333334,0.025976563,1.4040897,30.03834,0.0026674403,316.5111111111111,86.99401807785034
-0.0020595547,16384,8,16384,-0.1973665952682495,109,170.50846442592592,0.011376953,1.3964453,30.188297,0.0016795881,300.5740740740741,105.08746767044067
-0.0024479753,18432,9,18432,-0.1685779094696045,142,172.18646116666665,0.02451172,1.3890059,38.06402,0.0027092893,304.4166666666667,123.84330987930298
-0.002425762,20480,10,20480,-0.0926675796508789,96,167.99671355882353,0.031542968,1.3818932,32.501804,0.0029763044,299.2352941176471,138.21137142181396
-0.0006449575,22528,11,22528,-0.1442575454711914,109,157.30165117721523,0.006201172,1.3758574,22.92468,0.0010732295,284.36708860759495,159.50846672058105
-0.0031434733,24576,12,24576,-0.1425487995147705,121,156.836860372093,0.02709961,1.3751628,30.49242,0.002676021,284.7906976744186,178.28780579566956
-0.0023825672,26624,13,26624,-0.12240850925445557,141,155.28092703225806,0.01118164,1.3746173,28.785788,0.0017451243,283.16129032258067,195.1463258266449
-0.0013948275,28672,14,28672,0.030830800533294678,112,142.08962611,0.016992187,1.3775125,33.785805,0.0019994453,267.46,209.65192532539368
-0.0017787336,30720,15,30720,-0.015894055366516113,131,124.25550557999999,0.03955078,1.3731055,25.53381,0.0037437254,243.11,227.87600421905518
-0.0027363433,32768,16,32768,-0.04076993465423584,339,124.27825527,0.038476564,1.3670278,81.00609,0.003622181,242.98,243.4093999862671
-0.003229563,34816,17,34816,-0.0018385648727416992,259,140.94067188,0.03769531,1.3714831,75.69252,0.0035874997,261.58,249.44278192520142
-0.0051624314,36864,18,36864,0.018597841262817383,176,162.5655736,0.055615235,1.385238,43.933765,0.004357818,287.21,257.3417921066284
-0.0032001045,38912,19,38912,-0.18343937397003174,301,179.20559869000002,0.046923827,1.3951151,79.17173,0.0040875985,305.53,268.91948318481445
-0.0030023598,40960,20,40960,-0.10201847553253174,217,185.64374389999998,0.036572266,1.3925172,54.32065,0.00344381,314.81,275.71676087379456
-0.0024047466,43008,21,43008,0.05207622051239014,379,202.23208173999996,0.029492188,1.405999,74.60512,0.0027781979,333.49,285.1540529727936
-0.0031053436,45056,22,45056,-0.1297246217727661,271,220.62616004,0.03803711,1.4192355,61.054554,0.0033946238,354.74,290.54648089408875
-0.0013830059,47104,23,47104,-0.08004188537597656,252,225.27707246999995,0.02241211,1.4182584,71.58324,0.00265154,360.23,298.0900092124939
-0.001632435,49152,24,49152,-0.14714622497558594,325,241.68880436999996,0.022998046,1.4189761,71.955,0.002423487,378.36,306.2090184688568
-0.0016070803,51200,25,51200,0.062016189098358154,247,258.42964295999997,0.023486327,1.4232877,72.57395,0.0026904722,396.76,312.50402212142944
-0.0037607034,53248,26,53248,-0.1971299648284912,280,276.46141672,0.05024414,1.418544,54.436554,0.004700777,417.09,320.78685903549194
-0.0019583057,55296,27,55296,-0.21695804595947266,313,292.56628168000003,0.014746094,1.4223311,64.508064,0.0017356286,435.57,328.09872698783875
-0.0033604852,57344,28,57344,-0.1109917163848877,306,308.84770154,0.03881836,1.4216977,64.69971,0.003990096,454.01,334.63556456565857
-0.0008473553,59392,29,59392,-0.049254536628723145,380,325.30552411,0.011132812,1.4130515,63.349586,0.0015764323,472.6,341.31698274612427
-0.0044384403,61440,30,61440,-0.06905019283294678,365,337.75935018,0.04350586,1.4304651,62.203102,0.0037380916,485.66,346.6988437175751
-0.0031290848,63488,31,63488,-0.0040585994720458984,123,356.8936836100001,0.018554688,1.443115,28.555954,0.0019547804,509.12,352.3070442676544
-0.00038662585,65536,32,65536,0.12574481964111328,153,359.98481014,0.0032714843,1.4406383,19.333225,0.00078660157,513.71,368.8451044559479
-0.0015345783,67584,33,67584,0.0010781288146972656,249,374.8801482999999,0.033154298,1.442991,55.450966,0.0031968858,530.51,382.18507742881775
-0.001720934,69632,34,69632,0.18384432792663574,109,377.42009549,0.0060546873,1.4491141,15.765005,0.0009094473,534.92,390.3880681991577
-0.00449532,71680,35,71680,0.20790696144104004,92,374.50739605999996,0.046582032,1.4474115,15.443906,0.0040684585,531.02,409.0097060203552
-0.0037380778,73728,36,73728,0.24170589447021484,141,377.1355555799999,0.01669922,1.4480093,17.9679,0.0022005932,535.63,431.03836846351624
-0.0014701685,75776,37,75776,0.04555916786193848,302,393.15470651,0.042675782,1.4394276,54.489754,0.0038369764,554.28,445.49523305892944
-0.00060716993,77824,38,77824,0.12141662836074829,227,395.5786306199999,0.04086914,1.4305637,42.425385,0.0036867731,558.09,452.26833152770996
-0.0024913552,79872,39,79872,0.0974084734916687,386,412.04994541,0.031298827,1.4270775,52.59847,0.0030869415,576.42,461.2887749671936
-0.002524693,81920,40,81920,0.0977097749710083,146,430.29230606,0.019873047,1.4266609,29.413769,0.0018978463,598.85,466.58983302116394
-0.0014198432,83968,41,83968,-0.022655367851257324,252,445.86811653000007,0.025439452,1.429008,53.042816,0.0024829658,617.41,480.5473840236664
-0.0030684576,86016,42,86016,0.006971597671508789,360,462.59791726,0.031152343,1.4375117,57.698383,0.0030738642,636.11,488.65747022628784
-0.0017283626,88064,43,88064,0.029923439025878906,363,479.5689276899999,0.02241211,1.4394615,58.053997,0.0024523,654.81,494.3327670097351
