total_timesteps,ep_reward_mean,clipfrac,value_loss,explained_variance,fps,ep_len_mean,time_elapsed,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps
77824,0.0,0.041015625,7.051332e-06,-0.5364938974380493,431,574.6,183.52824234962463,1.1277668,-0.0014297975,0.0037634629,38,77824
79872,0.0,0.049609374,4.299282e-06,-0.25003087520599365,413,584.08,188.27320528030396,1.1262784,-0.0021134834,0.0043041995,39,79872
81920,0.0,0.03515625,7.710159e-06,-0.6296969652175903,433,595.38,193.22844910621643,1.1270897,-0.0020464715,0.003408347,40,81920
83968,0.0,0.050878905,9.628609e-07,-1.366739273071289,390,602.44,197.95488858222961,1.1242925,-0.005327356,0.0044202176,41,83968
86016,0.0,0.056884766,3.902152e-06,-0.8216907978057861,429,608.54,203.20369958877563,1.1272382,-0.0017198583,0.0044941925,42,86016
88064,0.0,0.039648436,2.072894e-06,-0.6362433433532715,432,615.45,207.97708702087402,1.1363683,-0.0013318921,0.003535128,43,88064
90112,0.0,0.052246094,2.8498009e-05,-0.5287996530532837,432,619.35,212.71887016296387,1.1368895,-0.001945779,0.00456886,44,90112
92160,0.0,0.057421874,1.0611427e-06,-0.3545161485671997,412,629.12,217.45645093917847,1.1225231,-0.0034917947,0.005023608,45,92160
94208,0.0,0.033251952,1.1932411e-06,-0.581555962562561,424,633.64,222.42220783233643,1.1093339,-0.0004038873,0.0031608562,46,94208
96256,0.0,0.07504883,3.6985585e-07,-0.5955421924591064,417,639.59,227.24399280548096,1.1271456,-0.0050891233,0.0057778745,47,96256
98304,0.0,0.078222655,2.3574287e-06,-1.4133665561676025,416,644.76,232.15577244758606,1.1499436,-0.0055006286,0.006005357,48,98304
100352,0.0,0.03671875,1.4786345e-05,-0.5886307954788208,405,651.1,237.071772813797,1.1510856,-0.0021634824,0.003723072,49,100352
102400,0.0,0.0496582,2.9879305e-07,-0.6414804458618164,424,655.76,242.122496843338,1.1426363,-0.0016767473,0.0041402536,50,102400
104448,0.0,0.068115234,1.6470115e-06,-0.585788369178772,442,661.52,246.95513105392456,1.1510296,-0.0035427485,0.0052903555,51,104448
106496,0.0,0.047265626,1.2915804e-06,-1.31428861618042,390,664.91,251.58501148223877,1.158369,-0.0020386758,0.0040632733,52,106496
108544,0.0,0.04482422,5.2445137e-07,-1.506054162979126,442,671.13,256.8260061740875,1.1454438,-0.002717712,0.0042163404,53,108544
110592,0.0,0.062353514,1.0516541e-06,-1.057328701019287,401,674.31,261.4525496959686,1.1338294,-0.0010576335,0.0051936638,54,110592
112640,0.0,0.047021486,2.8561728e-05,-2.1188137531280518,442,679.49,266.5598692893982,1.1288834,-0.001767813,0.0042731958,55,112640
114688,0.0,0.03779297,4.3965457e-07,-3.1088504791259766,424,682.07,271.1866886615753,1.1085536,-0.003560108,0.0036640659,56,114688
116736,0.0,0.05263672,3.6416733e-07,-4.096613883972168,396,687.46,276.01127576828003,1.1040428,-0.0012024628,0.0043270895,57,116736
118784,0.0,0.056005858,5.218216e-07,-0.617279052734375,437,691.17,281.1830017566681,1.1105292,-0.0035442966,0.004769814,58,118784
120832,0.0,0.064697266,4.0585073e-07,-0.9634894132614136,435,692.99,285.8657717704773,1.1080902,-0.004738694,0.0052895388,59,120832
122880,0.0,0.03779297,4.856675e-07,-0.656525731086731,439,697.83,290.56616616249084,1.1040967,-0.0019212257,0.0034939372,60,122880
124928,0.0,0.03461914,3.6540428e-06,-0.7474370002746582,447,701.54,295.2327127456665,1.1055694,-0.000835417,0.0032729034,61,124928
126976,0.0,0.08496094,1.8955707e-05,-0.6785492897033691,403,706.1,299.80825185775757,1.1115239,-0.0067151324,0.006738505,62,126976
