ep_len_mean,policy_loss,explained_variance,n_updates,time_elapsed,policy_entropy,serial_timesteps,fps,total_timesteps,value_loss,ep_reward_mean,approxkl,clipfrac
180.11,-0.002095347,0.6882859468460083,41,246.50810027122498,1.0382333,83968,333,83968,16.160427,50.79,0.0032484452,0.028125
183.69,-0.0012944138,0.6980677843093872,42,252.64200592041016,1.037666,86016,333,86016,17.551935,53.87,0.0029047981,0.02758789
184.6,-0.0020610169,0.6948468685150146,43,258.78016781806946,1.0341283,88064,333,88064,22.098684,55.01,0.0033137389,0.034375
185.38,-0.002461975,0.7427883744239807,44,264.92434453964233,1.0317152,90112,331,90112,15.612434,56.26,0.0037203724,0.039892577
185.46,-0.0011720962,0.7687004506587982,45,271.11059045791626,1.0199332,92160,338,92160,9.382646,55.07,0.0038559895,0.037353516
187.99,-0.0019682336,0.726877748966217,46,277.17194080352783,1.0071185,94208,327,94208,27.954044,57.13,0.0036818802,0.038330078
190.9,0.00015924222,0.7777682542800903,47,283.4220097064972,0.99875623,96256,331,96256,10.501615,59.39,0.0017106815,0.012158203
191.6,-0.0014912576,0.7726592421531677,48,289.61126255989075,0.9981095,98304,329,98304,18.488445,61.18,0.0031685517,0.035595704
193.02,-0.0010780724,0.7597452104091644,49,295.8348536491394,0.9950918,100352,327,100352,11.275835,60.45,0.002662249,0.02451172
194.42,-0.0022479168,0.7475221455097198,50,302.0846018791199,0.98550594,102400,325,102400,17.95901,59.83,0.0030273579,0.029589843
197.1,-0.0009979315,0.7731245309114456,51,308.37231159210205,0.9746103,104448,328,104448,18.998915,61.77,0.0027844615,0.027001953
198.2,-0.0004527037,0.8028984218835831,52,314.61753392219543,0.96907634,106496,326,106496,15.5350065,63.76,0.0026784935,0.02607422
195.98,-0.0017315313,0.7996442914009094,53,320.88737297058105,0.96974146,108544,330,108544,12.604294,61.37,0.0037692492,0.042236328
195.5,-0.0033553108,0.8103553205728531,54,327.08256697654724,0.9567915,110592,329,110592,9.442488,60.78,0.003923731,0.040283203
197.43,9.382618e-05,0.8106297105550766,55,333.30021023750305,0.94274485,112640,331,112640,16.63898,63.37,0.00174074,0.012988281
195.66,-0.00088769535,0.8353646397590637,56,339.48945927619934,0.93258744,114688,335,114688,14.1723995,62.61,0.0036816392,0.0375
194.37,-0.00174421,0.8194277137517929,57,345.58954787254333,0.92430496,116736,332,116736,10.577498,60.42,0.0036998112,0.0359375
193.45,-0.0002182262,0.8524627834558487,58,351.7528033256531,0.9219227,118784,333,118784,8.0211735,58.79,0.0028521325,0.028857421
194.37,-0.0012071754,0.8261430263519287,59,357.89731097221375,0.9177707,120832,328,120832,12.768462,59.74,0.0034036208,0.036376953
190.57,-0.00060866436,0.8547240793704987,60,364.13423347473145,0.90036803,122880,328,122880,4.9959764,55.79,0.0028595268,0.025439452
187.7,-0.0011749791,0.86551333963871,61,370.36438035964966,0.8873247,124928,333,124928,9.031751,52.54,0.0032280409,0.032080077
186.19,-0.00088273233,0.8677615076303482,62,376.50165843963623,0.88193357,126976,333,126976,4.625873,49.8,0.002592946,0.021875
191.05,-0.0021982621,0.8723466098308563,63,382.6516466140747,0.8747245,129024,332,129024,8.422163,51.83,0.0038867113,0.043066405
187.16,-0.00042442573,0.8705613762140274,64,388.80719566345215,0.8592166,131072,335,131072,9.670166,47.65,0.0027205911,0.024951171
189.99,-0.0021402943,0.8575200140476227,65,394.91676688194275,0.84343946,133120,335,133120,12.523704,49.49,0.0033267725,0.034472656
192.99,-0.0030017553,0.8706550747156143,66,401.0282828807831,0.8498446,135168,327,135168,17.393003,52.67,0.005045483,0.062207032
194.23,-0.0025268085,0.8905921950936317,67,407.2836637496948,0.8563368,137216,330,137216,7.6324167,52.9,0.0039533074,0.04575195
194.24,-0.00068992085,0.8193705528974533,68,413.4809422492981,0.84693384,139264,328,139264,10.040762,51.94,0.002905821,0.026953125
192.46,-0.0031774868,0.8835329115390778,69,419.71420884132385,0.83916694,141312,335,141312,11.969589,52.51,0.0049004583,0.06274414
194.44,-0.0006298873,0.8707227110862732,70,425.81665682792664,0.84593374,143360,335,143360,8.941153,53.93,0.0027635468,0.027246093
195.42,-0.0006246694,0.8986664041876793,71,431.93063139915466,0.8628907,145408,333,145408,10.758506,55.99,0.0041153072,0.05
191.3,-0.0017774118,0.9043702334165573,72,438.0748188495636,0.875373,147456,333,147456,7.5704813,56.45,0.0035217996,0.037060548
192.89,3.9698498e-05,0.8831299617886543,73,444.21838641166687,0.87589645,149504,331,149504,9.079538,57.34,0.002426425,0.022900391
193.55,-0.0016821243,0.8906938657164574,74,450.39663004875183,0.8727724,151552,336,151552,8.090319,55.7,0.0032048994,0.03359375
188.97,-0.0016831165,0.8885962888598442,75,456.49231362342834,0.88097256,153600,332,153600,9.220865,52.12,0.0040038913,0.047021486
192.53,0.00056365243,0.9122927337884903,76,462.6611421108246,0.8822977,155648,326,155648,7.5518546,53.69,0.0030757568,0.032324217
196.89,-0.002187516,0.9081372022628784,77,468.9390981197357,0.86450636,157696,323,157696,8.055677,54.43,0.0043551885,0.04584961
199.92,-0.0009620227,0.9068767949938774,78,475.27104568481445,0.84947604,159744,331,159744,8.196944,57.63,0.0039847377,0.046142578
200.36,-0.0025257342,0.9076002836227417,79,481.4539113044739,0.83946216,161792,330,161792,7.015175,56.72,0.003850418,0.04018555
200.14,-0.00041470522,0.915594294667244,80,487.64543533325195,0.8371278,163840,328,163840,8.277082,55.27,0.003409953,0.037353516
203.16,-0.0008921627,0.9113159403204918,81,493.8845593929291,0.84031284,165888,329,165888,13.298846,57.84,0.0035758603,0.038769532
205.26,-0.0010586092,0.9252367094159126,82,500.0956621170044,0.8398879,167936,329,167936,9.419952,59.43,0.0039071464,0.04482422
204.97,-0.0009496417,0.9486951008439064,83,506.3134949207306,0.8347472,169984,334,169984,4.969823,60.32,0.0042041363,0.043359376
203.5,-0.0011923419,0.9222119450569153,84,512.4307215213776,0.83004296,172032,338,172032,7.952466,60.92,0.004269378,0.050341796
205.54,-0.0023872298,0.9164581969380379,85,518.4887230396271,0.8346877,174080,326,174080,7.247882,61.55,0.0036354803,0.04375
204.39,-0.0024264543,0.9511230923235416,86,524.7563331127167,0.8366944,176128,327,176128,2.0775123,59.12,0.004834909,0.054833986
200.13,-0.0016125742,0.9385736361145973,87,531.0164227485657,0.83332556,178176,328,178176,4.144122,57.17,0.0043147774,0.049316406
199.79,-0.0016540929,0.9228561073541641,88,537.2563121318817,0.8207857,180224,328,180224,6.177758,55.79,0.0035103732,0.037597656
197.69,-0.00058404834,0.945571955293417,89,543.487945318222,0.82139665,182272,332,182272,2.4897285,53.51,0.004263533,0.053369142
200.82,-0.0005648002,0.9517898410558701,90,549.6528792381287,0.8278028,184320,329,184320,2.955415,54.08,0.0035610914,0.03955078
197.27,0.0014797836,0.941247969865799,91,555.8701448440552,0.83096516,186368,325,186368,5.444305,49.55,0.0034295525,0.038769532
196.0,-0.002746358,0.7860459685325623,92,562.1604478359222,0.83908767,188416,328,188416,7.052685,44.58,0.0043336665,0.050341796
196.71,-0.0005197381,0.9539029113948345,93,568.4004466533661,0.8288355,190464,329,190464,3.1701398,42.46,0.0036084238,0.038964845
197.81,-0.0023110337,0.9606222920119762,94,574.6154346466064,0.8140627,192512,334,192512,3.0669107,43.33,0.004053288,0.044628907
194.94,-0.0021586407,0.9638682752847672,95,580.7437961101532,0.80374545,194560,329,194560,1.9721066,41.64,0.0049309023,0.058886718
197.15,-0.0028998037,0.9610539227724075,96,586.9666719436646,0.79276955,196608,325,196608,2.9456248,43.83,0.0042150123,0.046240233
194.33,-0.003107036,0.9645848944783211,97,593.2543380260468,0.7920241,198656,328,198656,2.2544913,42.17,0.0040761246,0.050732423
194.98,-0.0012868082,0.912762813270092,98,599.4892616271973,0.7919048,200704,327,200704,6.460762,42.44,0.0038014404,0.04008789
196.44,-0.00054224394,0.9434797279536724,99,605.7495954036713,0.79167295,202752,328,202752,3.685028,42.68,0.003862321,0.043847658
195.79,-0.00022577471,0.9764551054686308,100,611.9880242347717,0.7867968,204800,329,204800,1.5652564,42.21,0.003088143,0.028466797
199.55,-0.00043760223,0.9330191090703011,101,618.2163548469543,0.7843746,206848,327,206848,9.062021,44.75,0.0030459869,0.030810546
200.87,-0.0009779016,0.9664453081786633,102,624.4698171615601,0.79308325,208896,326,208896,2.1776924,47.15,0.005597255,0.06967773
200.23,0.0009897714,0.969956899061799,103,630.7414820194244,0.7989193,210944,328,210944,1.7962072,46.51,0.0023599933,0.020947266
201.7,-0.0030542784,0.970735527575016,104,636.9710655212402,0.79195565,212992,334,212992,2.1003757,46.11,0.0037279911,0.041748047
205.02,-0.0010432566,0.9429476670920849,105,643.0942838191986,0.79139626,215040,327,215040,7.6522284,48.72,0.0042988174,0.04902344
203.97,-0.0018011441,0.9681276269257069,106,649.3539609909058,0.78706473,217088,330,217088,2.373744,47.01,0.003921436,0.04511719
