approxkl,time_elapsed,policy_loss,ep_len_mean,policy_entropy,total_timesteps,serial_timesteps,n_updates,fps,ep_reward_mean,explained_variance,clipfrac,value_loss
0.0014966861,3.337860107421875e-06,-0.0019361388,900.5,1.4182371,2048,2048,1,283,169.3498295,-0.07423198223114014,0.010009766,4.4447775
0.0025080855,7.230165243148804,-0.0025718922,945.5,1.4214805,4096,4096,2,281,181.364377,-0.10664939880371094,0.023291016,4.5782137
0.0012753657,14.518803119659424,-0.00038010185,1166.0,1.4353335,6144,6144,3,283,228.7940356,0.09037351608276367,0.00859375,4.9854803
0.004089412,21.745497465133667,-0.006247929,1313.0,1.4533756,8192,8192,4,265,255.78621550000003,0.06564205884933472,0.046435546,3.959325
0.0031168978,29.447575330734253,-0.0031808894,1008.5,1.464728,10240,10240,5,289,193.8070115,-0.16296660900115967,0.033496093,3.2149906
0.0044939937,36.52567219734192,-0.0041797413,857.0714285714286,1.4678764,12288,12288,6,295,164.08144485714283,0.08828914165496826,0.051855467,3.2981427
0.0032173123,43.455002307891846,-0.0031770836,813.0,1.4673727,14336,14336,7,289,155.847052875,-0.1135474443435669,0.03461914,4.2239313
0.0033286866,50.52373266220093,-0.0052144798,888.1111111111111,1.4640394,16384,16384,8,296,177.31449583333335,-0.17607593536376953,0.037597656,5.9910817
0.0029421893,57.43805527687073,-0.0023377794,920.1,1.4638917,18432,18432,9,284,187.4673429,-0.12702226638793945,0.022802735,4.997266
0.003974224,64.64077925682068,-0.0029797154,939.6190476190476,1.4650327,20480,20480,10,295,191.70860504761907,0.04031336307525635,0.04423828,3.506174
0.0019845928,71.56372141838074,-0.0013696684,948.0434782608696,1.4627488,22528,22528,11,289,192.61440486956525,0.2425718903541565,0.013134765,2.4405107
0.001938924,78.63063287734985,-0.0007952422,993.875,1.4618428,24576,24576,12,296,199.581601125,0.28634506464004517,0.014892578,2.2678452
0.0028917342,85.54160022735596,-0.0023792083,1036.04,1.457878,26624,26624,13,287,206.51849532,0.18816494941711426,0.028027344,1.9127146
