#{"t_start": 1567632290.5309143, "env_id": null}
r,l,t
55.918459,58,1.00307
67.297805,69,1.190562
48.378432,50,1.314011
41.26661,44,1.422539
64.383685,70,1.612283
79.65576,87,1.842832
41.14976,46,1.955098
78.090887,83,2.176864
49.982968,54,2.306037
51.948083,56,2.459078
58.43695,61,2.61088
72.399267,74,2.80737
80.146367,87,3.030879
54.481124,60,3.187179
43.64547,49,3.318285
49.487835,55,3.45911
66.818397,74,3.662636
37.7375,42,3.754583
64.734728,72,3.95242
55.814418,60,4.133433
69.50552,74,4.361475
74.698547,80,4.592062
54.239947,61,4.741798
78.661923,85,4.982272
41.402102,45,5.087343
67.789861,74,5.289243
41.768734,46,5.407267
54.483438,60,5.55285
32.124609,35,5.642901
70.201316,76,5.853575
37.144974,41,5.959664
75.875955,81,6.173204
35.442235,37,6.266657
39.571402,42,7.08469
89.732633,94,7.349567
77.187295,80,7.561799
114.211224,119,7.884758
75.302849,78,8.076971
83.948524,93,8.327768
53.648407,60,8.489056
56.635854,63,8.653867
60.188736,66,8.819263
118.906705,124,9.146042
66.794784,71,9.32206
71.067354,76,9.532343
48.726482,53,9.663243
77.059235,85,9.902388
54.243909,60,10.049611
51.142641,57,10.200971
73.457624,81,10.415108
67.486211,76,10.625347
46.154627,52,10.756082
41.53995,47,10.885019
48.006237,54,11.039759
57.116209,60,11.214741
44.690235,48,11.365723
68.439128,72,11.584463
127.166889,133,11.961843
82.01565,87,12.201185
68.148679,74,12.392853
43.759358,47,13.044923
93.440811,100,13.341064
63.077062,67,13.526411
78.972589,83,13.745426
67.961116,73,13.940951
69.682981,78,14.153405
70.093672,73,14.341442
87.077715,93,14.587671
46.786856,51,14.713948
55.062761,59,14.873424
47.048884,52,15.007383
72.340874,81,15.215357
88.098576,98,15.479781
65.457155,74,15.671504
72.440356,80,15.908912
50.18218,55,16.055727
60.660382,66,16.233836
52.150736,57,16.378925
60.811009,67,16.54236
64.581902,70,16.729833
54.692851,59,16.881025
107.887364,115,17.188138
59.465145,66,17.355863
61.20937,68,17.526293
106.21758,112,17.830344
65.511259,68,18.019147
102.582756,105,18.353722
66.870782,69,18.551663
82.075109,84,19.344799
59.347417,64,19.522688
88.770407,96,19.786041
65.0685,70,19.972446
97.20657,105,20.249764
56.380254,61,20.410577
35.886803,39,20.512869
64.963185,70,20.68653
46.920822,51,20.811983
95.369208,102,21.099907
103.493902,109,21.391324
75.609819,79,21.605417
76.467255,80,21.809324
66.355418,71,21.994789
59.748142,63,22.154536
60.522195,64,22.325023
44.203222,49,22.459854
95.69427,104,22.755038
69.239901,76,22.94216
51.873834,57,23.096882
59.665861,66,23.274292
91.412403,100,23.536154
94.988016,103,23.814619
78.838953,87,24.053273
78.902815,86,24.275988
85.441363,92,24.537556
150.641651,155,25.635305
81.018538,84,25.865258
70.983413,73,26.064503
76.369911,79,26.270852
65.187645,73,26.466595
81.71519,91,26.700636
106.100495,117,27.0178
51.316641,57,27.155584
74.892654,83,27.38286
60.40592,68,27.5559
75.453331,84,27.793553
72.52362,81,28.023597
122.949136,135,28.396262
87.785307,95,28.660001
101.196504,104,28.938277
83.75481,89,29.172618
61.08121,66,29.348145
87.535997,96,29.59616
73.578772,80,29.805205
51.140722,55,29.935427
98.067931,102,30.220513
90.147532,95,30.474036
88.09009,94,30.734538
57.442192,60,31.430396
131.844974,137,31.841717
106.71335,111,32.181936
70.012458,74,32.414451
74.682098,84,32.664289
182.581996,201,33.244076
82.175456,88,33.467448
126.034723,132,33.827674
74.073356,79,34.034806
87.006769,95,34.289322
64.004621,71,34.481334
82.780135,90,34.732143
110.013134,116,35.065124
76.878684,81,35.278604
117.652685,124,35.607378
90.005843,96,35.854153
52.143057,58,35.99868
92.754686,98,36.267247
93.37528,98,36.561618
91.841577,95,36.798383
57.484933,60,36.940957
100.398357,104,37.800772
104.767185,109,38.115028
95.632254,100,38.379865
141.303055,149,38.777362
88.707519,94,39.041723
101.587612,107,39.372927
69.91225,72,39.578188
177.574094,182,40.108189
67.297256,70,40.280686
101.676891,104,40.553532
103.05118,106,40.844975
83.813761,89,41.067656
72.863387,80,41.271763
79.380586,86,41.513108
42.957448,47,41.621656
107.873627,112,41.946765
227.126292,236,42.608505
126.424373,131,42.951608
95.145347,99,43.755573
90.223477,94,44.033781
102.23035,106,44.328348
140.934211,149,44.736651
86.063311,96,44.99813
175.818629,196,45.533145
113.513182,123,45.863928
91.659248,96,46.171971
136.263048,144,46.634097
88.377502,94,46.893491
163.640992,171,47.386261
117.312204,125,47.751454
60.02374,68,47.923883
83.214929,94,48.17371
99.920373,113,48.489025
103.142803,111,48.795463
89.997518,95,49.051019
128.397189,134,49.415825
195.954988,205,50.571227
180.165065,192,51.097642
70.999622,76,51.29475
210.74297,224,51.928834
105.508307,112,52.233938
207.112567,222,52.840824
236.900274,261,53.672802
122.219295,132,54.045054
148.613538,156,54.492457
150.714947,155,54.919061
76.859821,80,55.137841
102.176321,107,55.423388
76.281531,80,55.630879
134.627952,140,56.586085
240.444901,247,57.321177
169.844275,187,57.861969
191.644405,208,58.441252
218.288743,229,59.117195
148.477318,155,59.546254
189.973335,201,60.182149
90.500664,97,60.492063
227.816584,237,61.200331
309.261835,333,62.175842
439.061882,460,64.053332
165.727014,179,64.579836
270.814704,285,65.41556
89.567169,97,65.670484
114.968159,125,66.020319
111.368338,120,66.350747
130.158844,134,66.729558
84.831836,88,67.005533
276.324039,287,67.920392
143.904067,150,68.326189
172.836539,184,68.825845
177.704096,189,69.93768
183.984381,193,70.484497
192.98798,202,71.062927
83.119512,87,71.290491
80.576775,90,71.536334
179.827023,188,72.059036
197.467569,214,72.653731
345.584353,362,73.740337
152.991691,161,74.251901
300.865961,321,75.154154
301.207882,310,76.613576
293.482599,309,77.504422
311.038119,331,78.423185
286.900961,318,79.307148
396.947478,416,80.493033
114.182622,124,80.900327
243.689883,261,81.640952
467.214977,492,83.67028
227.046511,244,84.358325
322.04965,347,85.31017
378.840449,391,86.412864
345.052521,370,87.577843
393.577535,410,89.358321
233.241831,243,90.065473
327.814109,345,91.061223
289.897606,303,91.953997
355.628343,373,93.026942
194.609613,203,93.614056
512.080578,563,95.885976
183.937956,200,96.458421
385.728096,423,97.648115
235.843876,252,98.414995
301.099575,321,99.361685
227.559075,242,100.04039
412.640978,424,101.357213
155.429815,159,102.360629
154.433621,158,102.815616
179.082578,184,103.322796
270.959177,291,104.162914
378.33898,394,105.286447
149.184985,164,105.767646
205.908643,233,106.449084
127.897091,140,106.835673
187.531039,205,107.417375
183.036857,190,108.57172
142.287203,155,109.012349
206.187325,215,109.66848
175.938371,185,110.181506
309.929597,328,111.097799
253.926989,272,111.862095
315.789,340,112.818643
356.640174,377,113.864666
486.097448,506,115.989102
233.988588,257,116.729369
375.062614,416,117.921426
477.775269,526,119.443224
375.485743,395,120.590587
419.732974,443,122.563539
198.753246,220,123.234093
156.425039,176,123.750933
387.804831,410,124.954926
348.144576,382,126.087972
181.839621,190,126.616318
254.279306,263,127.369129
310.099918,318,128.891919
393.181658,425,130.241572
169.587788,182,130.760567
368.098527,397,131.891328
421.898367,441,133.223889
419.62401,444,135.094873
153.137438,170,135.643234
201.283868,227,136.377432
391.687817,418,137.592939
324.825976,351,138.616633
204.280043,230,139.284729
160.889745,175,139.778417
698.447554,743,142.581075
488.687649,531,144.138332
290.103378,308,145.044713
299.996929,328,145.980865
162.762938,179,146.50759
132.278426,145,146.904717
496.588794,540,148.981497
377.299281,399,150.251293
331.765506,357,151.237989
231.706144,258,151.995089
281.852682,313,152.865122
194.132543,211,153.459026
224.347534,236,154.679889
331.028543,372,155.758435
361.862314,375,156.920681
503.026376,541,158.521684
387.344938,429,159.765589
354.129511,382,161.45917
612.047087,649,163.48742
385.012311,403,164.633992
328.10555,345,165.638998
633.835478,657,168.089095
625.684213,648,170.093414
797.83899,827,172.576593
369.902447,398,173.73774
752.743837,802,176.692645
607.44007,643,178.625947
439.716623,468,179.954292
503.959006,543,182.065619
761.402923,809,184.462932
450.587931,484,185.851583
584.788213,622,188.228063
547.218328,578,189.937834
434.828024,472,191.50456
325.451779,339,192.47469
558.857833,578,194.743862
361.175627,381,195.847217
273.149144,298,196.734438
306.614015,333,197.782948
301.441356,334,198.768173
269.266744,300,199.650871
254.26334,294,201.016087
292.923912,314,201.948179
532.357247,553,203.550214
560.032339,598,205.434046
463.214353,508,206.914709
412.405305,440,208.753301
299.459168,316,209.69903
396.224671,420,211.012599
297.971278,319,211.916743
340.51209,350,212.923362
872.663762,937,216.284302
412.160211,442,217.602885
244.930282,273,218.506878
420.975248,446,219.754918
304.609548,322,221.231227
380.978319,394,222.408649
549.382449,588,224.117047
178.541005,199,224.764703
445.512593,475,226.141134
284.655838,297,227.548519
385.548352,408,228.827245
476.102707,493,230.287113
286.755649,308,231.185504
244.994073,263,232.053854
267.098865,296,232.890866
286.601415,316,234.387185
285.652259,316,235.304271
280.230241,301,236.177599
361.447437,373,237.257026
489.430544,517,238.884686
336.980837,373,239.95951
457.837637,476,241.911445
338.66055,365,243.027501
292.407379,319,243.945637
378.244574,390,245.119475
712.923598,766,247.950165
426.231319,453,249.309917
576.076758,619,251.163886
309.540891,339,252.120302
468.206883,503,254.179474
412.482484,437,255.510076
520.57965,548,257.117982
443.754169,477,258.445867
444.722375,479,259.971518
278.308158,304,261.409181
581.881126,635,263.287239
307.519265,342,264.275192
432.623169,467,265.648817
498.556872,518,267.772591
378.963965,404,268.976914
255.298698,289,269.844574
445.964713,477,271.234636
236.951119,266,272.007194
578.645464,611,274.468171
480.423802,515,275.985159
418.101832,437,277.275519
723.255836,767,279.483495
471.158874,490,281.568675
337.711799,365,282.631593
454.112858,480,284.07846
501.376427,523,285.620616
391.250572,424,287.546483
259.451589,291,288.387719
475.914286,489,289.863203
389.26797,411,291.110696
333.482647,354,292.17249
480.597515,502,294.335922
370.193341,384,295.477931
273.902703,302,296.38487
368.970511,382,297.516172
302.386976,317,298.4619
373.275077,384,299.618258
294.238279,317,301.22948
366.966163,397,302.426062
386.764796,407,303.65156
332.689533,361,304.728804
406.327964,419,305.95169
317.712565,340,306.935185
367.749278,385,308.727252
336.554506,349,309.769323
337.191544,351,310.792584
338.349294,360,311.870779
316.053208,347,312.884708
308.307978,326,314.452571
472.580318,502,316.038421
350.093833,372,317.179331
355.078396,376,318.273506
306.69064,331,319.222779
404.413749,434,321.049477
514.910882,538,322.787108
496.159692,515,324.388963
521.703357,566,326.059197
547.958757,582,328.384598
397.945611,421,329.677408
361.977045,381,330.825675
449.736568,478,332.262587
511.254146,551,333.875388
481.601077,506,336.052881
350.436379,378,337.183541
247.582487,283,338.011066
440.180249,470,339.401609
482.57121,507,341.452174
342.720711,360,342.611717
588.02608,606,344.422732
510.751651,541,346.039396
479.736582,498,347.502526
410.487561,428,349.435498
478.572285,501,350.968015
417.714151,448,352.279713
470.51667,503,353.810151
399.735171,437,355.640149
360.819673,388,356.878492
374.4808,397,358.034879
323.206842,357,359.043407
1035.069226,1101,362.915
366.293372,407,364.099747
460.181578,482,365.524729
512.512742,535,367.091465
417.886591,448,368.962334
522.065644,556,370.701753
385.892249,412,371.939961
373.102576,391,373.099979
404.330326,438,374.988391
472.63449,501,376.566701
486.079464,503,378.12463
591.475374,637,380.035316
393.632932,412,381.79741
966.131377,1036,385.071364
427.4221,471,386.473622
557.990652,585,388.777254
701.347484,739,391.045187
487.467373,508,392.57644
719.171141,764,395.441548
864.218985,905,398.246897
514.920287,539,399.814353
451.438948,493,401.287035
370.978651,388,402.960957
396.492913,446,404.473658
495.445078,535,406.125642
172.954312,185,406.659059
679.482069,714,409.292226
694.762569,737,411.499938
743.589452,783,413.852833
575.865847,606,416.206398
757.55405,771,418.640028
445.256942,476,420.059932
605.753568,634,422.500397
675.033835,725,424.75196
467.810298,495,426.234027
458.735116,501,427.632816
781.05399,822,430.725138
486.355486,515,432.24575
416.274536,450,433.570626
585.835805,640,436.096858
716.898416,777,438.408243
936.99591,1012,441.458731
768.951576,819,444.419483
