time_elapsed,explained_variance,clipfrac,total_timesteps,approxkl,policy_loss,n_updates,policy_entropy,fps,serial_timesteps,ep_reward_mean,value_loss,ep_len_mean
5.4836273193359375e-06,-0.12679386138916016,0.010302735,2048,0.0015248908,-0.0015187819,1,1.4096649,251,2048,161.07784666666666,12.175545,525.6666666666666
8.152159452438354,-0.03124368190765381,0.039501954,4096,0.0038100847,-0.0039375126,2,1.3936993,265,4096,105.9725056,7.458229,403.4
15.861631631851196,-0.06893455982208252,0.02709961,6144,0.002702623,-0.0048348806,3,1.3797497,256,6144,132.3190801538462,13.380659,471.9230769230769
23.83347725868225,0.023257195949554443,0.019189453,8192,0.002286503,-0.002192141,4,1.3738627,270,8192,110.03872505263155,11.056387,379.6842105263158
31.40193200111389,0.07496559619903564,0.042822264,10240,0.0040344903,-0.005368472,5,1.3850657,269,10240,104.41361166666667,6.99562,376.4074074074074
38.99033570289612,-0.025996685028076172,0.0140625,12288,0.0020844752,-0.001449928,6,1.3866904,257,12288,108.72476803225807,11.998706,382.4516129032258
46.94322991371155,-0.013835549354553223,0.014013672,14336,0.0021152457,-0.0014870671,7,1.3677492,271,14336,109.93303340625002,6.1437025,389.59375
54.497020959854126,-0.026162266731262207,0.026855469,16384,0.0026163738,-0.00316695,8,1.3581917,259,16384,120.62272867567569,10.687224,425.3783783783784
62.4009747505188,0.3447601795196533,0.020068359,18432,0.0025144762,-0.0028102542,9,1.3565702,265,18432,114.988669,4.9034023,412.0232558139535
70.1214234828949,0.3125750422477722,0.02631836,20480,0.0028841053,-0.002093919,10,1.3496937,266,20480,108.04620571428573,6.581685,392.7551020408163
77.81372928619385,0.29199397563934326,0.017041016,22528,0.0022373635,-0.0023526596,11,1.341173,257,22528,109.13460516071427,6.237004,395.64285714285717
85.7648241519928,0.19707781076431274,0.04008789,24576,0.0036061495,-0.0036988412,12,1.3344231,248,24576,114.35222463333331,11.506391,406.96666666666664
94.00226473808289,0.5144273340702057,0.017333984,26624,0.0022474779,-0.002222245,13,1.3356245,259,26624,115.2757264285714,6.324433,410.92063492063494
101.90352177619934,0.3993954658508301,0.03466797,28672,0.0031784787,-0.002864126,14,1.3321257,244,28672,115.2757264285714,11.297898,410.92063492063494
110.26881527900696,0.25727134943008423,0.029589843,30720,0.003037353,-0.0033584218,15,1.3386625,245,30720,115.2757264285714,8.66487,410.92063492063494
118.61963367462158,0.39474594593048096,0.040527344,32768,0.0038407706,-0.0031004185,16,1.3435981,245,32768,115.2757264285714,8.001017,410.92063492063494
126.95336747169495,0.04919099807739258,0.00703125,34816,0.00125634,-0.0010619174,17,1.3477328,257,34816,115.2757264285714,4.8114247,410.92063492063494
134.89630556106567,0.4931066036224365,0.038769532,36864,0.003738032,-0.0038990385,18,1.3377131,260,36864,115.2757264285714,3.7446961,410.92063492063494
142.77256608009338,-0.162095308303833,0.0073242188,38912,0.001418227,-0.0002664455,19,1.3332293,267,38912,115.2757264285714,3.380736,410.92063492063494
150.42631125450134,0.32260364294052124,0.042871095,40960,0.0037369442,-0.0024302257,20,1.3376137,279,40960,115.2757264285714,2.2939007,410.92063492063494
157.75187969207764,-0.3200470209121704,0.021337891,43008,0.0028646877,-0.0012655773,21,1.3355443,283,43008,115.2757264285714,1.9491422,410.92063492063494
164.9884171485901,-0.08475887775421143,0.06938477,45056,0.0054719066,-0.003985742,22,1.3381433,275,45056,115.2757264285714,1.8702244,410.92063492063494
172.4326159954071,0.14966851472854614,0.03017578,47104,0.0030972722,-0.0036798816,23,1.3412712,254,47104,115.2757264285714,3.10768,410.92063492063494
180.4738371372223,0.1060284972190857,0.0068359375,49152,0.0013177196,-0.0014375097,24,1.3434441,251,49152,115.2757264285714,2.789389,410.92063492063494
188.62923765182495,0.13334208726882935,0.034960937,51200,0.0034976997,-0.0014085795,25,1.3424361,244,51200,115.2757264285714,2.873743,410.92063492063494
197.05465698242188,0.020710766315460205,0.017041016,53248,0.0021588835,-0.0013482184,26,1.340916,246,53248,115.2757264285714,2.4800296,410.92063492063494
205.3556034564972,0.19248074293136597,0.020263672,55296,0.0022482742,-0.000938287,27,1.3478136,249,55296,115.2757264285714,1.4274065,410.92063492063494
213.57764863967896,0.11577212810516357,0.031689454,57344,0.003199391,-0.0017774089,28,1.3594612,254,57344,115.2757264285714,0.9800787,410.92063492063494
221.6167631149292,0.2019122838973999,0.03178711,59392,0.0030813224,-0.0019154807,29,1.3757464,243,59392,115.2757264285714,2.5642755,410.92063492063494
230.01399636268616,0.16748404502868652,0.024365235,61440,0.0029785032,-0.001566455,30,1.3723317,242,61440,115.2757264285714,2.3074896,410.92063492063494
238.47470045089722,0.10336428880691528,0.030761719,63488,0.0030968206,-0.0017025716,31,1.3613597,245,63488,292.09338189230766,3.7983298,975.4153846153846
246.82736134529114,0.14459699392318726,0.011083985,65536,0.0017449835,-0.0012689077,32,1.3539293,252,65536,292.09338189230766,1.9688022,975.4153846153846
254.95227313041687,0.0796017050743103,0.07172851,67584,0.0056383563,-0.0048750383,33,1.3503387,246,67584,293.56220769565215,6.3473563,972.3913043478261
263.261287689209,0.5190446972846985,0.02758789,69632,0.0027990337,-0.0014889505,34,1.3609354,247,69632,293.56220769565215,2.698887,972.3913043478261
271.5379512310028,0.42360562086105347,0.054003906,71680,0.0045170235,-0.0048095603,35,1.3750467,244,71680,293.56220769565215,2.9704335,972.3913043478261
279.9322392940521,0.43578851222991943,0.041650392,73728,0.0037269841,-0.0021198771,36,1.3842579,245,73728,293.56220769565215,1.2130957,972.3913043478261
