fps,value_loss,explained_variance,total_timesteps,policy_loss,serial_timesteps,time_elapsed,n_updates,ep_len_mean,ep_reward_mean,approxkl,policy_entropy,clipfrac
243,38.09399,0.844388484954834,79872,-0.00067760516,79872,282.93142676353455,39,238.67,228.44549457000002,0.0020575312,1.8824263,0.018701172
278,36.590034,0.8637313991785049,81920,-0.0024511265,81920,291.3355379104614,40,243.16,232.75211192999998,0.0027692479,1.894221,0.029541016
258,35.276695,0.8882946074008942,83968,-0.0029769898,83968,298.6826958656311,41,249.14,238.56886491999998,0.00360059,1.9111732,0.04296875
289,32.083267,0.8882704675197601,86016,-0.0009467878,86016,306.62067198753357,42,249.18,238.57094209,0.0017109646,1.9334313,0.012402344
314,34.240135,0.8405373990535736,88064,-0.0038809013,88064,313.6986780166626,43,256.18,245.29939969999995,0.0034291088,1.9451563,0.038916014
301,29.661411,0.8967822939157486,90112,-0.0033390415,90112,320.22101402282715,44,259.26,248.17176759999998,0.0030320517,1.9586458,0.031835936
293,29.483875,0.8891760110855103,92160,-0.00070361246,92160,327.0102570056915,45,262.51,251.09849008,0.0008427564,1.9669762,0.004833984
264,31.971466,0.8740369528532028,94208,-0.0035170119,94208,333.9946279525757,46,267.35,255.46216509,0.0025295233,1.971525,0.02866211
254,26.978048,0.9143548458814621,96256,-0.0014346683,96256,341.7494738101959,47,270.52,258.43051660000003,0.0018115249,1.9812624,0.014111328
272,26.804632,0.9070742055773735,98304,-0.0024173628,98304,349.7862858772278,48,269.12,256.91753506000003,0.002579837,1.9815868,0.025927734
287,23.147766,0.9154208153486252,100352,-0.0013857774,100352,357.3091139793396,49,263.63,251.71846380000005,0.0021657352,1.9849135,0.018994141
256,23.411636,0.9251160770654678,102400,-0.003700294,102400,364.4296200275421,50,260.06,248.36018279999996,0.004462613,1.9966593,0.053027343
272,26.468159,0.9239118471741676,104448,-0.0033932526,104448,372.4301960468292,51,264.53,252.53004941999998,0.0026549078,1.9887893,0.022509765
276,24.966982,0.9196014031767845,106496,-0.0006627523,106496,379.9486050605774,52,267.02,254.90697567000004,0.0020967394,1.9796436,0.016308594
296,24.108723,0.9235284253954887,108544,-0.002008197,108544,387.366436958313,53,266.94,254.64154698000002,0.0011562433,1.981878,0.008056641
257,23.699345,0.932037740945816,110592,-0.0015838674,110592,394.2784378528595,54,268.12,255.58661025000004,0.002227316,1.9920893,0.020117188
283,23.21526,0.9344064816832542,112640,-0.00064392574,112640,402.21949791908264,55,272.11,259.20150501000006,0.0012520123,2.0060809,0.011376953
307,23.792313,0.9159853160381317,114688,-0.0016528968,114688,409.4394419193268,56,278.55,265.29071017999996,0.002353231,2.014406,0.019970704
276,22.039562,0.9388789869844913,116736,-0.00627317,116736,416.096755027771,57,280.15,266.67277513,0.003824798,2.0309446,0.04873047
303,23.631552,0.9050213173031807,118784,-0.0025537258,118784,423.5143029689789,58,288.98,275.20065262,0.0026212742,2.0616453,0.026660156
298,20.499493,0.9442140124738216,120832,-0.0023704781,120832,430.2618398666382,59,297.37,283.30751440000006,0.0029284866,2.0726,0.026513672
291,22.58887,0.9300183728337288,122880,-0.00091137097,122880,437.113970041275,60,302.37,288.10568061000004,0.002684906,2.082617,0.02631836
303,21.00361,0.9445703998208046,124928,-0.00038791922,124928,444.13727498054504,61,310.34,295.92450273,0.001625771,2.0886743,0.013867187
279,21.163918,0.9477796815335751,126976,-0.0073854416,126976,450.8933708667755,62,318.65,303.73275978,0.0040030996,2.110743,0.051953126
295,23.366047,0.8894328027963638,129024,-0.002167682,129024,458.22843384742737,63,328.37,312.9962453,0.0022885972,2.1313496,0.021484375
297,28.508707,0.7423849105834961,131072,-0.0021379227,131072,465.16916680336,64,338.15,322.39779462999996,0.0038656276,2.133182,0.046191406
278,27.748571,0.6472881734371185,133120,-0.0031739026,133120,472.05521273612976,65,348.7,332.60844452000003,0.0037452201,2.1394043,0.036865234
313,26.280972,0.7079413831233978,135168,-0.0023705093,135168,479.4101529121399,66,361.0,344.51739649,0.002926086,2.14047,0.032666016
316,22.360294,0.8043249845504761,137216,-0.004445248,137216,485.94131898880005,67,375.72,358.61167837,0.003248547,2.173826,0.037597656
306,26.646397,0.6665133237838745,139264,-0.0018737469,139264,492.40852403640747,68,391.33,373.74788413999994,0.0018176299,2.2065754,0.015332031
302,25.38637,0.7223854064941406,141312,0.00029052873,141312,499.08712673187256,69,405.96,387.84038223999994,0.0010914912,2.2184167,0.010449219
309,20.637709,0.9106033891439438,143360,-0.0062217657,143360,505.85124373435974,70,422.53,403.76559806999995,0.0035591298,2.2386494,0.039794922
264,19.127836,0.9426407180726528,145408,-0.0036095318,145408,512.4677419662476,71,440.13,420.73033164000003,0.0020696693,2.2514634,0.019042969
241,21.361275,0.8293000310659409,147456,-0.004484142,147456,520.2158558368683,72,453.79,433.91599956,0.00283002,2.264409,0.031103516
229,21.389027,0.7147538959980011,149504,-0.0014773167,149504,528.7098708152771,73,472.51,451.97457278999997,0.0027151376,2.270598,0.02084961
