fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
322,0.6695995330810547,-0.0020017587,41,55.69,83968,23.07631,1.1455458,0.003115105,83968,215.6213195323944,0.02861328,191.76
318,0.6875637173652649,-0.0011905442,42,54.6,86016,19.875557,1.1456623,0.0024020583,86016,221.9786822795868,0.026123047,192.84
326,0.7446073293685913,-0.0020295305,43,54.87,88064,9.911823,1.1429979,0.004107375,88064,228.40601587295532,0.04458008,194.78
326,0.7360242307186127,-0.0014323995,44,54.52,90112,14.56501,1.138412,0.0027342504,90112,234.68860340118408,0.025,195.86
322,0.770301565527916,-0.0001540756,45,54.0,92160,13.185135,1.1441531,0.002128458,92160,240.96445775032043,0.01850586,197.24
321,0.766362726688385,-0.0024576923,46,54.99,94208,12.171721,1.1392863,0.004350691,94208,247.32483649253845,0.05366211,198.69
327,0.7611784040927887,0.0001266205,47,53.49,96256,7.408084,1.1271801,0.002045157,96256,253.68932962417603,0.014208985,198.29
324,0.7764478176832199,-0.0007949071,48,57.14,98304,18.517979,1.1077628,0.0027960679,98304,259.93581318855286,0.024365235,201.8
321,0.7654683440923691,-0.00084071385,49,56.8,100352,8.471055,1.0958662,0.0029679341,100352,266.25594758987427,0.025048828,205.57
324,0.7862957715988159,-0.0012742772,50,60.69,102400,18.964981,1.0891774,0.0027102628,102400,272.62814497947693,0.02421875,210.81
322,0.8146055936813354,-0.0018914028,51,59.18,104448,11.706766,1.080795,0.0038032234,104448,278.9533576965332,0.034375,208.76
320,0.8049123287200928,-0.0027072583,52,57.64,106496,10.324967,1.0720001,0.0036259964,106496,285.30900502204895,0.035546876,208.55
322,0.8000228703022003,-0.001094551,53,58.22,108544,16.75573,1.0725715,0.004730216,108544,291.69208669662476,0.056396484,210.62
323,0.7676267921924591,0.0002507809,54,61.6,110592,17.930317,1.0841596,0.0014665833,110592,298.0406057834625,0.011376953,216.6
325,0.8122186064720154,-0.0017752778,55,61.08,112640,10.83065,1.0919793,0.0038859223,112640,304.3790683746338,0.042138673,217.67
327,0.820842370390892,-0.0016513483,56,61.55,114688,12.66988,1.0921934,0.0047457065,114688,310.6734459400177,0.05366211,218.46
326,0.8165856748819351,-0.0033065416,57,63.25,116736,17.868893,1.079477,0.0053920196,116736,316.9244017601013,0.065625,221.81
324,0.8072846531867981,-0.00039206716,58,65.63,118784,12.538243,1.0720816,0.0028905992,118784,323.1912987232208,0.028515626,224.8
327,0.8373052477836609,-0.00014377669,59,61.9,120832,8.5006275,1.0798485,0.0022507664,120832,329.50952410697937,0.019628907,223.5
317,0.8262630254030228,-0.0031594567,60,66.74,122880,26.838955,1.086395,0.004435924,122880,335.76002287864685,0.052441407,223.99
