explained_variance,serial_timesteps,approxkl,value_loss,ep_reward_mean,n_updates,fps,time_elapsed,policy_entropy,total_timesteps,clipfrac,policy_loss,ep_len_mean
0.7085166573524475,83968,0.004354353,16.23157,59.54,41,410,199.9628884792328,1.202947,83968,0.047314454,-0.0035430659,202.84
0.7329082190990448,86016,0.0031963955,14.552953,60.94,42,408,204.95166039466858,1.1795038,86016,0.025732422,-0.0029450082,206.42
0.7442751228809357,88064,0.00330291,13.100082,57.99,43,415,209.96521043777466,1.1659615,88064,0.035986327,-0.0008947312,204.15
0.7309145331382751,90112,0.002743607,11.424289,56.68,44,411,214.89839267730713,1.1733506,90112,0.027783204,-0.0004041139,203.15
0.7804408073425293,92160,0.0034066632,7.3739767,54.62,45,413,219.87811064720154,1.1629395,92160,0.03378906,-0.0017821625,199.95
0.778968408703804,94208,0.004617152,7.640766,52.17,46,395,224.82808780670166,1.1389321,94208,0.053125,-0.0053301565,194.17
0.748588502407074,96256,0.0021270204,17.495335,51.28,47,406,230.00908041000366,1.1343106,96256,0.021582032,-0.0005486995,192.61
0.7864769250154495,98304,0.0036623676,15.55752,52.61,48,409,235.04694819450378,1.1403762,98304,0.038671874,-0.0023015798,193.38
0.7862384617328644,100352,0.0023712358,19.657705,54.81,49,408,240.05286192893982,1.1359099,100352,0.01928711,-0.00040034397,193.64
0.8093132078647614,102400,0.0041301954,15.728902,55.43,50,411,245.07029795646667,1.1357706,102400,0.04560547,-0.0011372966,191.03
0.7943764626979828,104448,0.0023202999,17.707834,55.56,51,409,250.05379796028137,1.1386192,104448,0.01821289,-0.00021371443,188.68
0.7858389019966125,106496,0.0027545854,21.470928,58.38,52,411,255.05216145515442,1.1328857,106496,0.026513672,-0.0020774365,191.18
0.7983474582433701,108544,0.003096576,16.19452,60.18,53,409,260.03179144859314,1.1275451,108544,0.030615235,-0.0011721998,192.07
0.8223652094602585,110592,0.0038024187,12.503593,63.97,54,408,265.03947830200195,1.1262888,110592,0.04067383,-0.0027739839,194.68
0.8507003337144852,112640,0.0041727293,6.100669,63.0,55,404,270.059583902359,1.1316291,112640,0.048828125,-0.0014178136,193.17
0.8350560665130615,114688,0.0031744086,12.18651,64.61,56,367,275.12058782577515,1.1361912,114688,0.025683593,-0.0017747466,194.52
0.8578169643878937,116736,0.0035806838,5.4639254,60.5,57,387,280.698956489563,1.1252594,116736,0.035302736,-0.0017695986,189.6
0.8426912277936935,118784,0.0054458035,7.36605,56.81,58,402,285.98036432266235,1.117789,118784,0.06728516,-0.0015425367,186.54
0.8539287596940994,120832,0.003263468,11.9106,54.41,59,397,291.0660524368286,1.1236764,120832,0.029589843,-0.0017538847,183.88
0.8845986053347588,122880,0.004196434,5.1431804,51.66,60,405,296.21502208709717,1.1031967,122880,0.037890624,-0.00087766873,178.48
0.8115568161010742,124928,0.0021315147,12.947786,46.44,61,408,301.27003598213196,1.083039,124928,0.013183594,-0.00042099963,173.3
0.8600169271230698,126976,0.0023463287,12.05166,45.79,62,404,306.29136061668396,1.084099,126976,0.022509765,-7.1964576e-05,171.86
0.8818641975522041,129024,0.0022852411,10.506298,48.2,63,409,311.35930728912354,1.089443,129024,0.019726563,-0.0009854309,170.95
0.8710702955722809,131072,0.0025938647,10.9001465,48.96,64,411,316.3678545951843,1.0925572,131072,0.027441407,-0.0021595159,168.02
0.8743025958538055,133120,0.00327729,10.274288,49.53,65,411,321.34455966949463,1.0966135,133120,0.034423828,-0.0015583036,167.36
0.8599964827299118,135168,0.001404417,8.329771,50.52,66,407,326.3178412914276,1.0976468,135168,0.0072265626,4.0625477e-05,166.11
0.8765937983989716,137216,0.0033013313,12.957356,52.09,67,411,331.3459241390228,1.0841162,137216,0.030712891,-0.0012181342,166.38
0.8803217560052872,139264,0.0035201584,15.26475,56.02,68,405,336.32483410835266,1.0812718,139264,0.037841797,-0.0012435644,169.62
0.878535769879818,141312,0.003172256,12.755037,59.97,69,410,341.3777985572815,1.0818068,141312,0.028710937,-0.0016062887,171.14
0.8983494490385056,143360,0.001953654,8.150396,57.61,70,413,346.3741683959961,1.074301,143360,0.0145019535,0.00021333,166.62
0.9223112687468529,145408,0.003332677,6.4813156,56.92,71,411,351.32634711265564,1.0757028,145408,0.037060548,0.00032059735,166.39
0.8849542662501335,147456,0.003190339,17.992023,58.85,72,408,356.301185131073,1.0786351,147456,0.031689454,-0.00091086264,168.07
0.8941853493452072,149504,0.0037493967,14.988312,61.83,73,405,361.3209798336029,1.0680631,149504,0.038476564,-0.0024191886,171.22
0.9226627573370934,151552,0.003741717,6.5289407,63.53,74,415,366.3685302734375,1.0673982,151552,0.043945312,-0.0014892151,171.2
0.9039686471223831,153600,0.0045538484,8.666884,63.74,75,411,371.3003227710724,1.0845144,153600,0.056152344,-0.0032190687,169.07
0.8945260345935822,155648,0.0014345867,10.371138,59.47,76,393,376.28735637664795,1.089495,155648,0.0071289064,-0.00013673051,165.07
0.9139900431036949,157696,0.004398076,8.199096,58.15,77,409,381.4878137111664,1.0861413,157696,0.05102539,-0.0015528136,165.14
0.8939115405082703,159744,0.0026991197,14.945078,61.97,78,407,386.4883108139038,1.0855438,159744,0.025537109,-0.0014550454,169.16
0.8978198617696762,161792,0.0031572203,12.264252,61.53,79,408,391.52045488357544,1.0785282,161792,0.024951171,-0.00083069113,167.99
0.913308322429657,163840,0.0033961968,9.237272,58.8,80,413,396.5337944030762,1.0728672,163840,0.03652344,-0.0017113267,165.55
0.9277128428220749,165888,0.004406012,8.430429,57.56,81,412,401.4892966747284,1.0746242,165888,0.052490234,-0.002707459,163.37
0.9261213392019272,167936,0.0028069145,5.8631887,56.35,82,414,406.4619960784912,1.0740956,167936,0.028027344,-0.0018403396,163.12
0.9330570623278618,169984,0.0035595582,6.661943,57.08,83,412,411.4039852619171,1.0623951,169984,0.031152343,-0.0018784044,164.56
0.9328503683209419,172032,0.0050999476,6.7073126,57.18,84,409,416.37369775772095,1.0560994,172032,0.05961914,-0.0007335443,165.4
0.9234450086951256,174080,0.003735276,11.744582,59.21,85,414,421.3718032836914,1.043328,174080,0.038183592,-0.0008680636,166.13
0.9316926598548889,176128,0.0036131758,8.19935,55.73,86,412,426.31554889678955,1.025429,176128,0.031396486,-0.001567251,160.5
0.9164046719670296,178176,0.0032707467,10.699029,56.78,87,412,431.2863290309906,1.018336,178176,0.033935547,-0.0029558789,162.09
0.9258325845003128,180224,0.00400526,9.835872,56.46,88,411,436.2586419582367,1.0196459,180224,0.042333983,-0.003779471,161.65
0.9532728940248489,182272,0.0026736348,4.777594,56.1,89,411,441.2332057952881,1.021424,182272,0.025732422,6.0953615e-05,160.3
0.9297480657696724,184320,0.0035114852,7.0188584,56.32,90,393,446.2178421020508,1.0249783,184320,0.03793945,-0.00081324874,160.25
0.9310054108500481,186368,0.0036027604,12.791821,59.1,91,403,451.43072414398193,1.0219465,186368,0.03955078,-0.0010720652,163.04
0.9366665557026863,188416,0.0033033267,7.8130584,59.73,92,410,456.51113986968994,1.0098593,188416,0.029882813,-0.0007222856,162.67
0.9432969838380814,190464,0.0038997508,8.962086,59.67,93,410,461.49865651130676,1.0008113,190464,0.04121094,-0.0007202478,162.64
0.9487833566963673,192512,0.00305096,4.1089964,59.27,94,414,466.49357628822327,0.9936098,192512,0.027294923,-0.0004752663,162.54
0.9537707976996899,194560,0.0033669868,6.636266,60.01,95,406,471.43828988075256,0.9930891,194560,0.035009764,-0.0019785445,162.91
0.9595105350017548,196608,0.003978635,4.918874,61.28,96,412,476.4771201610565,0.98805445,196608,0.04423828,-0.0023625712,163.95
0.9377786889672279,198656,0.0050902953,11.592406,63.56,97,412,481.44485569000244,0.97880554,198656,0.055126954,-0.0031383089,166.8
0.9531926587224007,200704,0.004736881,5.431986,65.72,98,408,486.4071204662323,0.9778513,200704,0.056591798,-0.0026787214,168.88
0.9493909776210785,202752,0.0033601027,7.2653594,63.12,99,408,491.42389154434204,0.97407037,202752,0.027490234,-0.00015079047,166.89
0.9508443661034107,204800,0.0024530722,5.7637167,61.57,100,409,496.44395875930786,0.9750508,204800,0.025292968,-0.0007708527,165.03
0.9506275877356529,206848,0.0046989718,5.748918,61.92,101,415,501.4460599422455,0.979088,206848,0.05522461,-0.0022501284,165.79
0.9646909385919571,208896,0.0042870874,4.0662613,61.68,102,391,506.3780834674835,0.9658907,208896,0.046240233,-0.00089736097,165.09
0.9566108509898186,210944,0.0030829934,5.123875,60.69,103,403,511.60755586624146,0.95657694,210944,0.031103516,-0.0013903998,164.98
0.9681448228657246,212992,0.004751692,4.0790906,60.66,104,408,516.6876096725464,0.95408666,212992,0.05239258,-0.001198385,163.84
0.9520962126553059,215040,0.006733861,4.4683375,55.74,105,410,521.7030756473541,0.9512006,215040,0.08544922,-0.001848758,158.87
0.9509586207568645,217088,0.0024388568,7.5350294,56.63,106,408,526.6988277435303,0.9434387,217088,0.021289062,0.0010686056,159.94
0.9474909976124763,219136,0.005081758,8.924446,57.82,107,410,531.713146686554,0.9381962,219136,0.06137695,-0.0038096397,161.13
0.9677533283829689,221184,0.003755934,2.2740407,54.58,108,413,536.7044291496277,0.93630266,221184,0.04160156,-0.0017249553,158.19
0.9646670408546925,223232,0.006800915,5.0633674,56.39,109,409,541.6627488136292,0.9324233,223232,0.08544922,-0.0011273915,159.2
0.9678345024585724,225280,0.0034756411,3.5853496,54.32,110,413,546.6616411209106,0.9297841,225280,0.038623046,-0.0015195808,157.9
0.9670251123607159,227328,0.0027067137,4.511916,53.99,111,410,551.6172323226929,0.9268821,227328,0.02446289,-0.00031006194,156.91
0.9703874997794628,229376,0.0045206263,4.978466,55.29,112,391,556.6100771427155,0.9203747,229376,0.04892578,0.00011997328,157.45
0.9646807014942169,231424,0.003139255,7.7164125,58.2,113,405,561.8400356769562,0.9080292,231424,0.028515626,-0.00083543564,160.65
0.9825856480747461,233472,0.0036248143,1.8595778,57.8,114,406,566.8868126869202,0.90213263,233472,0.039111327,-0.00073104876,159.43
0.9704099744558334,235520,0.0036627334,5.462659,58.68,115,408,571.9277293682098,0.8963367,235520,0.03828125,-0.0012634309,158.83
0.9726321455091238,237568,0.003321619,3.378696,60.83,116,412,576.9439995288849,0.8858054,237568,0.033691406,-0.0001277833,159.78
0.969760375097394,239616,0.0024805474,5.199116,59.29,117,407,581.9136250019073,0.87688875,239616,0.02109375,-0.0008058354,158.52
0.9821258522570133,241664,0.005557312,1.8172668,61.3,118,409,586.9368481636047,0.8807882,241664,0.066064455,-0.00027304358,159.28
0.9807502068579197,243712,0.0035339259,2.748047,60.97,119,407,591.938720703125,0.8918889,243712,0.038232423,-0.0015631272,158.63
0.9714603498578072,245760,0.0061011803,4.1193132,57.03,120,408,596.969621181488,0.88957196,245760,0.07924805,-0.004467693,154.33
0.9765772819519043,247808,0.0036434731,4.2678223,59.73,121,409,601.9886870384216,0.8866345,247808,0.03857422,-0.0009324156,155.26
0.9678504839539528,249856,0.0030752511,7.250135,59.92,122,405,606.9977376461029,0.88721037,249856,0.032666016,0.00018113968,154.73
0.9795296583324671,251904,0.0041530114,3.199531,60.8,123,388,612.0550470352173,0.90285015,251904,0.049560547,-0.00032442482,155.67
0.986782100982964,253952,0.004676477,1.5500197,61.43,124,409,617.3222329616547,0.90533495,253952,0.054589845,-0.0025924686,155.19
0.9900507899001241,256000,0.0050713606,0.99196255,58.86,125,413,622.3270263671875,0.89370215,256000,0.058447264,-0.002978324,151.22
0.969703447073698,258048,0.0039674425,7.573859,60.19,126,410,627.2819309234619,0.88271284,258048,0.04501953,-0.0007014103,151.67
0.9808838609606028,260096,0.0052174428,3.361342,60.8,127,408,632.2761473655701,0.8780757,260096,0.06303711,-0.00023310413,152.01
0.9788761176168919,262144,0.00536983,3.666062,60.36,128,411,637.2941207885742,0.8771161,262144,0.0659668,-0.0024196533,150.67
0.9749439917504787,264192,0.0045606955,4.419675,58.73,129,411,642.2789521217346,0.8749917,264192,0.053125,0.00017390146,149.1
0.9863686468452215,266240,0.0038913148,2.9523807,61.95,130,404,647.2564351558685,0.86932087,266240,0.04140625,-0.0004873718,151.61
0.9869094826281071,268288,0.003794087,1.6506202,61.07,131,412,652.3182566165924,0.8569093,268288,0.04248047,-1.3915065e-05,149.77
0.9905925896018744,270336,0.0046974556,1.1770616,59.86,132,409,657.2815499305725,0.850815,270336,0.05288086,-0.002278065,148.17
0.98366804048419,272384,0.0040611867,3.1759057,60.16,133,409,662.2895228862762,0.84110534,272384,0.046191406,-0.0027633714,148.09
0.9862531311810017,274432,0.00369884,3.1236942,59.92,134,390,667.2885701656342,0.82912827,274432,0.038623046,0.000115252566,146.96
0.9904173444956541,276480,0.0053938925,1.3792013,61.3,135,407,672.5312602519989,0.8209553,276480,0.066308595,-0.0016897682,147.43
0.989533425308764,278528,0.00493845,1.332557,60.15,136,407,677.5637905597687,0.81734645,278528,0.057128906,0.00030090517,145.97
0.9900385998189449,280576,0.005808679,0.9397996,56.19,137,413,682.5868496894836,0.8103697,280576,0.07602539,-0.0049403617,141.77
0.9850714579224586,282624,0.0036564928,4.489447,60.55,138,409,687.5397098064423,0.8104637,282624,0.042333983,-0.00011220267,144.64
0.9852697048336267,284672,0.0042570205,3.254041,63.86,139,408,692.5452654361725,0.8121017,284672,0.046972655,0.0003404436,147.89
0.9916231641545892,286720,0.0055725873,0.80137223,59.97,140,412,697.5660529136658,0.80522764,286720,0.068310544,-0.001578217,144.11
0.991380806080997,288768,0.00518039,1.5694835,59.8,141,411,702.5357944965363,0.80170774,288768,0.061425783,-0.0020000911,143.65
0.9915896560996771,290816,0.0047928235,1.5011097,60.93,142,410,707.5198984146118,0.79509276,290816,0.05444336,-0.0002247891,144.64
0.9952436676248908,292864,0.005220683,0.5424919,61.11,143,411,712.5111465454102,0.7813145,292864,0.06254883,0.00085389335,144.82
0.9919946752488613,294912,0.005078379,1.431909,63.72,144,392,717.4915151596069,0.7731589,294912,0.055566408,0.0012087605,147.37
0.9909186195582151,296960,0.0072813295,1.844842,61.6,145,408,722.7075047492981,0.7670728,296960,0.09516601,-2.3397437e-05,145.66
0.9956015758216381,299008,0.009745671,0.63218486,59.64,146,413,727.7224502563477,0.7692833,299008,0.11674805,-0.00019487247,143.53
0.996350004337728,301056,0.0041996217,0.44532195,61.85,147,414,732.6729447841644,0.7754465,301056,0.048535157,0.00054333603,144.89
0.9924984597600996,303104,0.004856586,1.6255591,62.59,148,407,737.6174552440643,0.7726997,303104,0.055908203,0.0004537225,145.58
0.9912903988733888,305152,0.004802508,1.6183525,60.7,149,410,742.6429297924042,0.7570026,305152,0.054052733,-0.0004920054,143.27
0.9897822737693787,307200,0.00381298,2.4809277,62.74,150,414,747.6362466812134,0.7483938,307200,0.043164063,0.0014045683,144.5
0.9899818655103445,309248,0.0038862233,2.8322887,63.09,151,410,752.5874831676483,0.75406927,309248,0.043164063,0.0010133071,144.58
0.9956178115680814,311296,0.0056188544,0.70201635,62.93,152,411,757.5795567035675,0.75294375,311296,0.068164065,0.0002470618,144.27
0.9960883287712932,313344,0.0047030975,0.665012,62.99,153,391,762.553290605545,0.7514935,313344,0.055078126,-1.7332128e-05,143.94
0.9939878666773438,315392,0.0044027297,1.1300795,64.89,154,407,767.7853178977966,0.7439274,315392,0.04902344,0.0007682119,145.59
0.9956353078596294,317440,0.006203828,0.71710217,64.3,155,408,772.8160524368286,0.74077725,317440,0.07646485,-0.0012118699,144.59
0.9962329361587763,319488,0.0051513053,0.64238715,63.42,156,408,777.8263943195343,0.7285327,319488,0.054394532,-0.0014102564,144.07
0.9964123873505741,321536,0.005995594,0.6881848,64.29,157,412,782.8393342494965,0.7059362,321536,0.072460935,0.0008805463,144.8
