total_timesteps,value_loss,clipfrac,fps,policy_entropy,serial_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed
83968,21.385996,0.0125,320,1.2069154,83968,0.0017407791,41,0.6851836442947388,53.98,-0.00044647246,191.42,253.83938789367676
86016,25.415865,0.024951171,315,1.1897967,86016,0.0029841631,42,0.6809874475002289,57.37,-0.0019238197,197.55,260.2297751903534
88064,13.291857,0.021630859,323,1.1748807,88064,0.002553448,43,0.735836923122406,55.6,-0.00064836204,197.08,266.7228844165802
90112,13.776904,0.027734375,317,1.1705257,90112,0.0027522533,44,0.7327617704868317,55.57,-0.0011464126,201.02,273.06407165527344
92160,12.416543,0.019238282,320,1.1662627,92160,0.002650792,45,0.7666835635900497,55.5,-0.00012167867,201.4,279.5096275806427
94208,17.425962,0.03305664,317,1.1625998,94208,0.0032203407,46,0.7254725694656372,56.71,-0.0013211027,204.97,285.8932309150696
96256,11.215925,0.04135742,313,1.1678138,96256,0.0035182734,47,0.7722697854042053,57.39,-0.0018311329,205.1,292.3420686721802
98304,13.118169,0.025244141,319,1.1727035,98304,0.002719387,48,0.7722062468528748,56.95,-0.0006836372,203.9,298.8671736717224
100352,9.577892,0.025830079,319,1.1623628,100352,0.002901154,49,0.7817327678203583,56.97,-0.0009664403,202.81,305.27886033058167
102400,15.339472,0.038720705,320,1.1558897,102400,0.0036352002,50,0.7711667567491531,58.89,-0.0017780159,202.58,311.6932728290558
104448,9.2062,0.036035158,322,1.1529535,104448,0.003520631,51,0.8286808431148529,54.22,-0.00044506206,197.11,318.0967743396759
106496,10.787109,0.043115236,323,1.1432133,106496,0.0038880925,52,0.8089166432619095,55.57,-0.0040859403,196.93,324.4451525211334
108544,7.724328,0.013720703,323,1.1367381,108544,0.0017005883,53,0.8071464002132416,53.47,-0.0012182122,192.73,330.7848243713379
110592,12.188383,0.026806641,320,1.1387991,110592,0.0028676798,54,0.8017817288637161,52.93,-0.0005126534,192.76,337.12269949913025
112640,21.824675,0.031152343,315,1.149305,112640,0.0033496115,55,0.8124607354402542,55.66,-0.0021709823,194.61,343.50625824928284
114688,5.829891,0.04042969,324,1.1404712,114688,0.0038074977,56,0.8454746156930923,53.92,-0.002483901,193.44,349.9937002658844
116736,10.620576,0.022949219,322,1.1292065,116736,0.002871253,57,0.823324054479599,52.89,-0.0014927344,194.32,356.3099000453949
118784,17.084818,0.024072265,316,1.1213162,118784,0.0025279832,58,0.8323219865560532,55.07,-0.0010396676,197.53,362.66325879096985
120832,9.015219,0.028564453,314,1.1151661,120832,0.0032809891,59,0.8532889634370804,54.01,-0.0017463185,196.85,369.1279547214508
122880,17.46819,0.024609376,319,1.110748,122880,0.0027900224,60,0.8256756961345673,56.83,-0.00068937603,201.34,375.6360800266266
124928,5.066414,0.022558594,319,1.0976431,124928,0.0027056597,61,0.8693441301584244,55.94,-0.000931139,204.29,382.0506365299225
126976,4.627838,0.025048828,323,1.0827107,126976,0.002825098,62,0.881463386118412,55.11,-0.0011861782,205.43,388.4565372467041
129024,11.940268,0.027539063,321,1.0720007,129024,0.0027412581,63,0.8718242049217224,56.67,-0.0011787552,207.42,394.79701042175293
131072,7.5048,0.03793945,325,1.0667948,131072,0.003438634,64,0.8944184631109238,58.17,-0.0008309859,210.23,401.16231322288513
133120,14.738772,0.031396486,320,1.0572757,133120,0.0030843052,65,0.8668173998594284,58.45,-0.0031944136,211.82,407.46114206314087
135168,8.555996,0.04399414,321,1.0430703,135168,0.0039587487,66,0.8917096853256226,59.48,-0.0020446498,213.97,413.8609809875488
137216,8.746103,0.020751953,325,1.0394331,137216,0.0026403347,67,0.8798409998416901,59.77,-0.0020286245,214.41,420.22500705718994
139264,6.9426894,0.027001953,323,1.0332351,139264,0.0027390542,68,0.9075648486614227,58.96,-0.00073424866,213.58,426.51571440696716
141312,4.3126473,0.0069335937,323,1.0262685,141312,0.0013288821,69,0.9148340970277786,58.24,-0.00078919984,214.0,432.8500053882599
143360,9.501458,0.04399414,319,1.0204617,143360,0.0038937232,70,0.9046615287661552,59.68,-0.002066527,214.35,439.1821196079254
