#{"t_start": 1566084346.399725, "env_id": null}
r,l,t
61.298437,65,1.104532
61.99603,66,1.270051
48.662249,52,1.409811
56.979027,61,1.561787
51.812105,55,1.70596
59.291835,63,1.874062
53.090876,57,2.031048
53.643424,57,2.177866
83.538261,87,2.409257
90.622789,95,2.667603
56.292046,60,2.817221
56.399512,60,2.969631
58.845931,63,3.127265
46.474191,50,3.250404
84.822318,89,3.488273
88.000074,92,3.744941
64.244158,68,3.917805
55.367281,59,4.072112
69.160684,73,4.256314
73.414926,77,4.457632
57.23678,61,4.610964
50.504814,54,4.748036
86.185831,90,5.001118
79.383201,83,5.216164
53.322317,57,5.367032
53.413917,57,5.512392
64.887746,69,5.693957
62.168694,66,5.859221
86.189283,90,6.092714
55.295983,59,6.240239
59.987782,64,7.372789
84.093895,88,7.615472
84.856929,89,7.853794
62.1028,66,8.030315
56.749868,61,8.190622
88.697001,93,8.442408
119.025224,123,8.781674
94.896591,99,9.059172
67.47774,71,9.247624
85.213758,90,9.486044
74.460474,78,9.699771
50.370534,54,9.837896
52.445269,56,9.981677
75.076838,79,10.196314
77.259819,81,10.420274
56.463989,60,10.572342
66.058701,70,10.765741
118.008973,122,11.113957
86.822168,91,11.366968
75.00612,79,11.572501
102.306801,106,11.870158
74.864761,79,12.079337
58.932376,63,12.2411
76.935223,81,12.457702
64.838406,69,12.638624
65.359187,69,13.508918
80.908282,85,13.743743
77.469774,81,13.971802
54.994026,59,14.126041
84.529062,88,14.375578
93.808757,98,14.652488
53.294486,57,14.797689
78.784274,83,15.027534
50.45393,54,15.168873
76.17202,80,15.384825
51.419116,55,15.524623
83.891444,88,15.756141
54.096874,58,15.903841
58.504506,62,16.083183
58.246324,62,16.244108
70.185108,74,16.443136
54.391513,58,16.598153
92.739058,97,16.862679
64.047767,68,17.043519
107.161479,111,17.360652
68.031128,72,17.548569
60.536161,64,17.718963
81.040191,85,17.951978
118.097828,122,18.302325
77.041236,81,18.521913
48.417709,52,18.6558
68.3135,72,18.851207
67.485495,71,19.732772
50.413449,54,19.874624
112.495218,117,20.206542
64.861603,69,20.387603
134.82255,139,20.790431
65.843782,70,20.972083
60.099316,64,21.141115
74.920009,79,21.354364
160.77719,166,21.831493
52.941478,57,21.972237
92.03013,96,22.234052
76.022369,80,22.444739
62.865545,67,22.625952
62.880136,67,22.798542
92.915444,97,23.06926
83.755738,88,23.312203
59.780826,64,23.477837
107.515712,112,23.790726
