n_updates,fps,ep_len_mean,explained_variance,time_elapsed,serial_timesteps,policy_loss,ep_reward_mean,clipfrac,total_timesteps,value_loss,policy_entropy,approxkl
39,292,264.35,0.7957219332456589,252.53801894187927,79872,-0.0019427103,253.22418806000002,0.019628907,79872,41.016838,1.8806064,0.0020383704
40,296,264.02,0.8459770828485489,259.55088567733765,81920,-0.0006833704,253.01833178,0.00625,81920,36.01609,1.882316,0.0014047181
41,296,262.01,0.8635518252849579,266.4579167366028,83968,-0.0010868689,251.19228692000004,0.010693359,83968,32.325764,1.8759104,0.0013602216
42,300,257.02,0.8575516641139984,273.3680307865143,86016,-0.0006785383,246.34561227999998,0.00068359374,86016,30.83461,1.8815027,0.0003287196
43,296,255.53,0.8776970654726028,280.19152092933655,88064,-0.0023574755,245.05262861000003,0.024121094,88064,29.918295,1.8915917,0.0024764284
44,282,254.38,0.8911295756697655,287.1067428588867,90112,-0.0049679936,244.04660896999997,0.03339844,90112,31.798758,1.8999698,0.0030685891
45,256,255.82,0.8743520379066467,294.36145401000977,92160,-0.0026892354,245.66651619,0.037597656,92160,32.308437,1.9220836,0.0033188283
46,274,255.3,0.8681548088788986,302.34084391593933,94208,-0.002962019,245.10354081999998,0.015820313,94208,31.44169,1.939565,0.0018808802
47,276,258.09,0.8118601441383362,309.80267000198364,96256,-0.0052164076,247.66196528,0.04477539,96256,33.355724,1.9561714,0.0037211129
48,298,257.93,0.8857354000210762,317.21549797058105,98304,-0.0006606657,247.46772158,0.013623047,98304,31.23606,1.9699843,0.0016793587
49,298,257.53,0.8858831226825714,324.0866401195526,100352,-0.0037649132,247.01497379000003,0.033203125,100352,30.528614,1.9839029,0.0029073828
50,293,258.06,0.8860930278897285,330.9529387950897,102400,-0.0016446967,247.52058235999993,0.021289062,102400,28.008274,1.9892117,0.0030166158
51,295,254.22,0.9122477397322655,337.9361209869385,104448,0.00021823717,243.79518447,0.0059082033,104448,23.888117,1.9825445,0.00108912
52,295,253.26,0.9307267069816589,344.87110805511475,106496,-0.005419039,242.89977716000004,0.05415039,106496,23.622639,1.9945576,0.004395367
53,296,256.08,0.9038269519805908,351.8025667667389,108544,-0.0005091653,245.44503438,0.0108886715,108544,23.81902,2.005247,0.0015326493
54,291,259.9,0.9202527403831482,358.7119150161743,110592,-0.0010620413,249.17007757,0.004296875,110592,22.300835,1.9981353,0.0010464885
55,287,265.95,0.9210128411650658,365.7306308746338,112640,-0.0058442764,254.89803949,0.04892578,112640,22.975826,1.99734,0.0041124304
56,296,272.85,0.9207223504781723,372.8695778846741,114688,-0.0011668042,261.38837815,0.011767578,114688,21.986,2.0068164,0.001654675
