ep_reward_mean,serial_timesteps,explained_variance,approxkl,policy_entropy,ep_len_mean,time_elapsed,n_updates,policy_loss,total_timesteps,clipfrac,fps,value_loss
80.4763855,2048,-0.13373255729675293,0.0028145637,1.4179509,445.0,2.6226043701171875e-06,1,-0.0016955861,2048,0.020751953,397,3.9911819
85.85070800000001,4096,-0.14891338348388672,0.0020922567,1.4191626,471.2857142857143,5.158498525619507,2,-0.0020705254,4096,0.021289062,383,4.5362363
90.72998583333334,6144,-0.07408785820007324,0.0020261991,1.4145894,481.8333333333333,10.498185157775879,3,-0.0023146132,6144,0.015234375,439,4.0645623
81.85419138888888,8192,0.12163496017456055,0.0016835975,1.40868,434.3888888888889,15.164536952972412,4,-0.00033434283,8192,0.010351563,362,3.6281612
76.14257296,10240,0.2840079069137573,0.0030695712,1.4080633,402.04,20.819763898849487,5,-0.0035958153,10240,0.032568358,389,3.532127
72.28281213333335,12288,0.43046385049819946,0.0024353527,1.4082649,381.3333333333333,26.073681831359863,6,-0.0026069316,12288,0.024365235,435,3.3053086
72.99397570270271,14336,0.4145786166191101,0.0019265948,1.3974726,383.5945945945946,30.779086589813232,7,-0.0004657163,14336,0.011816407,408,3.0563955
64.28384933333332,16384,0.7016746699810028,0.003433165,1.3873185,338.125,35.79728412628174,8,-0.0018535873,16384,0.030566406,446,2.0035768
58.286329800000004,18432,0.759817510843277,0.0047558593,1.3970814,306.26666666666665,40.38895583152771,9,-0.006199151,18432,0.059472658,386,1.7669775
59.935191661290325,20480,0.7582540959119797,0.002328741,1.4162618,313.88709677419354,45.69442796707153,10,-0.0002508406,20480,0.016308594,431,2.7949162
60.1991010140845,22528,0.832290768623352,0.0043406975,1.4244654,314.84507042253523,50.43722486495972,11,-0.0030134527,22528,0.048583984,397,1.6598606
61.38150075342465,24576,0.6244415044784546,0.003912429,1.4295268,319.041095890411,55.595632553100586,12,-0.0018140154,24576,0.045458984,390,3.5204437
66.72143356578948,26624,0.550758421421051,0.003564983,1.4411368,341.0657894736842,60.84437322616577,13,-0.0029879403,26624,0.039648436,399,3.8900604
69.17382911538462,28672,0.3911915421485901,0.0021054095,1.4489338,349.71794871794873,65.97018504142761,14,-0.0010822506,28672,0.018066406,414,4.6345344
75.22378067088609,30720,0.11368066072463989,0.0030462693,1.4417413,370.54430379746833,70.91017627716064,15,-0.001977988,30720,0.029345702,388,6.3832455
80.6672304,32768,0.18514347076416016,0.0025153658,1.4257549,389.725,76.18108415603638,16,-0.0017379869,32768,0.021972656,375,7.693761
88.74877649382715,34816,0.18988299369812012,0.0027373645,1.4187024,413.0246913580247,81.63111972808838,17,-0.0016231863,34816,0.02470703,395,7.4878874
96.29120871951218,36864,0.28771209716796875,0.00471943,1.4186904,435.6829268292683,86.81475710868835,18,-0.0045684157,36864,0.056152344,387,5.523738
96.29120871951218,38912,0.6953476965427399,0.0041199783,1.413553,435.6829268292683,92.10664200782776,19,-0.0047472273,38912,0.046582032,382,2.030194
96.29120871951218,40960,0.8083926290273666,0.003275736,1.4167017,435.6829268292683,97.45995616912842,20,-0.0024477434,40960,0.031591795,444,1.5036801
96.29120871951218,43008,0.757813885807991,0.0044712145,1.4166572,435.6829268292683,102.07219195365906,21,-0.005063168,43008,0.051757812,407,1.4293187
96.29120871951218,45056,0.380409836769104,0.0053691026,1.411123,435.6829268292683,107.10082149505615,22,-0.0037283548,45056,0.062109374,378,1.3222356
96.29120871951218,47104,0.06017124652862549,0.0022555008,1.3875678,435.6829268292683,112.51081705093384,23,-0.0024202517,47104,0.019580077,362,2.2352653
96.29120871951218,49152,0.3986619710922241,0.005142493,1.366824,435.6829268292683,118.16552472114563,24,-0.004856004,49152,0.061523438,404,1.0808624
96.29120871951218,51200,0.19777214527130127,0.0027830624,1.3494017,435.6829268292683,123.23144006729126,25,-0.001219553,51200,0.022216797,451,1.1223485
96.29120871951218,53248,0.1275949478149414,0.004264963,1.3239357,435.6829268292683,127.77651596069336,26,-0.0038451287,53248,0.04536133,461,0.90957326
96.29120871951218,55296,0.08180934190750122,0.0028232373,1.3208168,435.6829268292683,132.2135043144226,27,-0.0008569247,55296,0.028173828,425,0.74621826
96.29120871951218,57344,0.14871758222579956,0.0061495523,1.3280039,435.6829268292683,137.02886271476746,28,-0.0038574238,57344,0.07875977,433,0.73407495
96.29120871951218,59392,0.3491479158401489,0.0034871697,1.3318343,435.6829268292683,141.75462698936462,29,-0.002705368,59392,0.038427733,374,0.5606869
96.29120871951218,61440,0.432512104511261,0.0031777811,1.3296896,435.6829268292683,147.21835041046143,30,-0.0018178888,61440,0.032470703,390,0.46230453
96.29120871951218,63488,0.21361130475997925,0.003873067,1.3319417,435.6829268292683,152.4612901210785,31,-0.0015561826,63488,0.043408204,364,0.5805363
96.29120871951218,65536,0.4097900986671448,0.0031790521,1.3219383,435.6829268292683,158.0767879486084,32,-0.003761553,65536,0.028076172,407,0.5037796
96.29120871951218,67584,0.37391555309295654,0.0027003551,1.3156971,435.6829268292683,163.1016936302185,33,-0.0006352084,67584,0.02451172,457,0.57677186
96.29120871951218,69632,0.3284003734588623,0.0026575173,1.3159336,435.6829268292683,167.58140921592712,34,-0.0010167733,69632,0.024267578,419,0.7922336
96.29120871951218,71680,0.41930723190307617,0.0034134998,1.3146954,435.6829268292683,172.46509790420532,35,-0.00053591625,71680,0.035253905,405,0.7566718
96.29120871951218,73728,0.4753659963607788,0.0028615054,1.3203002,435.6829268292683,177.51230764389038,36,-0.00064772327,73728,0.031445313,364,0.7946736
