ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance,n_updates,approxkl,ep_len_mean,serial_timesteps,time_elapsed,clipfrac,value_loss,fps
56.08,-0.00050737365,83968,1.0420573,0.727213978767395,41,0.0026788558,207.18,83968,248.33350801467896,0.024804687,19.838837,322
56.18,-0.0033216379,86016,1.0392992,0.7394511699676514,42,0.0051410636,209.82,86016,254.68992614746094,0.064013675,14.967558,324
57.72,-0.0010115184,88064,1.0394691,0.7498546540737152,43,0.004204328,212.59,88064,261.00356125831604,0.048095703,10.057245,327
58.28,-0.00040969774,90112,1.036195,0.7624428421258926,44,0.002624329,215.66,90112,267.2639136314392,0.024121094,12.72586,323
55.63,-0.00042309504,92160,1.0286014,0.7948266118764877,45,0.0021467179,213.07,92160,273.5895161628723,0.01826172,5.5640273,323
53.34,-0.0023516857,94208,1.0110708,0.7729557305574417,46,0.003915335,212.49,94208,279.92764234542847,0.041015625,9.192019,330
53.11,-0.0016574338,96256,0.9870299,0.8011137694120407,47,0.0036888353,211.87,96256,286.1271848678589,0.037744142,9.961712,328
53.62,-0.0010130049,98304,0.97596014,0.7770723700523376,48,0.0022568614,214.75,98304,292.3565762042999,0.01977539,14.394086,328
54.01,-0.0012909912,100352,0.9760745,0.8091323971748352,49,0.0031975198,217.15,100352,298.5899963378906,0.034863282,8.316874,327
52.85,-0.0011178844,102400,0.9749282,0.8444647938013077,50,0.0031159187,218.23,102400,304.84484696388245,0.033740234,5.854814,323
51.27,0.0006139625,104448,0.9766328,0.827627882361412,51,0.004488453,216.57,104448,311.1848428249359,0.050830077,11.8374,322
51.75,-0.0013104927,106496,0.9834921,0.8359943926334381,52,0.0041486854,216.41,106496,317.5306613445282,0.048876952,10.8033,324
48.93,-0.0017083511,108544,0.9797243,0.8416688293218613,53,0.0032647613,212.64,108544,323.8425278663635,0.03305664,7.143695,323
48.42,-0.00041922677,110592,0.9696835,0.8376313149929047,54,0.004776737,213.59,110592,330.1700689792633,0.058935545,5.2466235,323
47.01,-0.0021222648,112640,0.9559231,0.8733935803174973,55,0.004488234,214.88,112640,336.50055289268494,0.047558594,2.84312,321
48.98,-0.0019259959,114688,0.9495903,0.8339945524930954,56,0.004056777,217.45,114688,342.86813855171204,0.045410156,10.313597,324
51.16,-0.0026535697,116736,0.95114917,0.8558834344148636,57,0.00459644,221.55,116736,349.1893587112427,0.054296874,8.579912,326
49.22,-0.0010161758,118784,0.9560002,0.8605628162622452,58,0.003339311,223.4,118784,355.4664354324341,0.035839844,4.30482,320
49.59,-0.0012471469,120832,0.9644208,0.8391604572534561,59,0.003797158,225.22,120832,361.8659198284149,0.042529296,14.723555,323
49.65,-0.0060647624,122880,0.966962,0.86688531935215,60,0.005820268,225.17,122880,368.2054100036621,0.0725586,6.1734834,322
51.59,-0.004680839,124928,0.9637893,0.8643673062324524,61,0.0053165774,226.77,124928,374.55711460113525,0.062207032,10.691953,326
51.12,-0.0015631331,126976,0.9563363,0.8670491725206375,62,0.00397662,227.74,126976,380.84173035621643,0.042529296,9.157732,325
52.13,-0.0012210602,129024,0.9442574,0.8808247521519661,63,0.0033551839,228.83,129024,387.14299154281616,0.036035158,9.509531,326
50.74,-0.0020475122,131072,0.94185483,0.8933958187699318,64,0.0037116155,229.53,131072,393.4233548641205,0.039892577,4.290219,324
52.84,-0.001467688,133120,0.94548815,0.882382296025753,65,0.0036033387,232.1,133120,399.7298791408539,0.03828125,10.875815,326
55.41,-0.000764265,135168,0.9548566,0.8695797473192215,66,0.002940645,235.38,135168,406.0008280277252,0.031982422,14.343577,321
60.66,-0.0031167003,137216,0.9635981,0.8733251690864563,67,0.0043644365,237.84,137216,412.3781154155731,0.05126953,17.128479,320
59.54,-0.00044663213,139264,0.9579498,0.8966661021113396,68,0.0044377684,233.8,139264,418.7752203941345,0.049121093,7.4745817,323
61.41,-0.0030159182,141312,0.9408485,0.8897880986332893,69,0.003548267,231.95,141312,425.1000063419342,0.040722657,10.495835,323
59.46,-0.0010592736,143360,0.93091613,0.9101580232381821,70,0.0032583927,229.88,143360,431.42979884147644,0.033984374,3.2177384,326
59.4,-0.002999782,145408,0.9236908,0.8929994106292725,71,0.0039846576,229.41,145408,437.70022988319397,0.042822264,6.65705,322
58.17,-0.0012863878,147456,0.91798544,0.92457365244627,72,0.0043247845,225.37,147456,444.0585813522339,0.050830077,5.5064254,326
56.93,-0.00079304364,149504,0.9081601,0.9249311238527298,73,0.003980099,224.54,149504,450.34125232696533,0.046972655,3.478838,321
56.02,-0.0016645925,151552,0.9033977,0.9205444529652596,74,0.005780468,224.21,151552,456.7192611694336,0.07280274,5.6635,322
56.58,-0.0013967174,153600,0.9049853,0.9267579168081284,75,0.004401281,224.5,153600,463.06302642822266,0.04799805,4.7281566,326
54.31,-0.0018612889,155648,0.911483,0.9398734755814075,76,0.0059044166,221.2,155648,469.33670830726624,0.07280274,3.836349,324
53.71,-0.00040946266,157696,0.9143257,0.9206060841679573,77,0.0032705967,221.81,157696,475.6554307937622,0.034570314,7.087119,324
51.92,-0.0016764704,159744,0.90934676,0.9405387938022614,78,0.0034198985,218.42,159744,481.97337794303894,0.03725586,4.6302605,325
50.92,-0.0022475873,161792,0.8954257,0.9183182790875435,79,0.0051219454,216.89,161792,488.27296137809753,0.06044922,7.189963,326
50.97,-0.0021830234,163840,0.8791544,0.9400556311011314,80,0.005360384,218.63,163840,494.54681873321533,0.068798825,3.3507416,324
51.28,-0.00095814496,165888,0.8746913,0.9447927214205265,81,0.003715324,216.14,165888,500.8567793369293,0.044287108,4.1095915,325
52.86,-0.0035503712,167936,0.87294215,0.9240355268120766,82,0.005048732,216.77,167936,507.15062618255615,0.058935545,5.348259,324
52.91,-0.0014118052,169984,0.87322605,0.9338657036423683,83,0.0049697966,218.84,169984,513.4615044593811,0.06064453,6.1287,324
53.64,-0.00168048,172032,0.87360936,0.9318912178277969,84,0.004141382,218.93,172032,519.7839612960815,0.04868164,4.911195,319
53.66,0.00029721193,174080,0.8730442,0.9626604877412319,85,0.0027497362,221.53,174080,526.1918823719025,0.026611328,2.2916954,326
54.03,-0.0023732695,176128,0.86923563,0.9538349956274033,86,0.0030802402,226.26,176128,532.4687538146973,0.033447266,2.5198212,322
55.15,-0.001371325,178176,0.8668588,0.9644092731177807,87,0.0040054875,227.82,178176,538.8299400806427,0.046044923,3.2343357,323
56.07,-0.002069407,180224,0.86968976,0.9306778088212013,88,0.0033811766,229.27,180224,545.1624739170074,0.036621094,11.076809,322
56.88,-0.0005115297,182272,0.8677584,0.9557551369071007,89,0.0039711976,232.97,182272,551.5206866264343,0.043896485,2.6355443,325
57.88,-0.0010460868,184320,0.8473585,0.9343529641628265,90,0.0036221545,236.2,184320,557.8096952438354,0.034716796,8.028923,322
57.84,-0.0009220019,186368,0.8351995,0.9503609128296375,91,0.0026507229,237.23,186368,564.1685817241669,0.025048828,4.458783,321
61.56,-0.0018557947,188416,0.82139695,0.9388737268745899,92,0.004880267,243.73,188416,570.5343458652496,0.051611327,10.717717,327
65.07,-0.0005820177,190464,0.8030311,0.9461488239467144,93,0.0032638882,250.37,190464,576.7917997837067,0.031396486,8.996763,324
64.86,-0.0019596664,192512,0.79523754,0.95115602388978,94,0.003664847,251.17,192512,583.1112048625946,0.04091797,6.748633,326
66.65,-0.0021386493,194560,0.7870987,0.9523706994950771,95,0.0037359584,253.67,194560,589.3809804916382,0.038085938,5.6402392,326
67.85,-0.0017322557,196608,0.7687496,0.9598100483417511,96,0.0027661927,255.41,196608,595.6558880805969,0.024804687,5.7348356,323
67.61,-0.00104499,198656,0.75917387,0.9595100171864033,97,0.0024413848,254.67,198656,601.99267411232,0.023291016,4.2034187,325
68.99,0.00033817496,200704,0.7593533,0.9638239182531834,98,0.0022347714,252.58,200704,608.2822089195251,0.01977539,4.177217,324
68.89,0.00015107088,202752,0.7570989,0.9457083120942116,99,0.0022594694,252.29,202752,614.5898544788361,0.01845703,4.0661073,328
65.49,-0.0011345698,204800,0.7560554,0.9528882130980492,100,0.003212075,249.49,204800,620.8204715251923,0.034423828,4.3013806,327
64.31,-0.0012276674,206848,0.7418531,0.9707633927464485,101,0.004341497,246.0,206848,627.0828275680542,0.048583984,1.9108168,327
64.16,-0.0010973145,208896,0.7267109,0.9519329369068146,102,0.003307992,244.53,208896,633.3472759723663,0.034375,6.455446,323
67.25,-0.00014846536,210944,0.72484696,0.9655530676245689,103,0.002402266,246.05,210944,639.6767222881317,0.017529298,5.3288965,325
64.92,-0.0019962485,212992,0.72423613,0.9666618593037128,104,0.0043032793,243.03,212992,645.9744255542755,0.049316406,3.8639476,326
62.2,-0.0019302852,215040,0.7102618,0.9659988135099411,105,0.004908338,242.75,215040,652.258620262146,0.057275392,2.4415193,322
61.98,0.00024430206,217088,0.69780046,0.9759320374578238,106,0.0028187577,245.16,217088,658.6025784015656,0.02841797,2.0498712,331
60.49,-0.003723823,219136,0.68911743,0.9636560194194317,107,0.006047652,243.5,219136,664.7745296955109,0.07138672,3.5280254,330
59.32,0.00023997102,221184,0.6746184,0.957650825381279,108,0.0023793979,242.62,221184,670.977644443512,0.02109375,4.134574,326
57.81,-0.00040353936,223232,0.66875654,0.9316968619823456,109,0.0041482924,241.06,223232,677.2473487854004,0.0496582,3.291427,330
54.86,-0.0021842993,225280,0.6722778,0.9608029052615166,110,0.0044113146,239.86,225280,683.4382841587067,0.05283203,1.9738464,333
56.56,2.79881e-05,227328,0.6780644,0.959906242787838,111,0.0017194601,243.79,227328,689.5755317211151,0.013623047,5.098025,326
56.24,-0.002702969,229376,0.6631099,0.9763832241296768,112,0.0048885546,243.93,229376,695.8496975898743,0.05678711,1.6246693,331
56.59,-0.0020393797,231424,0.65678585,0.9732947554439306,113,0.0049248827,245.59,231424,702.0203964710236,0.06289063,2.0844703,333
56.39,-0.0026127254,233472,0.6627722,0.9527008049190044,114,0.005007309,246.91,233472,708.1697583198547,0.058789063,7.174188,325
52.59,-0.002399434,235520,0.67050755,0.970966175198555,115,0.004525282,245.55,235520,714.4579019546509,0.05263672,2.6586857,330
50.79,0.00040647824,237568,0.67977846,0.9361536875367165,116,0.002740887,243.75,237568,720.6626658439636,0.028076172,3.3726707,330
50.52,0.00033837557,239616,0.6820902,0.9777164924889803,117,0.0016068381,238.11,239616,726.8576376438141,0.011669922,2.2668,336
52.61,-0.0031209828,241664,0.676853,0.965972937643528,118,0.00462402,240.78,241664,732.9500324726105,0.050927736,5.9925337,322
52.45,-0.0052892133,243712,0.6789448,0.9762143269181252,119,0.0073238136,241.58,243712,739.3022699356079,0.09658203,1.5338483,329
53.68,-0.0011035723,245760,0.673161,0.9687279909849167,120,0.004141741,244.34,245760,745.521829366684,0.04536133,4.527724,324
