n_updates,fps,policy_entropy,ep_len_mean,policy_loss,explained_variance,time_elapsed,serial_timesteps,clipfrac,value_loss,total_timesteps,ep_reward_mean,approxkl
66,393,1.1533065,1932.3703703703704,-0.0022577082,0.6257403492927551,342.4768829345703,135168,0.03237305,1.9166149,135168,518.2250498518518,0.0032708247
67,404,1.1391957,1932.3703703703704,-0.001537327,0.6900319159030914,347.68888759613037,137216,0.04536133,1.149278,137216,518.2250498518518,0.0040912507
68,364,1.1427447,1932.3703703703704,-0.00402224,0.7213932871818542,352.75833463668823,139264,0.048876952,0.7712885,139264,518.2250498518518,0.0043123877
69,385,1.1454387,1932.3703703703704,-0.001681729,0.6408853828907013,358.3727355003357,141312,0.016503906,1.7172016,141312,518.2250498518518,0.0021725812
70,382,1.1378052,1932.3703703703704,-0.003319059,0.6920187771320343,363.6855626106262,143360,0.034423828,1.1912992,143360,518.2250498518518,0.00351571
71,368,1.1338354,1932.3703703703704,-0.0033392056,0.7161339223384857,369.0341031551361,145408,0.040478516,1.1643277,145408,518.2250498518518,0.0034744837
72,407,1.1269833,1932.3703703703704,-0.0025434773,0.7558905929327011,374.5928885936737,147456,0.041015625,0.9371842,147456,518.2250498518518,0.003748417
73,385,1.119746,1932.3703703703704,-0.0033550472,0.7647550851106644,379.62463545799255,149504,0.054589845,0.217531,149504,518.2250498518518,0.0047204113
74,379,1.1110038,1932.3703703703704,-0.004207346,0.775143101811409,384.93459725379944,151552,0.037988283,0.39111918,151552,518.2250498518518,0.0035610523
75,390,1.100022,1932.3703703703704,-0.0026184213,0.8096758425235748,390.3290796279907,153600,0.04067383,0.65249664,153600,518.2250498518518,0.0038949554
76,397,1.0818172,1932.3703703703704,-0.0044499133,0.9143344238400459,395.5798728466034,155648,0.049804688,0.14821519,155648,518.2250498518518,0.0046388553
77,398,1.0735669,1932.3703703703704,-0.0032865782,0.779486209154129,400.7347209453583,157696,0.04897461,1.1373073,157696,518.2250498518518,0.004282386
78,394,1.0781881,1932.3703703703704,-0.0028060232,0.8280064463615417,405.8791320323944,159744,0.05078125,0.57193947,159744,518.2250498518518,0.0042147874
79,361,1.0790453,1932.3703703703704,-0.00061577855,0.7901619672775269,411.0685062408447,161792,0.038476564,0.9141323,161792,518.2250498518518,0.0036923178
80,365,1.0867769,1932.3703703703704,-0.0049012927,0.845999225974083,416.7383499145508,163840,0.05024414,0.7705158,163840,518.2250498518518,0.004040717
81,352,1.0864911,1932.3703703703704,-0.003757327,0.8902765586972237,422.34359908103943,165888,0.044677734,0.41755134,165888,518.2250498518518,0.004209268
82,399,1.0733954,1932.3703703703704,-0.005838028,0.9273261353373528,428.1575915813446,167936,0.075488284,0.10054271,167936,518.2250498518518,0.005878882
83,353,1.059171,1932.3703703703704,-0.0060694884,0.970235301181674,433.2906894683838,169984,0.08891602,0.035692252,169984,518.2250498518518,0.00714401
84,354,1.0545628,1932.3703703703704,-0.0025412343,0.9125669151544571,439.08251905441284,172032,0.03720703,0.34315512,172032,518.2250498518518,0.0033690645
85,376,1.0542748,1932.3703703703704,-0.0028080095,0.9039089977741241,444.86147570610046,174080,0.03984375,0.5118285,174080,518.2250498518518,0.003646044
86,388,1.0490321,1932.3703703703704,-0.0021302183,0.8990867286920547,450.29960918426514,176128,0.030273438,0.48717418,176128,518.2250498518518,0.0030168272
87,392,1.0441669,6307.071428571428,-0.0035509467,0.37950974702835083,455.5656204223633,178176,0.032666016,4.2937994,178176,2148.638382714286,0.0033327
88,389,1.0384208,6159.310344827586,-0.0025443563,0.40662938356399536,460.79056692123413,180224,0.037158202,4.112571,180224,2101.6498977931033,0.0035945557
89,351,1.0438135,6052.833333333333,-0.005270531,0.5734021365642548,466.04756331443787,182272,0.03857422,4.178221,182272,2074.9447301,0.0035563917
90,428,1.0444237,5918.580645161291,-0.0019174874,0.5689048767089844,471.88290143013,184320,0.03671875,3.915212,184320,2032.037433,0.003380113
91,388,1.0459402,5797.96875,-0.0015412384,0.6017327308654785,476.6640045642853,186368,0.02236328,3.958712,186368,1994.66954175,0.0022911592
92,430,1.0551946,5678.454545454545,-0.0056909323,0.6274529695510864,481.9422273635864,188416,0.053222656,3.8494258,188416,1956.9581635454547,0.004352695
93,409,1.0618805,5554.176470588235,-0.0037193685,0.7063516974449158,486.69803643226624,190464,0.0496582,3.763596,190464,1915.373694264706,0.004161529
94,398,1.0694629,5483.8,-0.005449168,0.7975682020187378,491.6977298259735,192512,0.0652832,4.128533,192512,1899.1586413714285,0.0053176493
95,400,1.0772567,5377.916666666667,-0.001786304,0.7673483490943909,496.83249592781067,194560,0.031835936,3.5353909,194560,1863.8413093333334,0.0030971172
96,381,1.0805442,5261.027027027027,-0.004192401,0.7956009060144424,501.95001745224,196608,0.044677734,3.9772346,196608,1823.6634977837837,0.003924493
97,392,1.0808251,5195.026315789473,-0.002367395,0.7869937717914581,507.31960368156433,198656,0.04916992,4.044236,198656,1809.4424197368419,0.0043370323
98,383,1.0794914,5121.076923076923,-0.002012653,0.8177324384450912,512.532984495163,200704,0.058935545,4.0275936,200704,1790.6279096153844,0.004868198
99,384,1.0711021,5121.076923076923,-0.002884984,0.9050547406077385,517.8763251304626,202752,0.066308595,1.2361594,202752,1790.6279096153844,0.0056539103
100,370,1.0571185,5121.076923076923,-0.0024283202,0.9180465340614319,523.2084784507751,204800,0.061181642,0.82174855,204800,1790.6279096153844,0.0050492967
101,397,1.0475485,5121.076923076923,-0.004149716,0.8770284503698349,528.7333557605743,206848,0.048291016,1.378792,206848,1790.6279096153844,0.0044335155
102,409,1.0362966,5121.076923076923,-0.00430311,0.9106923714280128,533.8906166553497,208896,0.06367187,0.88148105,208896,1790.6279096153844,0.005202259
103,374,1.0332093,5121.076923076923,-0.0045475964,0.8984453603625298,538.8922727108002,210944,0.06777344,1.0360801,210944,1790.6279096153844,0.0053975596
104,394,1.0325059,5274.125,-0.0028154615,0.8212072998285294,544.3630459308624,212992,0.027050782,4.5887523,212992,1901.651822675,0.0028860183
105,404,1.0357358,5240.731707317073,-0.002750936,0.7314399778842926,549.5504658222198,215040,0.03745117,6.334354,215040,1907.0069625365854,0.003225616
106,359,1.0402753,5240.731707317073,-0.0027416074,0.9605794325470924,554.6092231273651,217088,0.028759766,0.5467467,217088,1907.0069625365854,0.0029580481
107,410,1.0419102,5175.476190476191,-0.0046535665,0.8416299372911453,560.3111276626587,219136,0.0453125,4.7361827,219136,1891.4408475238095,0.0038287614
108,423,1.0530044,5012.636363636364,-0.0041489354,0.8093471527099609,565.30535197258,221184,0.05913086,7.7156744,221184,1839.7674621136364,0.0049414383
109,394,1.0596367,4946.111111111111,-0.002790163,0.9039685279130936,570.1442267894745,223232,0.04902344,3.6881053,223232,1821.3973922666667,0.004169642
110,400,1.0518965,4791.808510638298,-0.0016441963,0.7940135449171066,575.3377478122711,225280,0.03564453,9.1629505,225280,1768.7247296595745,0.003313783
111,370,1.0441258,4722.9375,-0.0033961725,0.8563099503517151,580.4504041671753,227328,0.035986327,6.0890007,227328,1746.5497989166663,0.0031936723
112,355,1.0536841,4579.38,-0.0032278534,0.8260367512702942,585.9763658046722,229376,0.031884767,9.465773,229376,1696.6254774,0.0031060078
113,409,1.0654619,4448.7692307692305,-0.00266116,0.8216816782951355,591.7318465709686,231424,0.055908203,9.226201,231424,1651.681264903846,0.004927838
114,413,1.0687207,4387.2830188679245,-0.0020931147,0.8698495179414749,596.7286887168884,233472,0.040771484,6.0675535,233472,1630.8305696037737,0.0037360094
115,374,1.0781574,4268.418181818181,-0.006589142,0.8175755143165588,601.6847715377808,235520,0.061181642,9.653313,235520,1589.8078208545455,0.005106553
116,420,1.0840234,4167.1578947368425,-0.0030564498,0.7898141145706177,607.1600530147552,237568,0.05581055,10.203961,237568,1556.8398200175436,0.00478114
117,397,1.0765707,4112.396551724138,-0.00074717717,0.8870717659592628,612.0320134162903,239616,0.04824219,5.470147,239616,1537.5824006034481,0.0044805906
118,417,1.0664183,4013.6,-0.0012512006,0.8540320992469788,617.1804242134094,241664,0.040039062,8.397988,241664,1503.6899449166665,0.003663921
119,430,1.0596551,3915.3225806451615,-0.0047812173,0.8254198431968689,622.0846543312073,243712,0.04248047,9.847219,243712,1468.3360553225805,0.004041902
120,400,1.0559268,3779.4153846153845,-0.0030355107,0.7955386340618134,626.8423001766205,245760,0.0440918,13.224268,245760,1420.096295661538,0.0039317356
121,401,1.0607998,3691.89552238806,-0.0047515472,0.8703006356954575,631.9591522216797,247808,0.054003906,7.744409,247808,1388.7226795522386,0.0061445674
122,388,1.0645379,3567.442857142857,-0.00028701237,0.7796341329813004,637.058310508728,249856,0.060058594,16.745926,249856,1344.4006099571427,0.005197385
123,385,1.056914,3489.3194444444443,-0.00378659,0.8051852434873581,642.3305716514587,251904,0.05522461,10.113211,251904,1315.9391883194444,0.004900957
124,379,1.0649527,3379.6666666666665,-0.0047683027,0.7567483335733414,647.6504867076874,253952,0.050195314,14.357664,253952,1275.92946744,0.0042847116
125,421,1.0836929,3279.8205128205127,-0.003564226,0.7851109653711319,653.042774438858,256000,0.05415039,15.656424,256000,1239.8236722564102,0.004464221
126,406,1.0884453,3183.456790123457,-0.002965578,0.8196632415056229,657.9081320762634,258048,0.0734375,13.252263,258048,1204.9672255432097,0.0060267234
127,391,1.0920308,3093.3214285714284,-0.00051817717,0.812307670712471,662.9504356384277,260096,0.07626953,13.10477,260096,1172.1626530119047,0.0064121336
128,406,1.0996082,3010.7586206896553,-0.0065481476,0.7753074169158936,668.1801462173462,262144,0.08759765,15.164235,262144,1142.403628827586,0.007404396
129,416,1.1107872,2932.1,-0.0016698523,0.73567134141922,673.222541809082,264192,0.04790039,16.115479,264192,1113.6514902888887,0.0041056564
130,407,1.1043763,2859.6881720430106,-0.003965747,0.839712843298912,678.137778043747,266240,0.077978514,12.430416,266240,1087.8692736774192,0.0062619434
131,395,1.1068952,2792.9791666666665,-0.0012814577,0.8545780628919601,683.1694819927216,268288,0.06069336,12.066815,268288,1064.5794891458333,0.0052227764
132,407,1.1054189,2728.868686868687,-0.0052174544,0.8658134788274765,688.3470101356506,270336,0.0690918,10.176321,270336,1041.7109243636362,0.005703491
133,401,1.1062989,2712.28,-0.008299805,0.8204500079154968,693.3770437240601,272384,0.05883789,11.143071,272384,1038.2663220099998,0.00510861
134,417,1.116816,2709.23,-0.0050746063,0.8090512305498123,698.4763538837433,274432,0.047070313,13.638048,274432,1044.2823699099997,0.004435007
135,428,1.1287358,2655.74,-0.005653566,0.8175467550754547,703.384979724884,276480,0.07998047,11.8612385,276480,1038.5076993399998,0.0062327115
136,360,1.1503729,2666.06,-0.006560532,0.7510460466146469,708.1699895858765,278528,0.058886718,15.40032,278528,1045.87203266,0.007008241
137,400,1.1635343,2668.16,-0.0018307625,0.8214580118656158,713.8568053245544,280576,0.031152343,12.657394,280576,1051.3599159899995,0.0029696748
138,425,1.1751392,2559.97,-0.0017991749,0.8285960555076599,718.9744989871979,282624,0.083789065,13.279447,282624,1034.7520318499999,0.006736421
139,375,1.1994796,2470.9,-0.0024163094,0.8854342177510262,723.7884426116943,284672,0.053955078,7.849536,284672,1009.8185335099997,0.0045292806
140,384,1.2058876,2394.07,-0.0006446862,0.7940855026245117,729.2414824962616,286720,0.06601562,14.805445,286720,982.5415463899997,0.0055350335
141,415,1.2103355,1099.95,-0.0058868476,0.8271083831787109,734.5635316371918,288768,0.05913086,14.596868,288768,506.70025454999995,0.005294655
142,412,1.2298586,1047.67,-0.0018362354,0.8933159708976746,739.4914121627808,290816,0.043359376,7.605353,290816,485.68108045,0.0037756637
143,355,1.2328771,991.35,-0.001764815,0.8643400222063065,744.4590041637421,292864,0.060546875,12.024775,292864,464.6132602299999,0.005239046
144,416,1.2264864,947.72,-0.0029693707,0.8603776395320892,750.2181687355042,294912,0.053759765,8.678655,294912,445.27696704000005,0.004609795
145,405,1.2228005,791.72,-0.0020493541,0.9031575098633766,755.1422517299652,296960,0.04033203,6.2238336,296960,359.2316120800001,0.003551564
146,414,1.2197714,750.14,-0.0047831703,0.8468639701604843,760.1902096271515,299008,0.0390625,11.677328,299008,339.6448080799999,0.003781906
147,396,1.2282997,729.5,-0.004594623,0.91864213347435,765.1268503665924,301056,0.06640625,5.7697897,301056,330.72408151999997,0.005399463
148,426,1.2334183,712.15,-0.0047547244,0.8923569321632385,770.2892460823059,303104,0.056884766,7.8201904,303104,323.60233783,0.005126768
149,406,1.2326248,690.64,-0.0015672743,0.7779465764760971,775.0954995155334,305152,0.053515624,15.865255,305152,314.62673736,0.004714721
150,395,1.2346021,662.96,-0.0018806634,0.7978476881980896,780.1325316429138,307200,0.06362305,16.034794,307200,301.77566701999996,0.0053664427
151,381,1.2407624,649.06,-0.0023765012,0.8651466220617294,785.3125536441803,309248,0.062451173,8.894806,309248,296.59270471,0.005367766
152,390,1.2506152,635.16,-0.0034365922,0.8493106514215469,790.682701587677,311296,0.05024414,10.86342,311296,291.54435576,0.004430295
153,362,1.2610506,624.24,-0.0031240238,0.8184775710105896,795.9276065826416,313344,0.0625,14.124481,313344,287.31981978,0.0065699792
154,427,1.272156,616.13,-0.00384003,0.8728144019842148,801.5861237049103,315392,0.05722656,10.543346,315392,285.36471096,0.0047622155
155,420,1.2856667,608.66,-0.0068956777,0.8428515791893005,806.3830299377441,317440,0.048876952,15.653699,317440,283.64756492,0.0048518023
156,396,1.2805474,602.7,-0.002452724,0.931430846452713,811.252593755722,319488,0.04145508,5.7232437,319488,282.00257279,0.003819141
157,436,1.2792217,597.87,-0.0037762274,0.8993488028645515,816.416526556015,321536,0.05986328,7.489774,321536,280.56604577999997,0.004799415
158,384,1.2910792,591.71,-0.0043245214,0.9390112496912479,821.1119539737701,323584,0.051074218,5.0200853,323584,278.98331873,0.004339765
159,400,1.3032753,584.07,-0.004572169,0.9579827003180981,826.4328606128693,325632,0.06616211,2.89895,325632,276.03840249999996,0.0054696216
160,402,1.3125397,575.01,0.00054708484,0.8752763792872429,831.5435276031494,327680,0.055517577,12.074228,327680,272.54063386999997,0.004919003
161,401,1.3285325,569.13,-0.00787187,0.947198323905468,836.6381764411926,329728,0.07075195,4.3548236,329728,270.67737423,0.0061423094
162,413,1.3453043,561.92,-0.008046924,0.8730153292417526,841.7397096157074,331776,0.059033204,9.448528,331776,267.63101690999997,0.004979481
163,404,1.3519802,555.14,-0.005838101,0.9056740701198578,846.6932492256165,333824,0.056396484,6.8925047,333824,264.8669293,0.005282214
164,402,1.3380785,549.75,-0.0027412032,0.8898116275668144,851.751939535141,335872,0.028515626,8.773474,335872,263.10614373999994,0.0028896225
165,412,1.3403025,546.46,-0.0054116207,0.9003640711307526,856.8388648033142,337920,0.061279297,6.6810484,337920,261.98218757,0.0054231766
166,404,1.3412535,544.65,-0.0058226045,0.9311593398451805,861.8079912662506,339968,0.048193358,5.9035177,339968,261.65634904,0.004421952
167,374,1.337887,543.35,-0.0019446885,0.9666524045169353,866.8732039928436,342016,0.03310547,2.5893426,342016,261.64867776000006,0.003039572
168,387,1.3429766,539.63,-0.004972103,0.8870738446712494,872.3408625125885,344064,0.04765625,8.61555,344064,260.10038222000003,0.0041834074
