ep_reward_mean,ep_len_mean,total_timesteps,fps,approxkl,value_loss,policy_entropy,policy_loss,clipfrac,explained_variance,n_updates,time_elapsed,serial_timesteps
0.0,1081.1142857142856,75776,161,0.0052107736,3.7131813e-06,1.2272576,-0.006929121,0.06801758,0.27074581384658813,37,269.83706641197205,75776
0.0,1036.4666666666667,77824,152,0.0024300986,4.550713e-06,1.2236254,-0.0024814517,0.0203125,0.0017496347427368164,38,282.5133194923401,77824
0.0,983.6913580246913,79872,183,0.0038060967,2.2377366e-05,1.2357605,-0.0036851831,0.042138673,0.4294259548187256,39,295.9560236930847,79872
0.0,937.6321839080459,81920,169,0.0036629091,8.372831e-06,1.2426122,-0.0028792839,0.038476564,0.2773544192314148,40,307.1399025917053,81920
0.0,880.7052631578947,83968,122,0.0056948545,6.044093e-06,1.2474085,-0.005270059,0.076123044,0.3298153281211853,41,319.2159721851349,83968
0.0,838.16,86016,110,0.0052514244,3.724776e-06,1.2535111,-0.0036484469,0.06538086,0.22399014234542847,42,335.87162947654724,86016
0.0,811.43,88064,84,0.0044771433,2.535358e-06,1.2596573,-0.004682759,0.049560547,0.2921448349952698,43,354.33920550346375,88064
0.0,709.33,90112,83,0.0037403132,9.070869e-06,1.2510662,-0.0038425624,0.037353516,-0.26152658462524414,44,378.5904257297516,90112
0.0,561.53,92160,99,0.0040622666,3.4607754e-06,1.2408557,-0.0038701866,0.043847658,-0.07776856422424316,45,402.986008644104,92160
0.0,423.38,94208,97,0.0020649938,7.5275734e-06,1.2396318,-0.0016819106,0.019677734,-0.504975438117981,46,423.5207028388977,94208
0.0,261.07,96256,82,0.0048294608,2.1089469e-05,1.2464707,-0.00712482,0.059472658,-0.3944958448410034,47,444.44145226478577,96256
0.0,240.03,98304,94,0.0035320788,2.012232e-06,1.2475694,-0.002373719,0.032568358,0.5282900035381317,48,469.22101855278015,98304
0.0,218.06,100352,103,0.0023806447,1.5399106e-06,1.2407062,-0.002263064,0.015429688,0.6338958740234375,49,490.8801164627075,100352
0.0,202.37,102400,94,0.0049988744,1.829975e-06,1.2304854,-0.004240594,0.058544923,0.6671834886074066,50,510.7563946247101,102400
0.0,193.07,104448,96,0.004829708,3.0046988e-06,1.219291,-0.00479401,0.054296874,0.4895322322845459,51,532.541766166687,104448
0.0,186.47,106496,87,0.002664484,2.4571626e-05,1.211702,-0.0025026028,0.02631836,-0.24157798290252686,52,553.8135099411011,106496
0.0,183.31,108544,72,0.0043210303,6.5976747e-07,1.2129936,-0.004814643,0.0515625,-0.4426974058151245,53,577.2211763858795,108544
0.0,177.51,110592,80,0.0051238127,1.91687e-06,1.2206799,-0.005385748,0.057373047,-1.3812916278839111,54,605.4878597259521,110592
0.0,173.04,112640,68,0.004548315,3.0929205e-06,1.2195103,-0.0054700384,0.04975586,-1.617799997329712,55,630.989068031311,112640
0.0,165.47,114688,88,0.0031145574,1.566573e-06,1.2138175,-0.0012208136,0.031933594,-1.930661916732788,56,661.0352711677551,114688
0.0,157.02,116736,81,0.003822508,4.286541e-05,1.2114826,-0.0026635886,0.0418457,-0.32237422466278076,57,684.0963487625122,116736
0.0,150.31,118784,87,0.005457596,9.142993e-07,1.2165419,-0.0040814322,0.066992186,-0.24253308773040771,58,709.20747423172,118784
0.0,143.01,120832,69,0.005960798,2.189167e-06,1.2121769,-0.004118049,0.06962891,-1.1729745864868164,59,732.632654428482,120832
0.0,134.3,122880,62,0.0037516777,1.5906189e-06,1.2144684,-0.0023721347,0.038183592,-0.9734659194946289,60,762.1373934745789,122880
0.0,125.82,124928,65,0.0059997374,7.565455e-06,1.2230136,-0.0076050973,0.06982422,-1.5596697330474854,61,794.9022793769836,124928
0.0,121.18,126976,53,0.005495574,7.892274e-06,1.229269,-0.005441336,0.06948242,-0.4916945695877075,62,826.2078273296356,126976
0.0,117.06,129024,71,0.0054623247,1.5660546e-06,1.2365434,-0.005031697,0.065820314,-0.14907193183898926,63,864.8202538490295,129024
0.0,112.49,131072,54,0.0034344613,6.2407235e-06,1.2468026,-0.0015957814,0.0340332,0.6274735033512115,64,893.6404540538788,131072
0.0,109.46,133120,49,0.0025321518,6.038895e-06,1.2471334,-0.0012905446,0.02368164,-0.04953646659851074,65,931.1494421958923,133120
0.0,107.15,135168,62,0.0031985934,1.2434444e-05,1.2373073,-0.0021996195,0.031884767,0.8709215223789215,66,972.8518755435944,135168
0.0,105.19,137216,62,0.0050193435,7.4162176e-06,1.2335508,-0.0034414888,0.062207032,0.8041164875030518,67,1005.7437410354614,137216
0.0,103.95,139264,52,0.0029050927,3.064309e-06,1.2418792,-0.0003943052,0.02734375,0.6915546357631683,68,1038.61177110672,139264
0.0,103.63,141312,73,0.0034071952,4.1363914e-05,1.2424662,-0.0029571801,0.034423828,0.5512378215789795,69,1077.2847051620483,141312
0.0,104.3,143360,55,0.0025710068,1.7994349e-05,1.231538,-0.00067758764,0.021826172,-0.3178243637084961,70,1105.251515865326,143360
