fps,ep_len_mean,serial_timesteps,policy_loss,clipfrac,policy_entropy,total_timesteps,approxkl,value_loss,time_elapsed,explained_variance,n_updates,ep_reward_mean
68,122.12,79872,-0.004592509,0.06782226,1.3665589,79872,0.005559965,5.814725e-06,833.3716316223145,-0.6896582841873169,39,0.0
59,118.55,81920,-0.003925763,0.05859375,1.358927,81920,0.0049385726,1.5418788e-06,863.2869112491608,-2.5510976314544678,40,0.0
72,116.01,83968,-0.0020248063,0.04941406,1.3530543,83968,0.004140755,1.5122178e-05,897.6876695156097,-4.583946704864502,41,0.0
61,113.99,86016,-0.0023466744,0.051464844,1.3499001,86016,0.0044096923,1.0681041e-06,926.1338276863098,-3.117616653442383,42,0.0
72,112.16,88064,-0.0035512168,0.07749023,1.3418211,88064,0.0062090433,3.934848e-06,959.4912760257721,-3.1658883094787598,43,0.0
67,109.58,90112,-0.0007448507,0.03251953,1.339288,90112,0.0031525115,2.5365565e-05,987.9167850017548,-4.818121433258057,44,0.0
66,107.73,92160,-0.0012163069,0.046777345,1.3504419,92160,0.0041116495,1.341018e-06,1018.387565612793,-1.3296160697937012,45,0.0
57,105.6,94208,-0.0051884884,0.07817383,1.3486168,94208,0.0061457264,8.800557e-05,1049.3837685585022,0.011763572692871094,46,0.0
50,103.45,96256,-0.00029623625,0.035205077,1.3438294,96256,0.0032217975,6.356823e-07,1085.166005373001,-6.753467082977295,47,0.0
62,101.96,98304,-0.0018883465,0.0574707,1.3412702,98304,0.004883201,4.5778967e-07,1125.5546367168427,-0.26242685317993164,48,0.0
53,101.32,100352,0.00019500799,0.044921875,1.341047,100352,0.003956333,3.1052173e-07,1158.168613910675,-0.06990706920623779,49,0.0
51,100.77,102400,-0.0034928943,0.064208984,1.3374655,102400,0.005326751,2.9951224e-07,1196.4242310523987,-0.1681671142578125,50,0.0
54,101.13,104448,-0.0032741323,0.07719727,1.3272742,104448,0.006087491,3.6316723e-07,1235.8339235782623,-0.9356973171234131,51,0.0
50,100.86,106496,-0.001400661,0.07006836,1.3166606,106496,0.0055728527,5.1879636e-07,1273.2278335094452,-0.47223222255706787,52,0.0
58,100.33,108544,-0.0029756897,0.05356445,1.3091824,108544,0.0044502555,7.3293095e-06,1313.395599603653,-0.6598961353302002,53,0.0
63,100.63,110592,-0.0051858258,0.096875,1.308966,110592,0.007265508,1.8772162e-05,1348.5481374263763,-2.660507917404175,54,0.0
50,100.33,112640,-0.0033190444,0.060595702,1.3021091,112640,0.005078433,6.4157894e-07,1380.6138770580292,0.34547245502471924,55,0.0
59,99.83,114688,-0.0045039784,0.07211914,1.2982569,114688,0.005968349,1.1209904e-06,1421.32004737854,0.6783724129199982,56,0.0
51,99.64,116736,-0.0008428163,0.054492187,1.2853498,116736,0.004998744,7.5293237e-06,1455.8975508213043,0.2454867959022522,57,0.0
55,99.24,118784,-0.0034283244,0.06850586,1.2786329,118784,0.0053796554,8.032022e-07,1495.7563569545746,-0.5662091970443726,58,0.0
64,98.15,120832,-0.0020135532,0.078466795,1.2741816,120832,0.0063430266,9.1275804e-05,1532.4177412986755,-2.7668187618255615,59,0.0
58,97.11,122880,-0.0024911787,0.062597655,1.2779167,122880,0.005152683,2.7038752e-07,1564.1380438804626,-2.0862433910369873,60,0.0
55,96.12,124928,-0.001983039,0.058154296,1.2901971,124928,0.0047588632,1.6868805e-07,1599.242765903473,-1.575618028640747,61,0.0
48,95.61,126976,-0.0034980462,0.048193358,1.294858,126976,0.004134669,2.749505e-07,1636.4036996364594,-1.7938334941864014,62,0.0
43,95.34,129024,-0.0030013449,0.059472658,1.2863504,129024,0.005129625,1.4801319e-07,1678.9596915245056,-4.6144843101501465,63,0.0
50,95.14,131072,-0.0053174067,0.0734375,1.2746717,131072,0.0059245788,1.6315414e-07,1726.485267162323,-2.5886688232421875,64,0.0
56,95.33,133120,-0.0017418346,0.049951173,1.261563,133120,0.004293275,2.1114217e-06,1766.6738936901093,-2.8735241889953613,65,0.0
54,95.28,135168,-0.0021685527,0.058642577,1.246453,135168,0.004776812,1.5620517e-05,1803.2155227661133,-2.1811771392822266,66,0.0
54,95.08,137216,-0.0030156001,0.08022461,1.2391412,137216,0.0072011724,2.5637192e-07,1841.0153868198395,-2.0975732803344727,67,0.0
52,94.84,139264,-0.0032771665,0.06069336,1.2282951,139264,0.0051001688,4.2481366e-07,1878.9324176311493,-2.387010335922241,68,0.0
52,94.86,141312,-0.0052128904,0.08496094,1.2148707,141312,0.006749929,1.38443675e-05,1917.7248573303223,-2.601135015487671,69,0.0
44,94.48,143360,-0.0034471243,0.07192383,1.2086692,143360,0.006039215,5.5431912e-05,1956.5292241573334,-1.717073678970337,70,0.0
50,94.21,145408,-0.0035895617,0.073632814,1.2019801,145408,0.005913066,1.2097904e-07,2002.379120349884,-3.2868399620056152,71,0.0
51,93.85,147456,-0.0027142619,0.0847168,1.1986135,147456,0.006536106,6.0849504e-07,2042.9743633270264,-2.4748144149780273,72,0.0
53,93.89,149504,-0.003950974,0.09106445,1.1909616,149504,0.0070829326,3.8132504e-07,2082.5282592773438,-2.6904449462890625,73,0.0
53,94.06,151552,-0.0014208772,0.06044922,1.1727908,151552,0.005229882,9.740505e-08,2120.7809369564056,-2.556046724319458,74,0.0
56,94.01,153600,-0.0023951528,0.072216794,1.1601069,153600,0.005554955,1.421843e-07,2158.8433632850647,-2.9585859775543213,75,0.0
48,93.73,155648,-0.0021423905,0.06542969,1.1641968,155648,0.0050508436,1.8169676e-07,2194.892957687378,-2.329681396484375,76,0.0
49,93.34,157696,-0.0014315412,0.06313477,1.1571057,157696,0.0055510337,4.2874242e-05,2236.7599239349365,-2.7466800212860107,77,0.0
51,92.32,159744,0.00017187154,0.07338867,1.1402797,159744,0.0057244557,4.8501574e-06,2278.245623111725,-1.1552581787109375,78,0.0
50,91.59,161792,-0.0006373789,0.07333984,1.1469035,161792,0.005970892,9.5216456e-07,2317.999944448471,0.6771302223205566,79,0.0
50,91.61,163840,0.0006994212,0.06523438,1.1510317,163840,0.0056354883,1.8772338e-06,2358.716386318207,0.8316232562065125,80,0.0
55,91.55,165888,-0.0031026376,0.06381836,1.1468346,165888,0.0055225347,3.1508847e-07,2399.4850883483887,0.7440444231033325,81,0.0
53,91.6,167936,-0.0005353025,0.055761717,1.1269497,167936,0.005470819,7.724437e-07,2436.5228152275085,0.45459306240081787,82,0.0
50,91.98,169984,-0.005893926,0.103564456,1.1205536,169984,0.007884377,2.7867663e-05,2474.5427372455597,-0.3776562213897705,83,0.0
46,92.16,172032,-0.00041163963,0.058447264,1.1333156,172032,0.005010365,6.3475994e-07,2514.8420119285583,-2.924182415008545,84,0.0
51,92.26,174080,-0.002289247,0.080566406,1.1253082,174080,0.0063479356,1.16915714e-07,2559.028110265732,-4.480041027069092,85,0.0
46,92.54,176128,-0.00016377679,0.05986328,1.1212447,176128,0.0048906445,7.486494e-05,2599.0663187503815,-2.3751935958862305,86,0.0
51,93.16,178176,-0.00028062932,0.053808592,1.1233847,178176,0.004586005,2.4284461e-06,2642.7345049381256,-1.1125361919403076,87,0.0
60,93.77,180224,-0.0014954789,0.08432617,1.1230584,180224,0.006790585,1.474294e-06,2682.4742789268494,0.8773586750030518,88,0.0
57,94.51,182272,-0.0040017543,0.08173828,1.1069037,182272,0.006940636,2.225162e-07,2716.1807763576508,0.7786447256803513,89,0.0
47,95.27,184320,0.0006362347,0.050976563,1.0873798,184320,0.004652392,9.0918064e-08,2751.7199091911316,0.7798064351081848,90,0.0
54,96.14,186368,-0.00020030621,0.079882815,1.0717933,186368,0.0067903837,7.13316e-08,2794.753529071808,0.6402117609977722,91,0.0
43,96.31,188416,-0.0018356688,0.09287109,1.0646359,188416,0.0073847636,9.1595346e-08,2832.6279153823853,0.48705047369003296,92,0.0
54,96.08,190464,-0.0007731518,0.0703125,1.0557582,190464,0.005668008,1.385486e-07,2879.2948167324066,0.40335994958877563,93,0.0
53,95.82,192512,-0.0002956029,0.0725586,1.047642,192512,0.0061366395,9.2364004e-08,2916.8833203315735,0.40318113565444946,94,0.0
70,95.3,194560,-0.0055126417,0.10600586,1.0397933,194560,0.008319801,1.2071627e-05,2955.4533512592316,-4.612664699554443,95,0.0
51,94.2,196608,-0.0021356693,0.05805664,1.0145336,196608,0.0051871245,8.479422e-08,2984.6933240890503,-4.05456018447876,96,0.0
47,93.72,198656,-0.0007296709,0.094335936,0.9988928,198656,0.007346078,6.525344e-08,3024.314864397049,-3.844809055328369,97,0.0
45,93.2,200704,-0.0018641131,0.069970705,0.988361,200704,0.006140021,8.525526e-07,3067.070744037628,-3.4597649574279785,98,0.0
56,92.8,202752,-0.00021216254,0.07104492,0.9817174,202752,0.005747847,7.4874056e-06,3112.568289756775,-1.2699840068817139,99,0.0
46,92.55,204800,-0.0005625623,0.080078125,0.98265964,204800,0.0067383074,1.6512353e-05,3148.5455889701843,-1.5185632705688477,100,0.0
47,92.3,206848,0.0008449947,0.068603516,0.97936547,206848,0.0059440816,9.916276e-07,3192.6190140247345,0.768786609172821,101,0.0
53,92.26,208896,-0.0018573474,0.06743164,0.96251106,208896,0.0057479297,1.4359235e-07,3235.341823577881,0.8424489945173264,102,0.0
48,92.25,210944,0.0012701156,0.053125,0.9517503,210944,0.004566123,2.7290667e-05,3273.6892166137695,0.650842934846878,103,0.0
