time_elapsed,n_updates,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,ep_reward_mean,serial_timesteps,policy_loss,approxkl,total_timesteps,explained_variance
200.83372402191162,39,355.32,47.440487,393,1.8045317,0.0125,330.47253796999996,79872,-0.0015812364,0.0016242746,79872,0.4851558804512024
206.0430943965912,40,363.28,45.60295,340,1.7982401,0.020654297,338.09689679999997,81920,-0.0024173188,0.0022252032,81920,0.6528364717960358
212.0618278980255,41,372.72,42.650105,368,1.8101003,0.03286133,346.72600374999996,83968,-0.003628973,0.002964801,83968,0.5034205615520477
217.62516236305237,42,379.25,40.64295,396,1.8331077,0.042626955,352.15356131,86016,-0.0031867425,0.003555147,86016,0.7450672686100006
222.7890853881836,43,396.12,43.308662,398,1.8384959,0.018115234,367.98025226,88064,-0.0010709319,0.002218972,88064,0.6922568380832672
227.9247465133667,44,407.48,40.438408,390,1.8385379,0.019921875,378.4262165700001,90112,-0.00048679084,0.002102858,90112,0.7859663665294647
233.1741852760315,45,414.96,37.180126,374,1.8463291,0.05415039,385.39742962,92160,-0.008463835,0.004352567,92160,0.7240138649940491
238.64099407196045,46,419.48,41.13068,386,1.8543999,0.019824218,389.26751618000003,94208,-0.0027802372,0.0022890135,94208,0.6029102802276611
243.93692326545715,47,425.4,36.761677,364,1.8516729,0.048535157,394.95092812999997,96256,-0.0025868178,0.004247233,96256,0.8466654121875763
249.5602889060974,48,431.87,37.071037,361,1.8597444,0.018603515,401.4060170300001,98304,-0.0029127162,0.00204778,98304,0.8529003411531448
255.23192048072815,49,437.71,32.457226,376,1.8600712,0.010205078,406.6251528199999,100352,-0.00059603323,0.0014297493,100352,0.8580535650253296
260.6755838394165,50,442.99,30.56969,359,1.8464731,0.01669922,411.06199007000004,102400,-0.004385701,0.0021147453,102400,0.863977462053299
266.3835668563843,51,452.68,33.00348,380,1.8539727,0.050830077,420.12182421,104448,-0.004950813,0.0046324683,104448,0.8533965200185776
271.76935148239136,52,462.94,32.819294,382,1.8531399,0.015966797,429.55206295000005,106496,-0.0002828396,0.002287314,106496,0.8985412493348122
