#{"t_start": 1567622211.1951208, "env_id": null}
r,l,t
44.248528,46,0.715634
56.465123,62,0.825385
39.226233,41,0.898399
33.662203,35,0.959806
41.218378,43,1.041629
81.292766,85,1.211101
51.02205,54,1.314948
42.09863,44,1.399337
47.025989,50,1.496856
51.671803,58,1.606966
54.206947,60,1.719933
47.283537,53,1.819545
38.082846,43,1.901341
44.224187,50,1.989865
54.365726,58,2.101037
60.283731,65,2.228027
87.076114,94,2.421803
51.404996,57,2.528254
54.306955,60,2.643117
41.001646,46,2.722733
39.140945,43,2.798544
65.59058,72,2.935435
52.743166,58,3.040184
40.644661,44,3.124884
50.291795,53,3.222215
54.679833,57,3.330175
48.376244,51,3.426103
42.394708,45,3.509904
56.272167,59,3.61896
40.245675,42,3.703614
44.218296,46,3.789439
40.253639,42,3.867232
80.642878,84,4.037495
55.724125,59,4.15335
53.847257,59,4.272145
51.633065,57,4.397505
44.76807,50,4.494114
51.958939,57,5.140156
42.893332,46,5.221857
81.938615,84,5.386164
53.934568,56,5.490409
102.812367,108,5.714875
61.980471,66,5.868443
65.281264,70,6.033336
62.400534,66,6.158178
44.668567,48,6.244303
60.750463,65,6.421839
53.199857,57,6.60286
41.494758,45,6.694579
55.482701,61,6.829872
88.32422,96,7.066221
62.7288,68,7.217141
71.328849,76,7.388943
58.146742,64,7.515472
99.587523,107,7.763699
43.67279,46,7.874641
47.456372,50,7.987734
36.159104,39,8.073699
43.546618,47,8.177732
37.779171,41,8.254102
50.126201,54,8.360373
31.830767,35,8.426179
53.693546,58,8.548088
51.544555,55,8.663052
52.022887,56,8.791835
70.39389,76,8.938564
58.219698,62,9.079209
63.872617,71,9.223454
122.296604,128,9.502497
67.332156,71,10.326619
50.219425,55,10.442526
64.542484,70,10.587797
112.807071,123,10.833377
69.488087,74,11.032579
42.850575,49,11.224008
38.02121,43,11.321065
60.699341,68,11.464603
59.705639,67,11.601795
54.034849,59,11.734456
49.11948,54,11.848096
70.279736,76,12.011317
42.983416,47,12.102469
81.924287,85,12.294483
56.700168,59,12.412081
34.127358,36,12.501161
69.298771,74,12.669154
56.605028,60,12.785377
42.686201,45,12.887536
46.889084,51,12.999606
42.692696,48,13.093118
52.053197,54,13.203989
54.54238,57,13.359663
74.310958,78,13.543334
63.444979,66,13.708115
42.764092,46,13.800263
79.117751,85,13.994108
49.420028,54,14.109003
83.591054,90,14.314897
59.474224,65,14.490785
86.730095,90,14.725437
79.609116,83,15.403323
70.57527,74,15.563205
52.774535,57,15.682632
53.965514,59,15.798304
36.517758,40,15.887828
55.730335,61,16.039605
75.112263,82,16.223845
53.750597,59,16.396617
48.44399,54,16.58083
74.61007,84,16.918431
83.972243,94,17.145022
59.147425,67,17.287059
46.253653,52,17.410636
83.423263,94,17.626892
45.447078,51,17.755385
57.735122,64,17.911624
71.703526,79,18.096801
54.866791,60,18.248596
63.789186,71,18.397587
54.525237,61,18.530638
54.447028,61,18.705125
78.963611,88,18.929691
95.32265,106,19.178509
98.821507,110,19.443559
132.394338,144,19.773144
60.030546,63,19.911427
72.545049,79,20.076352
71.190568,74,20.234877
58.979017,62,20.807716
54.527143,57,20.95342
53.875499,56,21.085693
76.556021,85,21.280702
62.468686,69,21.424045
85.829682,89,21.644288
82.607007,86,21.813556
61.032454,64,21.98412
130.161486,136,22.481183
184.095595,192,22.951643
64.053021,69,23.105501
55.032867,58,23.231658
99.307408,103,23.480946
186.280816,198,23.9494
74.73846,82,24.130531
59.929477,66,24.26842
59.31871,66,24.41587
66.971817,75,24.59448
77.237786,83,24.782667
88.238924,94,25.00924
59.890138,63,25.14892
88.934368,95,25.406569
73.088993,78,25.592417
69.673697,74,26.207242
70.265839,77,26.410376
64.772959,69,26.569475
56.975161,59,26.704497
134.365849,138,27.045635
83.256484,86,27.300669
54.995097,57,27.441836
112.072219,117,27.76763
81.801808,86,28.018683
40.815741,43,28.11896
93.460946,97,28.365669
89.93628,93,28.619228
101.559894,105,28.875791
116.63886,123,29.225779
75.845987,81,29.398385
47.48495,51,29.502058
67.329325,72,29.646412
92.969782,100,29.903629
70.098582,76,30.088635
66.540632,71,30.265657
65.166225,68,30.437205
101.102481,105,30.664068
75.47063,80,30.885666
83.569614,87,31.118137
47.994034,50,31.221967
76.973169,81,31.917086
99.273154,111,32.142935
87.346416,97,32.401634
96.275062,106,32.655001
94.043249,104,32.857029
77.378499,86,33.063874
45.478405,51,33.178673
81.00264,90,33.384926
89.164729,99,33.60672
47.87653,54,33.733359
90.970814,101,33.995277
146.693622,162,34.358374
130.000665,142,34.739325
99.920529,106,34.998019
142.978102,153,35.306069
80.816953,84,35.488261
114.609103,124,35.738438
59.624357,66,35.862433
121.287964,132,36.209741
110.916718,114,36.488909
91.153265,97,37.205119
141.486734,149,37.519397
108.724205,115,37.774212
146.043864,152,38.095796
107.837827,114,38.337277
65.017712,72,38.487136
88.702798,95,38.680388
88.786212,97,38.899886
73.618887,82,39.088639
70.611679,78,39.267391
155.724987,170,39.664182
106.848507,118,39.939362
114.421878,127,40.215291
76.073484,85,40.403517
117.941873,130,40.666808
73.681473,76,40.81819
137.041708,140,41.124321
112.787846,121,41.37555
171.320756,183,42.21126
130.436227,141,42.509052
117.906686,125,42.772498
81.358625,87,42.945637
130.17642,137,43.224325
84.382537,88,43.398066
149.265515,155,43.723502
70.638409,73,43.866018
144.627101,151,44.178721
179.152334,189,44.602958
92.80481,100,44.85236
101.084936,113,45.071821
110.171966,124,45.372096
108.685391,122,45.702297
152.348635,170,46.08581
105.218271,117,46.402489
117.954755,130,47.161542
127.097769,139,47.523019
198.629547,216,48.047809
182.910745,198,48.519194
84.393992,90,48.701297
79.407213,85,48.895328
289.494038,304,49.785722
175.801081,182,50.273379
192.794084,199,50.778635
195.325675,204,51.254177
118.931222,130,51.55654
88.755137,99,51.762895
62.38885,70,51.934274
116.237627,129,52.593198
95.268991,104,52.801528
192.836666,203,53.220773
266.657262,281,53.92819
234.600048,262,54.553946
201.039625,217,55.061894
214.645306,226,55.578784
155.215814,169,55.959402
125.694113,136,56.293334
117.58309,125,56.596873
100.104227,107,56.82014
144.141122,154,57.554288
190.252515,211,58.000274
163.424259,179,58.500724
232.940254,250,59.143596
285.164404,316,59.878184
154.422393,169,60.240912
197.546156,215,60.775094
169.86294,183,61.189181
161.997256,175,61.581766
235.675887,250,62.148805
255.106789,271,63.214653
214.993333,230,63.86737
187.998709,197,64.342695
423.44949,460,65.381115
182.28593,198,65.807035
256.073351,274,66.445192
186.847422,198,66.925372
216.377484,240,67.450285
478.364726,510,69.168173
132.024187,141,69.455805
384.773406,401,70.365957
289.354529,303,71.075552
241.055578,250,71.650724
449.97477,468,72.829794
211.809804,228,73.735688
198.522483,208,74.180473
181.11553,198,74.65539
308.320601,321,75.431592
291.421279,302,76.087437
329.884286,350,76.873783
300.373383,314,77.555016
248.863061,263,78.506391
180.421967,192,78.965327
183.6435,201,79.434545
159.967618,185,79.871574
387.23405,425,80.921561
153.998038,164,81.260671
242.647655,255,81.877611
247.07381,266,82.519974
421.414075,460,84.043118
292.437898,306,84.724004
157.908533,170,85.097444
277.021107,311,85.837616
213.23154,232,86.3619
208.485507,229,86.87612
547.622147,586,88.387327
218.444797,235,89.348268
185.855315,196,89.832426
285.368696,299,90.546681
176.787194,195,90.962373
171.058155,187,91.355038
136.021291,147,91.666066
153.664513,171,92.088564
132.981319,153,92.472692
260.281937,270,93.063724
182.427607,190,93.478724
268.095009,284,94.490937
236.88263,252,95.041058
151.158579,162,95.378196
145.715775,154,95.730199
311.42981,325,96.42659
361.323149,379,97.310072
152.851855,163,97.715104
243.585694,260,98.29806
155.003773,174,99.227086
