serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,approxkl,n_updates,explained_variance,value_loss,time_elapsed
81920,1.8157936,81920,509.90013240999986,542.8,-0.001654933,0.02631836,315,0.0025660929,40,0.2681316137313843,51.883648,249.56119203567505
83968,1.8251337,83968,533.6413502800001,568.22,-0.0002866209,0.020703126,316,0.0021587792,41,0.8102078288793564,45.184883,256.05492544174194
86016,1.827658,86016,542.65782139,578.07,-0.0010336409,0.02265625,310,0.0023026431,42,0.1701790690422058,49.339943,262.5238108634949
88064,1.8378261,88064,554.37246353,590.64,-0.0025534146,0.033496093,313,0.0029955055,43,0.2836748957633972,47.13263,269.11959862709045
90112,1.8492264,90112,563.95571604,601.17,-0.0014925438,0.017480468,310,0.0018563792,44,0.7185021042823792,40.67179,275.6561186313629
92160,1.856847,92160,573.02541984,611.36,-0.001647532,0.04091797,308,0.0035454514,45,0.6552639901638031,39.870487,282.25747084617615
94208,1.8781865,94208,582.23157259,620.89,-0.0010803742,0.026513672,307,0.00268981,46,0.4383498430252075,45.292614,288.89221715927124
96256,1.8845255,96256,596.5886267199999,635.98,-0.0037749335,0.046533205,308,0.0038667559,47,0.3837820291519165,42.894157,295.5625970363617
98304,1.8817562,98304,604.6427545199999,644.6,-0.0018396305,0.013427734,310,0.0016620947,48,0.820470854640007,38.937508,302.1960747241974
100352,1.8978561,100352,621.4488762499999,662.77,-0.0025163335,0.042138673,305,0.0034420348,49,0.6925068795681,35.15182,308.7975478172302
102400,1.9174268,102400,639.20808925,681.45,-0.0026715447,0.029394532,312,0.0028063685,50,0.460860013961792,40.06041,315.5089385509491
104448,1.935421,104448,657.26744909,700.63,0.0006568419,0.020751953,303,0.0021641576,51,0.5703592598438263,36.132652,322.07159900665283
106496,1.9468533,106496,665.11148214,709.06,-0.0006266215,0.008300781,308,0.0011698382,52,0.9073423594236374,35.03846,328.83083868026733
108544,1.9495182,108544,680.8477284999999,725.64,-0.002165181,0.03793945,306,0.0037570342,53,0.0020579099655151367,37.213093,335.48088932037354
110592,1.9544954,110592,696.5323239200001,742.3,3.0008745e-05,0.0034179688,305,0.000725741,54,0.7414414584636688,32.392097,342.1708812713623
112640,1.969999,112640,706.1144819100002,752.65,-0.0006172335,0.0053222654,304,0.0007608315,55,0.7294456660747528,30.348913,348.88666582107544
114688,1.9905179,114688,711.58599535,758.42,-0.0037221238,0.039257813,309,0.003120572,56,0.7456930875778198,32.309986,355.6062080860138
116736,2.0022745,116736,717.4136464400002,764.97,-0.004631427,0.030126953,301,0.0028443444,57,0.8612904101610184,26.61864,362.2200553417206
118784,2.0205956,118784,719.06236761,766.58,-0.0016307054,0.032666016,304,0.0028773108,58,0.7636898905038834,31.74589,369.0125825405121
120832,2.0400505,120832,725.5495012399998,773.68,-0.0022051886,0.028076172,302,0.002760921,59,0.8942922130227089,26.428097,375.7314238548279
122880,2.0604913,122880,728.9171130999999,777.39,-0.0018846147,0.027197266,303,0.00217968,60,0.7457172572612762,30.032904,382.5131516456604
124928,2.0813937,124928,739.42205879,788.31,-0.0027387626,0.026416015,300,0.0026130793,61,0.8408677279949188,26.086788,389.261687040329
126976,2.0911887,126976,748.95048917,798.54,-0.003322843,0.034082033,300,0.0029477081,62,0.8557944595813751,24.720428,396.0849804878235
129024,2.0995395,129024,749.9681984,799.77,-0.0029465226,0.020117188,303,0.0022471787,63,0.9037864208221436,23.994535,402.9117567539215
