#{"t_start": 1567642426.6313403, "env_id": null}
r,l,t
31.766279,33,0.925917
54.286599,59,1.072879
43.898086,48,1.196282
58.570332,63,1.348714
48.714338,53,1.482394
40.570106,44,1.589913
47.243999,51,1.715663
67.754602,73,1.905716
74.59953,80,2.111622
53.00414,56,2.266287
43.672301,46,2.399924
50.983491,54,2.552765
66.312936,70,2.770149
47.879798,52,2.911513
94.475878,101,3.184252
40.347216,43,3.285517
38.697922,42,3.392903
60.011389,67,3.565183
58.570536,65,3.728525
128.906693,141,4.105282
85.665509,91,4.348891
58.29533,62,4.507296
47.462583,51,4.645565
41.917244,45,4.756079
56.293299,60,4.904336
39.914772,43,5.008173
80.075097,86,5.231566
49.512976,53,5.365531
55.904021,59,5.508648
39.735562,44,5.61533
39.558274,44,5.722504
107.626383,116,6.023746
112.09822,118,7.054857
68.296938,72,7.249316
65.213701,69,7.433082
44.596668,47,7.548044
89.57719,93,7.810962
54.025615,58,7.957104
58.122632,63,8.116333
43.582265,48,8.240212
53.066259,55,8.37923
49.263184,52,8.516235
110.446265,115,8.817578
47.99215,50,8.932502
66.408045,69,9.106803
72.502045,74,9.310891
48.467124,52,9.474686
90.200679,95,9.79105
46.182782,49,9.921443
81.20462,86,10.158721
50.12388,55,10.308422
51.478953,57,10.454607
61.520461,65,10.638348
52.46375,55,10.778213
55.068666,57,10.91994
64.211451,67,11.104808
51.394397,54,11.240909
36.522412,41,11.332958
71.445675,77,11.532192
69.341138,72,11.731867
91.496146,95,11.981385
47.690118,50,12.100964
76.480226,83,12.326466
39.464389,45,12.97542
47.072722,52,13.117998
80.682357,89,13.354969
87.973182,95,13.605278
76.934966,82,13.814541
52.065502,56,13.956177
47.574803,51,14.068057
37.858451,43,14.174312
49.693643,55,14.329479
75.52574,82,14.537115
58.302457,61,14.712641
50.555217,53,14.848037
118.620664,130,15.193458
51.547214,57,15.341413
65.149785,70,15.523718
90.109602,93,15.766394
134.52986,139,16.131399
50.677646,54,16.283352
79.999141,86,16.552879
52.092292,55,16.724147
43.606424,47,16.850552
47.647719,53,16.988668
81.446934,90,17.238835
96.417489,104,17.504238
59.13788,61,17.659699
60.965479,63,17.824362
80.118812,82,18.050961
99.342845,102,18.324467
91.04248,93,19.121587
42.251795,44,19.217973
56.25272,59,19.368323
47.569381,52,19.504827
74.061742,81,19.714791
72.576334,79,19.926356
98.229566,107,20.225395
77.949248,85,20.447724
66.787546,74,20.640441
56.12025,62,20.797407
84.612177,93,21.040749
49.628063,55,21.180218
39.488495,44,21.287649
65.426857,72,21.4684
73.975071,78,21.668036
53.1325,56,21.810918
57.950782,61,21.964036
66.685726,72,22.147615
34.274842,38,22.242043
97.016912,103,22.51894
82.245607,86,22.731347
37.443218,40,22.823429
72.079609,76,23.021059
53.620871,60,23.196485
54.118535,61,23.388847
161.6708,171,23.887931
61.719675,64,24.04514
71.24276,74,24.236474
71.569286,76,24.995592
61.337705,66,25.178765
120.03848,128,25.535988
55.345001,60,25.684534
39.663992,43,25.795764
101.038012,111,26.100162
131.218553,142,26.489177
55.606942,60,26.640292
52.697188,58,26.784397
95.27818,106,27.070512
97.841094,102,27.34061
83.212755,88,27.57642
87.45794,92,27.818626
64.117774,68,27.991079
95.719874,101,28.275007
70.702729,76,28.477912
59.892879,64,28.633411
45.160168,49,28.756994
63.621013,69,28.93391
73.453182,79,29.146309
84.554726,90,29.379584
43.700891,47,29.486003
70.116236,75,29.688168
69.278661,74,29.872798
68.711263,73,30.079815
68.17838,73,30.887282
79.19169,82,31.138466
91.329561,94,31.383463
58.199736,62,31.548821
81.25658,85,31.775069
56.66114,59,31.919176
80.864747,84,32.147054
57.70377,65,32.318171
72.746297,81,32.525204
71.472548,77,32.729771
82.103941,89,32.964081
74.81727,81,33.175427
111.982133,115,33.505522
110.988482,115,33.801705
104.372708,109,34.102415
62.356729,66,34.264824
145.250655,151,34.678786
104.985552,111,34.98185
62.169038,68,35.161029
81.668049,90,35.403336
136.134015,149,35.809279
129.102733,141,36.18731
78.789687,85,36.966642
82.04338,89,37.253973
72.462038,79,37.500985
79.094107,83,37.746082
80.601309,85,37.972889
144.326709,149,38.380031
158.450914,176,38.850669
150.113226,165,39.296075
89.608433,99,39.562013
65.34601,73,39.751859
140.336859,149,40.151644
108.943272,116,40.458856
121.280718,127,40.788162
101.793703,108,41.056595
118.38373,126,41.395597
46.94206,51,41.514045
65.896858,72,41.705772
74.496407,79,41.908017
55.700169,60,42.059224
103.224743,110,42.359984
130.927319,139,43.292414
137.105591,146,43.705996
72.63943,80,43.926337
103.214698,111,44.281304
192.921401,208,44.871098
83.903533,90,45.113683
92.955014,97,45.369268
72.916249,81,45.582488
90.367802,100,45.844815
104.374268,113,46.149654
73.223175,79,46.359267
77.543873,83,46.573907
93.90119,100,46.844781
81.463051,87,47.072152
85.575023,89,47.311775
77.329834,81,47.533191
55.39053,60,47.674867
71.372472,79,47.873292
89.873052,100,48.144361
141.226212,156,48.579757
53.407634,59,49.297914
116.220154,126,49.671144
86.19598,94,49.915136
71.138877,75,50.107041
82.437591,86,50.332951
180.248813,186,50.897105
95.132817,100,51.222361
143.990264,149,51.647483
72.140618,76,51.841905
85.704787,91,52.099248
67.011202,74,52.287627
82.674275,91,52.522278
66.904163,74,52.717308
105.934998,115,53.024858
78.386204,84,53.245608
172.28716,193,53.758664
85.178644,91,53.986004
122.804795,130,54.338192
114.596133,121,54.656211
92.169056,98,55.468936
88.761702,95,55.729213
78.766166,84,55.954568
98.101004,108,56.243226
94.160904,104,56.518487
67.538919,75,56.717153
89.246566,98,56.979205
111.060173,122,57.333718
76.003956,84,57.567123
73.336666,82,57.821199
123.168233,133,58.249213
118.92637,126,58.608332
72.177067,77,58.806576
215.504128,222,59.422324
66.882198,70,59.597472
119.605577,125,59.93363
124.554457,130,60.281292
66.602276,75,60.476569
99.168579,106,60.761349
103.552168,110,61.604171
94.910543,101,61.904325
192.752898,204,62.471323
130.454255,138,62.859598
75.324079,81,63.063108
103.995833,113,63.385892
51.668788,58,63.526201
101.531914,112,63.843754
74.826229,83,64.072047
109.067883,119,64.399345
102.449405,107,64.7517
105.86302,113,65.084351
115.418843,124,65.419789
85.674915,93,65.65929
95.376095,104,65.931817
299.983255,316,66.815964
115.914633,126,67.150669
110.589538,121,68.043013
133.149104,146,68.437858
101.48779,111,68.742472
124.564506,129,69.093195
134.685632,139,69.467527
161.619634,173,69.943914
131.787919,138,70.315492
140.255692,153,70.728848
171.879254,190,71.266237
215.400149,230,71.97976
105.910459,114,72.283846
208.862222,232,72.927842
117.187771,130,73.279976
173.653776,182,74.355319
65.635345,69,74.535106
88.848188,95,74.795923
113.317279,122,75.119807
96.812155,105,75.408717
200.742662,210,76.009815
144.220764,152,76.421166
101.535444,110,76.7156
38.095099,40,76.806867
194.218932,208,77.390301
97.761911,107,77.672686
150.464044,163,78.133829
119.043639,129,78.55105
130.077524,143,78.955217
177.696188,194,79.495983
111.907949,118,80.35253
269.717261,287,81.145396
137.992813,144,81.549057
215.430994,222,82.16504
526.712327,546,83.728735
240.786861,255,84.413791
170.685601,178,84.902615
351.868086,363,86.035158
203.333654,216,87.191398
253.638573,275,87.9647
427.288919,444,89.235462
286.712936,304,90.088809
313.605298,322,90.988444
299.053207,321,91.912572
333.758081,354,93.524122
151.026741,167,93.966073
252.030088,274,94.732226
566.304462,590,96.423475
229.983512,252,97.145595
299.483229,324,98.065219
299.28634,318,99.602825
237.108116,258,100.319433
237.721412,260,101.032709
300.137286,329,101.935263
389.019286,411,103.094948
214.683649,239,103.768531
327.068697,352,104.77297
378.990961,391,106.553133
295.029989,310,107.429044
386.698185,401,108.563221
332.969307,359,109.559246
105.31617,118,109.883304
498.835486,528,111.38976
214.97235,242,112.711504
360.073602,395,113.81431
557.515535,574,115.485343
218.637059,240,116.144538
365.961407,383,117.226685
288.877165,312,118.625951
326.038641,341,119.724903
293.759606,319,120.604998
423.427857,441,121.875529
666.569261,711,123.886155
726.014597,755,126.744026
263.982161,275,127.500715
437.871174,451,128.814705
406.34898,421,130.02601
260.919141,280,130.8185
371.13025,390,132.517025
371.700147,402,133.771144
670.311189,696,135.741815
413.447808,442,136.950201
649.826496,693,139.488812
363.162785,382,140.701514
602.57477,646,142.582444
724.432084,770,145.252837
629.523843,654,147.232683
687.455734,728,149.309306
342.779356,369,150.343604
592.606501,630,152.712626
758.341888,814,155.173436
585.160827,620,156.999072
348.653453,359,158.613083
632.990489,660,160.668805
541.876189,582,162.292805
795.829111,844,165.323609
587.764385,612,167.187012
554.415561,593,168.925327
647.50323,674,171.467577
556.542955,585,173.21509
568.358027,597,175.072114
816.719428,877,178.159002
749.445372,786,180.496834
645.804236,702,182.611399
809.486007,853,185.696807
765.577211,815,188.104469
580.396919,628,189.926773
564.690737,580,192.185445
552.706005,622,193.986339
714.181017,784,196.368983
584.15058,634,198.784539
1106.669102,1193,202.342611
858.982919,923,205.584035
742.279983,794,207.90224
1075.481752,1144,211.921911
1354.604539,1448,216.19732
741.769902,791,219.055833
716.149015,748,221.232055
691.530004,762,224.117649
624.242434,685,226.157273
1195.342861,1267,229.893708
698.027741,750,232.645169
629.57533,700,234.693923
824.529749,877,237.851727
630.322146,678,239.886801
914.509408,995,242.754046
686.162352,729,245.500579
746.243607,798,247.842859
754.474996,799,250.797549
764.416799,806,253.131481
1153.174837,1228,257.318444
685.235542,741,259.429147
1055.329431,1122,262.616417
674.183622,718,265.409336
969.60681,1035,268.41289
778.449178,836,271.501151
804.487498,854,273.981105
698.71167,742,276.583921
475.026894,510,278.175252
386.516564,412,279.350595
464.484573,500,280.826943
456.427718,491,282.252611
592.460348,640,284.802237
376.135342,423,286.047074
884.791276,953,288.818923
631.345041,679,291.447242
692.327063,715,293.594771
966.069883,1028,297.132326
1265.923504,1323,301.097421
1104.896009,1186,305.213366
1383.764524,1475,310.037526
833.242105,918,312.863368
1370.381974,1479,317.709008
943.398024,978,320.668141
1783.085761,1880,326.874688
626.553158,688,328.934124
1111.472002,1195,333.063357
1952.615597,2049,339.765716
1270.760094,1324,344.218553
800.451052,851,346.866159
511.945877,561,348.515419
431.453339,476,350.481501
706.652466,764,352.722279
639.234,683,354.843968
467.527654,506,356.889878
695.626039,726,359.012745
520.223847,554,360.727034
650.634895,693,363.295106
250.200043,277,364.096133
676.271811,720,366.229928
375.543063,400,367.677764
328.179973,361,368.73296
553.373706,587,370.919287
661.450809,681,372.95816
606.613621,634,374.937521
586.601466,616,377.351883
623.976258,665,379.351569
543.274934,581,381.178434
825.345935,857,384.28563
436.902567,486,385.784492
487.65427,516,387.372545
968.186996,1007,390.941065
818.805026,872,393.648502
689.939636,730,395.849663
1555.417808,1669,401.540248
542.429475,578,403.834473
979.590525,1029,406.91458
621.162584,668,408.890193
490.788535,530,411.075085
439.281921,474,412.450017
874.346426,921,415.150953
483.802318,507,417.326411
634.227422,695,419.383746
