n_updates,total_timesteps,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,serial_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,ep_reward_mean
39,79872,255.11,7.5671005e-06,376,1.2207005,0.07700195,79872,199.12216901779175,0.7641190141439438,0.006334276,-0.003795913,0.0
40,81920,236.01,5.9211817e-07,385,1.2149099,0.028222656,81920,204.56306648254395,0.6567239761352539,0.0032577899,-0.0018435996,0.0
41,83968,203.34,1.4530888e-05,363,1.2150066,0.024121094,83968,209.87425255775452,0.5246150493621826,0.0024745488,-0.0015302037,0.0
42,86016,191.49,4.6222626e-06,387,1.2133032,0.026416015,86016,215.50967693328857,-1.6015541553497314,0.0028379692,-0.0030209166,0.0
43,88064,186.15,5.057485e-07,367,1.195441,0.025244141,88064,220.80230045318604,0.7723059952259064,0.003044112,-0.0024420065,0.0
44,90112,181.08,1.0821511e-06,379,1.1815819,0.066552736,90112,226.3836703300476,0.8821152672171593,0.0053734514,-0.0047240527,0.0
45,92160,178.34,2.2817478e-06,400,1.162676,0.035742186,92160,231.78637504577637,0.8733464330434799,0.0039383364,-0.004415879,0.0
46,94208,175.51,1.3897293e-05,369,1.1397178,0.0647461,94208,236.90574622154236,0.8712126910686493,0.0053228983,-0.0022313432,0.0
47,96256,175.45,8.81271e-06,383,1.1354,0.058007814,96256,242.44477033615112,-2.5659523010253906,0.004683087,-0.004696545,0.0
48,98304,176.02,6.718286e-07,378,1.1330745,0.026611328,98304,247.78744888305664,0.0711371898651123,0.002833384,-0.0004844809,0.0
49,100352,174.93,2.4655878e-06,392,1.1390591,0.03251953,100352,253.19757652282715,0.2260206937789917,0.0030348382,-0.0018610274,0.0
50,102400,174.81,1.1766464e-06,368,1.150697,0.038183592,102400,258.4112460613251,-0.3225289583206177,0.0034716246,-0.0040001906,0.0
51,104448,175.24,7.1781906e-06,394,1.1695143,0.028515626,104448,263.9738790988922,-4.4016218185424805,0.0025849587,-0.000993745,0.0
52,106496,175.87,8.8348753e-07,376,1.164912,0.064648435,106496,269.16673374176025,-1.766479730606079,0.005722977,-0.003814734,0.0
53,108544,177.45,3.6829715e-07,358,1.1527054,0.031884767,108544,274.6033113002777,-0.3153587579727173,0.0031665291,-0.001197296,0.0
54,110592,178.31,3.6348167e-05,389,1.1500959,0.029003907,110592,280.32418847084045,0.028775513172149658,0.0030093822,1.415977e-05,0.0
55,112640,179.36,1.2965148e-07,375,1.154516,0.054833986,112640,285.581422328949,0.1838853359222412,0.004538777,-0.0040892228,0.0
56,114688,179.24,2.0719813e-07,410,1.1685447,0.047265626,114688,291.0369176864624,-1.1629412174224854,0.004123369,-0.0039446843,0.0
57,116736,179.26,2.4135437e-07,387,1.1685398,0.035302736,116736,296.0295832157135,-0.611951470375061,0.0033766304,-0.001176046,0.0
58,118784,179.41,2.4206397e-06,357,1.1644807,0.024560547,118784,301.31728744506836,-2.6770434379577637,0.0026873876,-0.00052729633,0.0
59,120832,178.74,1.53567e-06,394,1.1542796,0.035595704,120832,307.05222964286804,-2.175926685333252,0.0034790668,-0.0015717959,0.0
60,122880,177.67,2.284082e-06,355,1.1402415,0.045996092,122880,312.24093651771545,0.5850426256656647,0.004025151,-0.0029960216,0.0
61,124928,176.25,3.2970056e-06,389,1.1366228,0.0453125,124928,318.00490736961365,0.27881383895874023,0.004170409,-0.00027115925,0.0
62,126976,174.46,1.5078168e-05,402,1.1466237,0.023486327,126976,323.2671194076538,-11.95161247253418,0.0024434037,-0.0008522722,0.0
63,129024,172.66,8.656608e-07,378,1.1678174,0.045898438,129024,328.35107254981995,-1.2043843269348145,0.0039837523,-0.0013887996,0.0
64,131072,171.08,3.6141006e-07,387,1.1827781,0.029248048,131072,333.7673432826996,0.6106983721256256,0.0029029115,-0.00091920944,0.0
65,133120,170.44,2.5933205e-06,408,1.1858747,0.028759766,133120,339.05831384658813,0.6117285192012787,0.00307834,0.00014881417,0.0
66,135168,170.67,3.4804685e-05,377,1.1840372,0.047851562,135168,344.0748519897461,0.06665980815887451,0.004242136,-0.0014987269,0.0
67,137216,170.82,5.0866083e-06,387,1.1724653,0.04526367,137216,349.5011353492737,-0.1660771369934082,0.004167025,-0.0037630629,0.0
68,139264,171.76,3.127414e-06,402,1.1584117,0.019140625,139264,354.79270243644714,0.8739552348852158,0.0025457407,-0.0011418018,0.0
69,141312,173.04,1.2595618e-07,378,1.1405519,0.075976565,141312,359.8783664703369,0.8111504465341568,0.0061205933,-0.0042719883,0.0
70,143360,175.8,1.6801712e-07,402,1.1353371,0.050341796,143360,365.29747557640076,0.6019280552864075,0.004361109,-0.0026781217,0.0
71,145408,178.06,1.533886e-07,374,1.1414831,0.064501956,145408,370.38190507888794,0.6714410781860352,0.005353309,-0.0034824908,0.0
72,147456,181.78,9.964992e-07,373,1.1510942,0.040136717,147456,375.845915555954,-0.7897423505783081,0.0037042443,-0.0031243265,0.0
73,149504,185.07,2.4942081e-05,377,1.1578487,0.022802735,149504,381.32922768592834,-2.9161386489868164,0.002349273,-0.0012088714,0.0
74,151552,187.72,1.0850279e-07,382,1.1559191,0.04018555,151552,386.7508146762848,0.35161757469177246,0.0035877116,-0.0023144665,0.0
75,153600,189.31,1.6340834e-07,383,1.1506293,0.020751953,153600,392.1010205745697,0.38189470767974854,0.002580158,-0.0005844161,0.0
76,155648,191.26,5.6670174e-06,370,1.1512904,0.025537109,155648,397.43838000297546,-0.04988527297973633,0.0027090036,-0.0007222965,0.0
77,157696,192.69,2.0066427e-07,389,1.1568675,0.043896485,157696,402.9697768688202,-0.6049734354019165,0.0039619254,-0.002057915,0.0
78,159744,193.47,2.2947552e-05,411,1.160445,0.05288086,159744,408.2335546016693,-4.426871299743652,0.00454446,-0.0043560136,0.0
79,161792,193.89,6.2129445e-08,404,1.1739025,0.05253906,161792,413.2147834300995,-2.0275702476501465,0.0041877693,-0.0027382027,0.0
80,163840,193.5,1.2734878e-07,393,1.189759,0.031396486,163840,418.27583718299866,-2.385425329208374,0.002899984,-0.00060795917,0.0
81,165888,192.97,8.7736424e-08,402,1.1903267,0.03676758,165888,423.47774052619934,-5.445943832397461,0.003422502,-0.0023009765,0.0
82,167936,191.17,4.9582184e-07,377,1.1928637,0.046289064,167936,428.5706284046173,-4.330789089202881,0.003930185,-0.0036873587,0.0
83,169984,189.44,9.993612e-07,383,1.1979924,0.04951172,169984,434.0021901130676,-1.7923922538757324,0.0044777077,-0.003019019,0.0
84,172032,187.12,1.00760435e-05,399,1.2032936,0.09013672,172032,439.34509015083313,0.13965457677841187,0.006562668,-0.0041211206,0.0
85,174080,185.12,2.3898403e-07,392,1.2262403,0.07724609,174080,444.4679880142212,0.6942231357097626,0.0063620633,-0.004511875,0.0
86,176128,184.34,1.6537608e-06,366,1.2374856,0.038769532,176128,449.68801379203796,0.141351580619812,0.0037479673,-0.0029587185,0.0
87,178176,183.88,6.139472e-06,375,1.2374002,0.026123047,178176,455.2800509929657,-0.553056001663208,0.0028946176,-0.0022452804,0.0
88,180224,183.65,8.428923e-06,397,1.2406266,0.10268555,180224,460.7427124977112,-4.619022369384766,0.007963216,-0.008011588,0.0
89,182272,182.35,1.10471845e-07,401,1.2496982,0.046240233,182272,465.89721179008484,0.7212869822978973,0.0041041085,-0.0033532232,0.0
90,184320,181.3,5.400748e-06,393,1.2469814,0.077978514,184320,470.99831318855286,0.801364541053772,0.0061286325,-0.004233914,0.0
91,186368,180.45,4.962232e-06,414,1.247895,0.06679688,186368,476.20342779159546,-6.070769786834717,0.005908938,-0.005476609,0.0
92,188416,180.34,7.4558295e-07,393,1.2599746,0.04145508,188416,481.1485695838928,0.42606598138809204,0.0037607837,-0.0029717784,0.0
93,190464,181.58,3.0989167e-07,399,1.271014,0.043164063,190464,486.34955859184265,0.1299372911453247,0.0038224377,-0.0014500369,0.0
94,192512,183.16,2.262873e-05,361,1.2632008,0.042285156,192512,491.48140025138855,-1.1004054546356201,0.004109823,-0.0030512852,0.0
95,194560,183.57,9.175e-08,375,1.2445666,0.026464844,194560,497.15005135536194,0.9270510971546173,0.0028731688,0.00014580265,0.0
96,196608,183.59,1.165753e-07,398,1.2426842,0.023388673,196608,502.6023988723755,0.9391238428652287,0.0027329437,-0.0005468939,0.0
97,198656,182.83,4.2951865e-07,349,1.2472861,0.050097656,198656,507.74474143981934,0.8773895651102066,0.004404014,-0.0017837103,0.0
98,200704,182.66,1.8807692e-05,370,1.2487524,0.037890624,200704,513.6084792613983,0.7762295007705688,0.004032159,-0.000865065,0.0
99,202752,182.52,4.269089e-06,397,1.2342757,0.07680664,202752,519.1443245410919,-0.22444391250610352,0.0062390286,-0.004116878,0.0
100,204800,183.32,2.5305204e-07,385,1.2338125,0.083496094,204800,524.3046135902405,0.5093148946762085,0.0063058725,-0.003307876,0.0
