serial_timesteps,ep_reward_mean,fps,value_loss,time_elapsed,n_updates,policy_loss,clipfrac,policy_entropy,ep_len_mean,total_timesteps,explained_variance,approxkl
124928,112.10681570999999,231,31.067554,1199.4620985984802,61,-0.004017857,0.044873048,1.173045,211.17,124928,0.2629784345626831,0.004004635
126976,119.23030307,141,10.827314,1208.3106167316437,62,-0.005649405,0.029736329,1.1670407,220.95,126976,0.7735397219657898,0.0028487772
129024,118.68337781999998,111,9.403052,1222.7570185661316,63,-0.0011219742,0.022998046,1.1712525,220.28,129024,0.7613244652748108,0.002458895
131072,129.15393305999999,184,22.64234,1241.0974926948547,64,-0.0038718015,0.04135742,1.1781602,233.84,131072,0.568768173456192,0.0036902446
133120,136.09067277999998,151,19.091845,1252.1781446933746,65,-0.002206219,0.03852539,1.1759042,242.93,133120,0.5703811049461365,0.003460663
135168,145.08359837,166,25.474491,1265.6716816425323,66,-0.003494937,0.043652344,1.1858656,254.67,135168,0.602144718170166,0.0039058416
137216,155.69600493,140,18.142973,1277.9420673847198,67,-0.00284051,0.02475586,1.1955006,268.49,137216,0.5736514329910278,0.0026321954
139264,164.42275487999996,153,19.151741,1292.5564513206482,68,-0.0014880036,0.028955078,1.1886375,280.54,139264,0.6129077672958374,0.0030222707
141312,172.30804181,144,17.662579,1305.8748071193695,69,-0.0020967256,0.04086914,1.1825132,290.85,141312,0.7462239861488342,0.0036566895
143360,182.18741761,200,27.97971,1320.0560142993927,70,-0.0049425913,0.04848633,1.1779959,303.06,143360,0.5032669305801392,0.0042761355
145408,193.35188777,158,19.449469,1330.2669484615326,71,-0.0024990232,0.02866211,1.1719494,317.56,145408,0.7136379182338715,0.002826788
147456,205.96566533000004,171,20.535732,1343.1681599617004,72,-0.0016342644,0.040722657,1.1511533,333.84,147456,0.6626215577125549,0.003850336
149504,216.09736864000007,159,19.496637,1355.1187870502472,73,-0.0033281618,0.053369142,1.1401865,346.77,149504,0.6962203681468964,0.004662215
151552,225.36502494,200,19.416126,1367.9574360847473,74,-0.0012080559,0.022802735,1.1395823,359.31,151552,0.6760356724262238,0.002493429
153600,238.08677343,198,17.850138,1378.1498012542725,75,-0.0036620325,0.04863281,1.1345508,375.91,153600,0.6912881433963776,0.0041353693
155648,247.47521711999997,247,20.606325,1388.456502199173,76,-0.0030345146,0.04086914,1.1224711,388.18,155648,0.6726881861686707,0.0036574353
157696,256.33666238,164,18.615284,1396.7361879348755,77,-0.0017646013,0.049462892,1.1144555,400.15,157696,0.6777283847332001,0.0042962255
159744,268.43367465000006,219,15.8676815,1409.1597554683685,78,-0.004330852,0.04477539,1.1141192,416.13,159744,0.6814598739147186,0.0038404763
161792,279.99731826000004,207,18.396341,1418.5081329345703,79,-0.0026878251,0.040966798,1.121012,431.67,161792,0.6514995694160461,0.0037131913
163840,288.6211478900001,212,26.463108,1428.3708651065826,80,-0.0037062492,0.04609375,1.1204541,442.58,163840,0.5750261545181274,0.003957828
165888,298.86905994000006,263,27.706593,1438.0185418128967,81,-0.002561854,0.042773437,1.1229085,455.47,165888,0.5940634906291962,0.003687807
167936,317.26461232,183,21.04949,1445.7843039035797,82,-0.0036962759,0.04848633,1.1313709,478.49,167936,0.67794069647789,0.0039990647
169984,325.94649575000005,170,19.294249,1456.9572370052338,83,-0.0042723147,0.044970702,1.1431558,489.64,169984,0.4930660128593445,0.0037042112
172032,333.83414863999997,298,34.78011,1468.951928138733,84,-0.0038969158,0.068310544,1.1424366,499.19,172032,0.5556785762310028,0.0055234013
174080,339.46377254,218,30.760595,1475.811264514923,85,-0.0030630825,0.055419922,1.146035,504.31,174080,0.09534889459609985,0.0049304627
176128,345.50251338999993,370,31.301502,1485.2038016319275,86,-0.0036394976,0.05180664,1.1629994,511.4,176128,0.6279342174530029,0.004323921
178176,357.7475627199999,322,31.76385,1490.7360410690308,87,-7.712981e-05,0.04916992,1.1709402,525.37,178176,-0.04118359088897705,0.004426102
180224,369.82360109999996,349,31.779943,1497.0929262638092,88,-0.0031379294,0.038427733,1.1816552,539.42,180224,0.01836371421813965,0.003456565
182272,382.24829783000007,311,29.862064,1502.9466364383698,89,-0.0019381021,0.038085938,1.1923797,553.49,182272,0.058820366859436035,0.0035534692
184320,397.86324246000004,430,31.415777,1509.5219252109528,90,-0.004160041,0.06660156,1.1968104,572.21,184320,0.08238011598587036,0.005478818
186368,412.20195384999994,258,30.21254,1514.2756230831146,91,-0.0019504257,0.019042969,1.2095678,588.35,186368,0.09450536966323853,0.0021685527
188416,428.40125826999997,274,31.641367,1522.21182346344,92,-0.002160862,0.05522461,1.2291992,607.1,188416,0.04500079154968262,0.00448049
190464,444.6757441899999,402,30.015484,1529.6683778762817,93,-0.0023492328,0.051660158,1.2450173,625.81,190464,0.034465253353118896,0.0042092577
192512,459.1002268799999,315,29.489773,1534.757281780243,94,-0.0038056993,0.048535157,1.2455592,642.06,192512,0.11098688840866089,0.0040942226
194560,475.08066738999986,339,28.505222,1541.2434289455414,95,-0.0016152638,0.034423828,1.2483727,660.78,194560,0.08043235540390015,0.0032877673
196608,490.9032928599999,286,28.66365,1547.2749526500702,96,-0.003358828,0.054785155,1.2609577,679.36,196608,0.04671204090118408,0.0044933683
198656,506.80258583999995,384,27.448618,1554.418067932129,97,-0.004683464,0.050195314,1.2782257,697.94,198656,0.030099868774414062,0.0041812835
200704,522.55369022,336,26.420069,1559.7392439842224,98,-0.0039277887,0.03720703,1.2900579,716.57,200704,0.0763363242149353,0.0034732535
202752,537.407053,267,24.256899,1565.824806690216,99,-0.0022317814,0.038134765,1.2996683,734.33,202752,0.10841637849807739,0.003300693
204800,553.03035392,393,25.262974,1573.4732089042664,100,-0.0017412506,0.037402343,1.3053277,752.98,204800,0.10011619329452515,0.0034792584
206848,569.6012725900001,151,23.548296,1578.6848773956299,101,-0.0025967867,0.030322265,1.3076761,774.3,206848,0.10080587863922119,0.0028523216
208896,583.42961944,338,25.41162,1592.2022633552551,102,-0.003552343,0.036376953,1.3164812,790.48,208896,0.1337757706642151,0.003580381
210944,561.46239976,90,34.172913,1598.2516357898712,103,-0.0020762258,0.029150391,1.3271182,761.88,210944,0.20825189352035522,0.0030713808
212992,530.70673803,88,35.032753,1620.8727750778198,104,0.0010729433,0.044140626,1.3462696,721.07,212992,0.22275906801223755,0.0041690124
215040,495.6621669,97,29.627863,1643.970052242279,105,-0.005184665,0.04453125,1.371933,676.04,215040,0.4281541109085083,0.003785496
217088,454.60105910000004,72,22.750809,1664.9458982944489,106,-0.0010453103,0.033203125,1.3827941,622.17,217088,0.5713605880737305,0.0031614508
219136,413.7116284099999,95,19.755306,1693.05557847023,107,-0.0014407143,0.045556642,1.3795557,567.63,219136,0.6673865914344788,0.0043351986
221184,345.10540098999996,74,19.399914,1714.5455975532532,108,-0.0042159706,0.056396484,1.3852303,483.58,221184,0.6857761740684509,0.0047470997
223232,190.85523276999996,88,16.754984,1742.216710805893,109,-0.00083416747,0.034179688,1.3883198,301.75,223232,0.7714169323444366,0.0032569375
225280,73.03448685000001,82,14.864119,1765.435429573059,110,-8.3384206e-05,0.050146483,1.3824753,158.57,225280,0.8098413497209549,0.0042421655
227328,73.07035265999998,81,12.396206,1790.357327222824,111,-0.0010807352,0.040039062,1.3773587,157.88,227328,0.8254940062761307,0.003530842
229376,73.13494376999999,219,24.73073,1815.6243515014648,112,-0.0010692592,0.03540039,1.3705125,157.95,229376,0.6137815117835999,0.0034545674
231424,89.01874119,120,19.701498,1824.9504325389862,113,-0.003673685,0.03300781,1.3600252,176.23,231424,0.674548864364624,0.0031272904
233472,105.48067455,183,22.664288,1841.8777406215668,114,-0.0035374914,0.037597656,1.3583834,195.6,233472,0.6376128494739532,0.0034856454
235520,105.59852898999999,260,21.001373,1853.0213286876678,115,-0.0054117073,0.055078126,1.3594844,195.77,235520,0.7641077488660812,0.004745714
237568,121.57915439,293,25.054045,1860.8922064304352,116,-0.0026618897,0.048583984,1.3573333,214.56,237568,0.2832852602005005,0.004147297
239616,137.60753329000002,272,25.527172,1867.8635334968567,117,-0.0021276164,0.04140625,1.3551627,233.44,239616,0.2879524230957031,0.0037539438
241664,153.57147309,406,24.30178,1875.3802587985992,118,-0.0069123497,0.08588867,1.372924,252.14,241664,0.11964106559753418,0.006684655
243712,169.69961986,278,23.355146,1880.4156622886658,119,-0.002655436,0.033447266,1.3961939,271.01,243712,0.09718966484069824,0.0030659777
245760,185.82399939000004,263,22.309095,1887.7836651802063,120,-0.0023106812,0.038232423,1.4171517,289.91,245760,0.10379678010940552,0.0034252703
247808,201.7587284,307,22.819359,1895.5570092201233,121,-0.0025378345,0.054492187,1.4337032,308.75,247808,0.07671022415161133,0.0042551663
249856,217.80101702,307,22.191904,1902.2191398143768,122,-0.0033731305,0.03779297,1.4361573,327.55,249856,-0.01181638240814209,0.0036956936
251904,233.64085201999998,353,21.439882,1908.8850076198578,123,-0.0024732233,0.039208986,1.4342672,346.33,251904,0.049799442291259766,0.0035726358
253952,249.49002083999997,268,21.00504,1914.684457063675,124,-0.0052452385,0.07080078,1.4445753,365.15,253952,0.03618234395980835,0.00579837
256000,265.39100933,375,21.416752,1922.3052875995636,125,-0.0026151529,0.046289064,1.4567647,384.04,256000,0.11081808805465698,0.0040500415
258048,281.76068395,277,21.071365,1927.7648684978485,126,-0.0022917879,0.059521485,1.4636474,403.27,258048,0.08934396505355835,0.005347215
260096,297.95782219,334,20.167538,1935.1436693668365,127,-0.0017029948,0.05053711,1.4750175,422.21,260096,0.076754629611969,0.0043358253
262144,313.92249101,277,20.193968,1941.2710320949554,128,-0.0032082652,0.028076172,1.4966279,440.98,262144,0.15450310707092285,0.0027134141
264192,329.97974952000004,315,19.982798,1948.6495769023895,129,-0.0012760607,0.034716796,1.5125165,459.77,264192,0.0996246337890625,0.003560158
266240,346.00637001,368,19.814192,1955.1362528800964,130,-0.0025153589,0.034472656,1.5242339,478.61,266240,0.13851922750473022,0.0031491898
