time_elapsed,serial_timesteps,total_timesteps,policy_entropy,n_updates,ep_reward_mean,value_loss,fps,clipfrac,ep_len_mean,policy_loss,explained_variance,approxkl
245.56270384788513,79872,79872,1.9009645,39,234.83546889,34.841904,306,0.033447266,250.52,-0.0021370053,0.8488451540470123,0.0030174642
252.25432014465332,81920,81920,1.9056524,40,222.58033107,31.63345,307,0.029492188,238.24,-0.0014168149,0.8556890338659286,0.0030343314
258.9143681526184,83968,83968,1.9100685,41,218.00002881,36.130997,305,0.029199218,233.62,-0.004209214,0.8247087597846985,0.002607991
265.6195487976074,86016,86016,1.9294589,42,215.97696729,35.32386,305,0.036230467,231.13,-0.0015341836,0.8613456934690475,0.003116046
272.3286488056183,88064,88064,1.939773,43,213.32725480000002,30.848438,305,0.02734375,228.34,-0.0011616882,0.8785060420632362,0.0027981226
279.0252707004547,90112,90112,1.9389515,44,212.9055169,29.424595,306,0.015332031,227.91,-0.0022030838,0.8925191164016724,0.0018586827
285.7007007598877,92160,92160,1.9384644,45,214.93378436999998,31.452576,305,0.033691406,230.2,-0.0030062948,0.8478191196918488,0.0030786823
292.4052093029022,94208,94208,1.9399989,46,218.76944197999998,29.817902,304,0.036035158,233.96,-0.0006852208,0.8897110000252724,0.0033080238
299.1219530105591,96256,96256,1.9386173,47,214.62209670000004,25.781713,302,0.027197266,229.42,-0.0020786603,0.9082799255847931,0.0025963697
305.90209126472473,98304,98304,1.9503582,48,213.50367270000007,25.99726,302,0.018408203,227.98,-0.0005932882,0.8987755924463272,0.0021418226
312.6703863143921,100352,100352,1.9627985,49,213.98183213000004,23.56811,301,0.021630859,228.56,-0.00050139904,0.9125440120697021,0.0020845775
319.4683527946472,102400,102400,1.9656513,50,215.11199604,19.515385,302,0.03300781,230.01,-0.0023872282,0.9291156530380249,0.003412461
326.2402653694153,104448,104448,1.958575,51,215.39275374000002,21.384274,303,0.012792969,230.25,-0.0012628497,0.9267612472176552,0.0017895987
332.9907274246216,106496,106496,1.9521157,52,213.88111997,19.372663,304,0.013574218,228.38,0.00024173036,0.937865573912859,0.0015621459
339.7270858287811,108544,108544,1.9596078,53,211.70648099000005,19.951307,302,0.021289062,226.14,-0.0011198107,0.9345997348427773,0.0023702444
346.50978350639343,110592,110592,1.9625839,54,212.87483784000003,22.029146,305,0.011376953,226.97,-0.0005570509,0.9374713450670242,0.0016734697
353.2106168270111,112640,112640,1.9555,55,214.04236396999997,17.827263,304,0.0053710938,228.33,-0.00028135092,0.946914054453373,0.0009550454
359.9469532966614,114688,114688,1.9550352,56,213.30416718,18.232996,307,0.015576172,227.22,-0.0017991641,0.9478060193359852,0.00202948
366.619425535202,116736,116736,1.9508778,57,213.83580634999998,17.676254,303,0.038769532,228.23,-0.003079367,0.9481371454894543,0.003543077
373.37662959098816,118784,118784,1.956888,58,217.66338965999995,17.281044,308,0.04638672,232.56,-0.0032949257,0.9551356993615627,0.003667542
380.0254456996918,120832,120832,1.9722998,59,223.03314201,18.684788,303,0.036328126,238.31,-0.0031550494,0.9536154717206955,0.0035044146
386.76650738716125,122880,122880,1.9900408,60,227.90525937,16.245869,304,0.02109375,243.95,-0.0016298995,0.9580404087901115,0.0022502444
393.48649740219116,124928,124928,1.9985052,61,234.96455666000003,17.16273,302,0.022753906,251.72,-0.0012723631,0.960226833820343,0.0025588826
400.26743602752686,126976,126976,1.9937147,62,244.54934234999996,18.174913,299,0.03251953,261.83,-0.0021943413,0.9440277852118015,0.0032214355
407.110068321228,129024,129024,1.9855522,63,257.02286377,19.634926,305,0.019482423,274.58,-0.0017251965,0.9671145379543304,0.002097092
413.8117525577545,131072,131072,1.9795878,64,267.63097556,18.12003,301,0.031152343,285.92,-0.0036302474,0.9402872510254383,0.0032686177
420.6096923351288,133120,133120,1.9795892,65,279.47620696999996,22.03661,304,0.04350586,298.37,-0.0030610203,0.9153423085808754,0.0039029568
427.34472036361694,135168,135168,1.9854486,66,289.57475649,19.29769,303,0.04135742,308.91,-0.0048072054,0.9568190611898899,0.0035417893
434.08493661880493,137216,137216,1.9909683,67,300.21261144000005,26.560452,310,0.027490234,319.97,-0.001185627,0.3935145139694214,0.002686515
440.67188477516174,139264,139264,2.0075204,68,322.84649139,24.258867,306,0.019921875,343.74,-0.0030686783,0.7972907274961472,0.0018864067
447.35570549964905,141312,141312,2.0248556,69,336.15598547,25.025822,304,0.025146484,357.87,-0.0009905942,0.4731653928756714,0.002579078
454.09237027168274,143360,143360,2.0360932,70,346.46389372,31.087627,309,0.0128417965,368.8,-3.9051207e-05,0.18432366847991943,0.0014400355
460.709415435791,145408,145408,2.0582137,71,362.22467574,24.336796,309,0.045166016,385.72,-0.0068033,0.5798632204532623,0.0039587533
467.3200137615204,147456,147456,2.08464,72,376.03825707000004,23.750597,307,0.029443359,400.84,-0.0026555753,0.6663596928119659,0.0025307313
473.9775815010071,149504,149504,2.0983424,73,387.8279148,18.97358,307,0.01171875,413.86,-0.0013647892,0.7840209156274796,0.0018094586
480.64462018013,151552,151552,2.11198,74,398.62211920000004,25.501429,311,0.026757812,425.29,-0.0027480049,0.4945632815361023,0.002558033
487.2164487838745,153600,153600,2.1313148,75,413.27701086,23.547009,309,0.028320312,440.84,-0.0020783143,0.6411328911781311,0.0027442283
493.8388156890869,155648,155648,2.1391892,76,422.75949569000005,27.345966,311,0.030566406,450.83,-0.00094153255,0.47813671827316284,0.0032302141
500.4115779399872,157696,157696,2.1409771,77,437.5461497900001,21.425762,308,0.034375,466.88,-0.0029298456,0.5429869592189789,0.003148932
507.05670642852783,159744,159744,2.1490204,78,454.5560283500001,27.969324,314,0.014111328,485.14,-0.0010331585,0.30157244205474854,0.0017889012
513.566597700119,161792,161792,2.1630254,79,464.21528836,16.475384,305,0.022509765,495.74,-0.0018075155,0.5733392834663391,0.0022743014
520.2757687568665,163840,163840,2.1714635,80,484.02157078999994,23.986643,309,0.01850586,517.02,-0.0012125026,0.20131760835647583,0.0019841634
526.9052355289459,165888,165888,2.1722617,81,499.7308756599999,24.661394,304,0.027636718,533.68,-0.0021471295,0.24894434213638306,0.0028034789
533.6435096263885,167936,167936,2.172819,82,514.6624249600001,17.910093,309,0.022070313,549.77,-0.002968247,0.6414421498775482,0.0023157622
540.2673604488373,169984,169984,2.1810794,83,525.3335594700001,22.420345,311,0.0145019535,561.01,-0.0006215488,0.34072333574295044,0.0016920889
546.8478951454163,172032,172032,2.1992428,84,531.4277562899999,21.496828,310,0.031347655,567.6,-0.0052566295,0.4436737298965454,0.0030241783
553.4491786956787,174080,174080,2.2209697,85,555.6899326299999,20.236412,310,0.024414062,593.39,-0.003616767,0.4246079921722412,0.0022542488
560.0528025627136,176128,176128,2.240914,86,572.8482066,12.983478,310,0.008496094,611.7,-0.0010947904,0.8778430446982384,0.0013921534
566.646913766861,178176,178176,2.247913,87,587.89413177,10.706832,307,0.046044923,627.94,-0.0037481617,0.9256547689437866,0.003945915
573.3109056949615,180224,180224,2.2504523,88,597.9277164,11.419442,305,0.0126953125,638.61,-0.002116213,0.9108119904994965,0.0016381906
580.011819601059,182272,182272,2.259904,89,611.5634923800001,11.592142,301,0.035009764,653.11,-0.004412989,0.8841478526592255,0.003193447
586.7957909107208,184320,184320,2.261843,90,626.1323402099999,9.874582,301,0.013916016,669.14,-0.0031795502,0.9301065504550934,0.0018369224
593.5911331176758,186368,186368,2.2609842,91,644.03954855,14.003473,298,0.020166015,687.94,-0.0006071373,0.8643065094947815,0.0021785982
600.4445285797119,188416,188416,2.26306,92,652.89606257,7.983062,300,0.06542969,697.49,-0.0051769684,0.9594176597893238,0.005428874
607.2571914196014,190464,190464,2.258988,93,672.6010688700001,10.954155,302,0.021972656,718.88,-0.0008863573,0.8989717438817024,0.0022434709
614.0336594581604,192512,192512,2.2593985,94,683.1704425400001,9.908024,298,0.012451172,730.11,-0.0003258773,0.8971426635980606,0.0017344579
620.9020891189575,194560,194560,2.2580783,95,697.76007965,11.528295,299,0.03852539,745.32,-0.0015077112,0.9132775291800499,0.0032980177
627.7403564453125,196608,196608,2.263659,96,707.14523231,7.3900347,302,0.04160156,755.3,-0.0021233526,0.9555297009646893,0.003611415
634.5027182102203,198656,198656,2.2712812,97,723.07577944,8.172099,299,0.0418457,772.11,-0.0018386518,0.9391054436564445,0.0038853898
641.3386104106903,200704,200704,2.2684937,98,737.8920271100001,8.777474,300,0.04975586,787.51,-0.0036355252,0.9505726024508476,0.0041462057
648.1452522277832,202752,202752,2.2540622,99,747.9318321499999,7.520602,298,0.018554688,798.0,-0.0004140959,0.9785975385457277,0.0024134892
654.9996204376221,204800,204800,2.2411757,100,764.0623296400001,15.684702,299,0.031982422,815.4,-0.00034179754,0.14716875553131104,0.0031224936
661.8326742649078,206848,206848,2.23886,101,786.1249874700002,10.01181,297,0.028955078,838.27,-0.0030333647,0.9340856522321701,0.002627139
668.7202417850494,208896,208896,2.2378986,102,802.9563310600003,15.1419525,295,0.018554688,855.96,-0.0009750851,0.06967353820800781,0.0025226031
675.6645195484161,210944,210944,2.2413852,103,819.4364507600002,15.68531,296,0.047851562,873.1,-0.0020592404,0.0661851167678833,0.003994464
682.5628066062927,212992,212992,2.2472723,104,831.2976042500002,4.5229545,294,0.0828125,886.05,-0.006542736,0.9776708260178566,0.0064315125
689.5196180343628,215040,215040,2.2438843,105,847.2433078500002,12.677118,296,0.03769531,903.76,-0.0006176659,0.45724695920944214,0.0035515758
696.4215168952942,217088,217088,2.243372,106,861.9529464800002,12.032206,298,0.030761719,919.33,-0.0022567532,0.4900004267692566,0.00315347
703.2933833599091,219136,219136,2.2478337,107,878.3165869,15.198545,294,0.072021484,936.52,-0.0034737973,0.0299873948097229,0.005680879
710.2507536411285,221184,221184,2.2441368,108,893.5306402900001,12.142912,298,0.034960937,952.13,-0.0020768626,0.47326433658599854,0.0032589561
717.1055603027344,223232,223232,2.2447987,109,908.7578712899999,11.571371,297,0.06679688,968.64,-0.0018308435,0.4057115316390991,0.005383036
723.9824185371399,225280,225280,2.2583587,110,924.78690009,14.284433,298,0.039746094,985.77,-0.0024869237,0.05387073755264282,0.00357232
730.8563585281372,227328,227328,2.2589536,111,940.1554383999999,14.111977,299,0.024560547,1002.33,-0.002268044,0.042843520641326904,0.0028939326
737.6848075389862,229376,229376,2.2565596,112,955.1617529999999,11.991366,299,0.050097656,1018.14,-0.0013164547,0.6139532625675201,0.0042868727
744.5312283039093,231424,231424,2.2600427,113,969.6310200599999,14.824043,299,0.023242187,1033.65,-0.00021165605,0.08115088939666748,0.0026971195
751.3770456314087,233472,233472,2.2527688,114,983.5167992899998,15.121172,303,0.034472656,1048.21,-0.0005990107,0.0035194754600524902,0.002991451
758.1219801902771,235520,235520,2.2627554,115,999.2092760699999,13.230612,303,0.010498047,1064.73,-0.00048493952,0.23593497276306152,0.0012994064
764.8822240829468,237568,237568,2.2785165,116,1012.9658755600001,12.091967,303,0.0265625,1079.33,-0.0014348446,0.41383564472198486,0.0025627897
771.6370003223419,239616,239616,2.293496,117,1027.58077579,14.900873,303,0.023046875,1094.69,-0.0024048928,0.15165549516677856,0.0023194929
778.3887450695038,241664,241664,2.3191533,118,1038.40496159,15.191711,302,0.051123045,1106.07,-0.0072113834,0.10818272829055786,0.004403091
785.1537392139435,243712,243712,2.3338609,119,1051.33225926,12.373404,303,0.046484374,1119.41,-0.003077763,0.3529953956604004,0.004014176
791.9017746448517,245760,245760,2.3405461,120,1059.30824335,37.098457,299,0.026220703,1128.17,0.0003234725,0.3097066283226013,0.0025042028
798.743852853775,247808,247808,2.3580384,121,1070.22247844,10.527025,305,0.024951171,1139.6,-0.0027637102,0.5497299134731293,0.002342198
805.450434923172,249856,249856,2.3681996,122,1082.1316416600002,12.926981,308,0.013085937,1151.84,-0.0029170138,0.8692729622125626,0.0017567787
812.0932445526123,251904,251904,2.3778517,123,1084.69480325,24.485167,307,0.042041015,1154.99,-0.003921559,0.37850385904312134,0.0033558726
818.7593829631805,253952,253952,2.3940926,124,1075.671461,28.358606,304,0.07329102,1145.68,-0.007301817,0.5897499024868011,0.0057541328
825.4853160381317,256000,256000,2.383739,125,1086.50435549,16.216854,301,0.030761719,1157.05,-0.0020050923,0.007266521453857422,0.0030413936
832.2758440971375,258048,258048,2.370235,126,1086.0785463900002,9.544383,302,0.03276367,1156.53,-0.0023923055,0.6449199020862579,0.0031365857
839.0376462936401,260096,260096,2.3773642,127,1100.5897424000002,14.789164,303,0.025488282,1171.68,-0.0016157167,0.28639668226242065,0.002471794
845.7917449474335,262144,262144,2.376695,128,1113.9176386400002,16.827183,304,0.009033203,1185.6,-0.0008469598,-0.004013776779174805,0.0013282236
