#{"t_start": 1567622523.1859453, "env_id": null}
r,l,t
58.197923,60,1.003615
41.278937,44,1.100639
50.946911,54,1.229573
50.968043,54,1.348605
46.566993,51,1.455456
46.816583,51,1.568894
38.962742,43,1.660069
41.582847,45,1.763323
54.072659,59,1.896579
46.841156,51,2.007728
36.858903,40,2.101163
43.1355,48,2.217942
56.099623,60,2.379508
59.418704,62,2.541486
62.094408,68,2.728139
56.768816,62,2.89737
43.592384,48,3.023945
68.226279,75,3.229865
77.865499,87,3.463025
54.285978,61,3.626142
31.389684,36,3.71436
49.805096,56,3.863323
65.850935,69,4.041967
31.194227,33,4.115995
46.001243,48,4.228528
101.023297,104,4.507476
42.346487,44,4.620541
65.289806,69,4.802627
36.530455,41,4.893645
45.811153,52,5.031351
70.687785,79,5.230549
43.624806,49,5.347955
64.225508,72,5.550814
59.061813,66,5.713608
62.76689,70,5.926457
46.132295,51,6.752357
46.445939,48,6.88327
36.251421,40,6.998744
73.125792,77,7.243871
58.505858,61,7.439468
75.404774,78,7.659919
72.539191,78,7.873834
87.647321,95,8.124581
47.938757,53,8.248597
43.832444,48,8.36955
63.843305,68,8.54563
68.827224,72,8.735158
59.652303,63,8.902718
43.786434,47,9.018304
95.648297,102,9.29647
72.357853,74,9.49298
80.367192,84,9.714947
106.602557,110,10.010518
40.802491,43,10.116477
79.808667,84,10.340531
55.247045,58,10.497329
53.414777,56,10.644185
36.62151,39,10.743882
71.587587,77,10.953741
57.737217,61,11.120168
63.811147,67,11.298719
58.459457,62,11.460275
39.266326,42,11.565423
85.662683,92,11.803632
62.765627,67,11.974413
51.504956,57,12.118312
56.554338,64,12.844405
52.00278,59,13.017353
46.775771,53,13.161399
44.998756,51,13.304149
44.259999,50,13.427232
77.496494,86,13.657452
66.995976,72,13.876484
67.824713,73,14.100682
66.270344,72,14.315471
46.09341,50,14.444348
59.967394,65,14.617475
60.710934,66,14.796139
85.611943,91,15.046935
50.311891,55,15.187414
45.945674,50,15.309249
64.008253,70,15.483621
68.515657,75,15.67654
147.18074,156,16.1063
40.22242,46,16.212765
40.464113,46,16.325389
38.39736,43,16.429106
76.430655,84,16.67812
68.609647,74,16.869397
75.922151,85,17.101938
91.222032,96,17.364118
58.113486,61,17.517922
83.689707,87,17.755152
52.992837,55,17.894858
65.297787,67,18.078131
77.00323,80,18.84113
115.281298,122,19.21082
44.848617,47,19.328529
62.551289,66,19.499475
72.222538,76,19.705032
64.812382,68,19.890245
55.753272,58,20.051187
72.655686,76,20.249819
78.035481,82,20.480686
72.162177,76,20.723824
71.592135,76,20.962744
91.005846,99,21.258445
79.315802,87,21.496879
62.48397,69,21.68179
65.165465,72,21.858556
69.210601,76,22.087148
58.02587,64,22.253734
90.161046,92,22.50346
54.979126,57,22.647518
52.32678,56,22.790844
155.911054,169,23.267265
90.964774,100,23.532237
44.99802,50,23.662009
50.371965,56,23.812675
202.040148,214,24.416877
66.636989,72,25.157838
72.261308,77,25.383012
43.884415,47,25.516871
81.154177,89,25.759399
58.617064,66,25.938545
101.533509,111,26.258791
82.089096,86,26.506814
69.740328,74,26.710268
68.9752,74,26.916539
125.011376,131,27.321493
80.214656,86,27.601389
53.247621,59,27.763647
56.029202,62,27.927444
47.283467,53,28.060043
68.727831,76,28.267693
69.821529,77,28.470199
97.555866,103,28.752739
78.866922,81,28.965844
87.093152,93,29.218808
94.624709,102,29.48662
38.342399,41,29.588044
116.369269,128,29.960962
50.154486,56,30.104973
49.079265,53,30.234649
130.624582,140,30.604583
66.004043,73,31.337796
63.912365,70,31.537766
65.175764,71,31.734435
90.48582,98,31.997852
56.627693,62,32.163697
89.003424,96,32.428138
59.904821,64,32.6051
109.808815,113,32.898563
68.465541,73,33.091783
63.945141,69,33.268647
110.282389,122,33.598686
99.852385,108,33.900306
64.963975,68,34.113573
77.831534,81,34.367064
46.788894,49,34.502922
54.029951,57,34.651281
62.412881,69,34.829136
95.149089,103,35.122906
69.860118,76,35.31825
72.846024,79,35.531705
61.453235,67,35.718017
85.002929,93,35.971857
58.767047,65,36.144224
81.522488,91,36.39163
80.880655,90,36.64718
63.57903,71,36.829756
71.46137,80,37.599906
127.292786,135,37.9868
80.986352,87,38.224246
76.610355,85,38.456629
38.241875,43,38.562801
50.771805,56,38.714447
80.485423,88,38.965886
65.693863,71,39.148668
143.206207,154,39.572587
95.837368,104,39.857691
69.173866,74,40.051891
82.501976,86,40.280661
65.669532,71,40.468821
56.28835,62,40.639822
171.74813,185,41.240047
89.624702,98,41.52852
