policy_entropy,time_elapsed,serial_timesteps,approxkl,clipfrac,explained_variance,fps,value_loss,policy_loss,ep_reward_mean,n_updates,total_timesteps,ep_len_mean
1.4238613,2.1457672119140625e-06,2048,0.0023895206,0.02109375,-0.1117633581161499,377,2.9811692,-0.002723873,64.77097375,1,2048,412.75
1.439421,5.420405626296997,4096,0.0030262363,0.0362793,-0.19161450862884521,417,3.2608733,-0.003927909,76.7970648,2,4096,483.6
1.4505944,10.326647281646729,6144,0.0022685507,0.018798828,-0.06870722770690918,374,2.495626,-0.0020025983,110.985180125,3,6144,697.5
1.4558219,15.802394151687622,8192,0.0052556377,0.063769534,-0.060176730155944824,379,2.780516,-0.0055990876,110.985180125,4,8192,697.5
1.4600652,21.200058460235596,10240,0.0031986765,0.035253905,-0.18150675296783447,411,2.150519,-0.004682261,141.2089689090909,5,10240,886.0
1.4542196,26.1740882396698,12288,0.004192234,0.046289064,-0.23612046241760254,384,2.0188906,-0.0042132894,118.12145146666667,6,12288,744.2
1.4521285,31.495625257492065,14336,0.0036330458,0.036474608,-0.5191714763641357,415,2.2956328,-0.002181888,114.84764752631581,7,14336,722.6842105263158
1.4561636,36.42175078392029,16384,0.0042306064,0.044384766,-0.036931514739990234,408,1.9586523,-0.004774456,110.03930726086958,8,16384,692.9130434782609
1.4456427,41.440611124038696,18432,0.0025409916,0.019921875,-0.40800392627716064,440,1.8146032,-0.0015692364,110.03930726086958,9,18432,692.9130434782609
1.438982,46.08593153953552,20480,0.0030580491,0.03237305,-0.29322969913482666,440,1.4281245,-0.0022757591,110.03930726086958,10,20480,692.9130434782609
1.4400625,50.74086093902588,22528,0.0034320888,0.031982422,-0.3260989189147949,401,1.4897768,-0.0021689762,137.25412956,11,22528,869.96
1.443124,55.845959186553955,24576,0.0042541763,0.040527344,-0.283527135848999,372,1.1600478,-0.002574879,137.25412956,12,24576,869.96
1.4506233,61.34368562698364,26624,0.0049669864,0.059814453,-0.22862350940704346,419,1.2841752,-0.0038621854,153.51724715384614,13,26624,978.0769230769231
1.4573337,66.22213411331177,28672,0.0040144674,0.044921875,-0.03385734558105469,394,1.301585,-0.0039014488,153.51724715384614,14,28672,978.0769230769231
1.4561912,71.41462755203247,30720,0.0057205544,0.06743164,-0.23841440677642822,390,1.4503378,-0.0070227636,153.51724715384614,15,30720,978.0769230769231
1.4506246,76.66372799873352,32768,0.0022134986,0.017041016,0.13112932443618774,367,1.0436867,-0.001696234,153.51724715384614,16,32768,978.0769230769231
1.4527647,82.23755979537964,34816,0.0038988967,0.04042969,0.17197996377944946,389,0.9351543,-0.002054821,153.51724715384614,17,34816,978.0769230769231
1.4444854,87.4997205734253,36864,0.0027928662,0.02080078,0.19451665878295898,389,0.94100726,-0.0018885551,153.51724715384614,18,36864,978.0769230769231
1.4380361,92.75371146202087,38912,0.0034408546,0.037402343,0.22867369651794434,394,0.81591684,-0.002498204,153.51724715384614,19,38912,978.0769230769231
1.426297,97.94191813468933,40960,0.0032775924,0.030615235,0.29891401529312134,411,0.48493832,-0.0039014579,153.51724715384614,20,40960,978.0769230769231
1.4088815,102.91623663902283,43008,0.0036701667,0.038964845,0.2580685019493103,383,0.5291064,-0.0028938302,153.51724715384614,21,43008,978.0769230769231
1.4065598,108.264004945755,45056,0.004173821,0.045703124,0.28834789991378784,391,0.35896617,-0.0026564167,153.51724715384614,22,45056,978.0769230769231
1.4058287,113.49863934516907,47104,0.0033150099,0.029199218,0.2795735001564026,430,0.38012192,-0.00086976215,153.51724715384614,23,47104,978.0769230769231
1.4011419,118.25474858283997,49152,0.002295847,0.018701172,0.2521226406097412,378,0.4002575,-0.0025612148,153.51724715384614,24,49152,978.0769230769231
1.3957412,123.66836047172546,51200,0.003875149,0.043847658,0.4092915654182434,372,0.2901081,-0.0027461096,153.51724715384614,25,51200,978.0769230769231
1.397076,129.17586398124695,53248,0.002551976,0.025048828,0.4855518341064453,388,0.22586997,-0.0023394658,153.51724715384614,26,53248,978.0769230769231
1.3904703,134.45294737815857,55296,0.0027492666,0.025244141,0.46185851097106934,424,0.3501219,-0.00097336544,153.51724715384614,27,55296,978.0769230769231
1.3810234,139.28266787528992,57344,0.0023213662,0.018359374,0.6239365041255951,390,0.2022444,-0.000998839,153.51724715384614,28,57344,978.0769230769231
1.3790205,144.52432298660278,59392,0.003170871,0.03330078,0.6119286119937897,394,0.1995569,-0.0026963532,153.51724715384614,29,59392,978.0769230769231
1.3708593,149.7186369895935,61440,0.004015024,0.04350586,0.5282590389251709,426,0.23393795,-0.0038255632,153.51724715384614,30,61440,978.0769230769231
1.3637168,154.5172779560089,63488,0.0036522523,0.043408204,0.5798080861568451,451,0.19622403,-0.0054271743,153.51724715384614,31,63488,978.0769230769231
1.3589051,159.05833673477173,65536,0.002158691,0.019042969,0.6252915263175964,438,0.21223733,-0.0009129442,153.51724715384614,32,65536,978.0769230769231
1.359947,163.7305657863617,67584,0.0029630673,0.02866211,0.5946784913539886,375,0.14310458,-0.0023647125,153.51724715384614,33,67584,978.0769230769231
1.3764275,169.18217396736145,69632,0.0043545454,0.050439455,0.6788404285907745,400,0.18010074,-0.0036752895,153.51724715384614,34,69632,978.0769230769231
1.3824055,174.29864239692688,71680,0.0039316593,0.042919923,0.6063298881053925,423,0.1635634,-0.0036527966,153.51724715384614,35,71680,978.0769230769231
1.3712741,179.1381049156189,73728,0.0039589433,0.04194336,0.6877468824386597,369,0.20319526,-0.0038267437,153.51724715384614,36,73728,978.0769230769231
1.3614746,184.68830966949463,75776,0.004695481,0.0574707,0.7196389436721802,412,0.17036669,-0.0038401284,153.51724715384614,37,75776,978.0769230769231
1.3587248,189.64835906028748,77824,0.0034981775,0.040966798,0.7032454609870911,430,0.12764193,-0.0022039227,153.51724715384614,38,77824,978.0769230769231
