ep_len_mean,total_timesteps,approxkl,ep_reward_mean,policy_loss,fps,policy_entropy,n_updates,explained_variance,time_elapsed,clipfrac,value_loss,serial_timesteps
750.13,2369536,0.0035927452,555.82594726,-0.0047200373,399,4.100012,1157,0.8756371513009071,6329.055129766464,0.036083985,13.932912,2369536
770.05,2371584,0.0033888519,571.4785025900001,-0.0022718993,350,4.0949492,1158,0.833294227719307,6334.183963298798,0.036376953,16.524925,2371584
789.99,2373632,0.0033319846,588.98362468,-0.00094980374,361,4.0902176,1159,0.8503087610006332,6340.035330295563,0.036132812,15.254023,2373632
807.85,2375680,0.0050246883,602.30600559,-0.009227683,401,4.0939417,1160,0.844030037522316,6345.70320057869,0.052490234,20.535479,2375680
826.07,2377728,0.004423091,616.92841103,-0.004303043,368,4.100429,1161,0.9519223123788834,6350.807740688324,0.03769531,5.9805694,2377728
846.5,2379776,0.0025209938,634.0095716200001,-0.00431477,375,4.0974236,1162,0.8619271963834763,6356.363565444946,0.025878906,30.246515,2379776
848.99,2381824,0.0029298624,635.1521443500001,-0.003148452,371,4.0890284,1163,0.915615126490593,6361.824758768082,0.027880859,9.0864,2381824
868.93,2383872,0.006164185,652.2691840000001,-0.00568434,348,4.0730085,1164,0.8573339879512787,6367.338545560837,0.07080078,14.4520645,2383872
886.27,2385920,0.0048566274,668.07186086,-0.0069671436,328,4.06375,1165,0.8331496268510818,6373.219494104385,0.052734375,15.983431,2385920
912.99,2387968,0.0012189731,688.30981248,-0.0024872702,419,4.068813,1166,0.8187953978776932,6379.464163541794,0.008837891,29.843725,2387968
932.84,2390016,0.0033404224,704.6677464899999,-0.0020304993,377,4.068865,1167,0.8444885909557343,6384.351558685303,0.03701172,17.626944,2390016
961.19,2392064,0.0030647914,726.6248004900001,-0.0035631664,366,4.072604,1168,0.8754198402166367,6389.771706581116,0.03364258,26.631786,2392064
965.51,2394112,0.0029445621,729.1071227399999,-0.0038901218,365,4.0826283,1169,0.9521369375288486,6395.356331825256,0.030712891,6.708445,2394112
994.47,2396160,0.0028854716,751.0077846099999,-0.0036067362,411,4.088488,1170,0.8405788689851761,6400.958233833313,0.030126953,34.703407,2396160
