serial_timesteps,n_updates,policy_entropy,value_loss,ep_reward_mean,fps,explained_variance,ep_len_mean,clipfrac,policy_loss,approxkl,total_timesteps,time_elapsed
77824,38,1.452918,0.12976894,342.11199125,421,0.7358094453811646,1687.15,0.048583984,-0.0064315787,0.004392448,77824,189.657808303833
79872,39,1.4395299,0.11503659,342.11199125,437,0.7621497511863708,1687.15,0.014550781,-0.0013705238,0.0020138228,79872,194.51398277282715
81920,40,1.4307996,0.14377159,342.11199125,421,0.7964551001787186,1687.15,0.05859375,-0.0052207243,0.004898568,81920,199.19906640052795
83968,41,1.4271739,0.14118746,342.11199125,427,0.7393111288547516,1687.15,0.066308595,-0.0058555333,0.0054765777,83968,204.05664372444153
86016,42,1.4198092,0.15896285,342.11199125,330,0.7542594373226166,1687.15,0.05605469,-0.004364237,0.004956963,86016,208.8521180152893
88064,43,1.4043552,0.18101063,342.11199125,377,0.7180744111537933,1687.15,0.056396484,-0.005349805,0.005295375,88064,215.0443892478943
90112,44,1.3952311,0.16575478,342.11199125,335,0.765342652797699,1687.15,0.035546876,-0.0027258615,0.0033044755,90112,220.46670818328857
92160,45,1.3879361,0.40160093,342.11199125,391,0.7303237020969391,1687.15,0.031689454,-0.0034820307,0.0031027151,92160,226.56727981567383
94208,46,1.3846767,0.20052731,342.11199125,402,0.7346234619617462,1687.15,0.03178711,-0.0027040006,0.0031765304,94208,231.79347586631775
96256,47,1.3883578,0.40498877,342.11199125,387,0.738093912601471,1687.15,0.033691406,-0.0019788877,0.0031846177,96256,236.87900185585022
98304,48,1.3798689,0.78977466,342.11199125,379,0.6845723986625671,1687.15,0.038720705,-0.0031462125,0.0037319888,98304,242.1657156944275
100352,49,1.3830837,1.2152236,342.11199125,364,0.7117072939872742,1687.15,0.03720703,-0.0019077379,0.0034137587,100352,247.5679895877838
102400,50,1.4000974,0.5344804,342.11199125,372,0.6214954853057861,1687.15,0.04633789,-0.0037803818,0.0040119756,102400,253.1806697845459
104448,51,1.4094093,0.4627665,342.11199125,405,0.6424919068813324,1687.15,0.0362793,-0.0028621515,0.003100262,104448,258.6809022426605
106496,52,1.4164455,0.43295708,342.11199125,403,0.6642853617668152,1687.15,0.043017577,-0.0028968377,0.003961079,106496,263.73231840133667
108544,53,1.4308398,0.8202629,342.11199125,405,0.6657905578613281,1687.15,0.06123047,-0.00448957,0.005325708,108544,268.80638551712036
110592,54,1.4258811,0.6198128,342.11199125,381,0.6268112361431122,1687.15,0.06303711,-0.0053251702,0.0051777055,110592,273.8630998134613
112640,55,1.4105898,1.457742,342.11199125,381,0.5388751029968262,1687.15,0.044921875,-0.005389541,0.003940599,112640,279.22792959213257
114688,56,1.3990911,1.3320266,342.11199125,351,0.5531963407993317,1687.15,0.051708985,-0.0046833036,0.0045100134,114688,284.5978853702545
116736,57,1.3972527,2.342611,342.11199125,375,0.5856345593929291,1687.15,0.031884767,-0.0020010206,0.0030054825,116736,290.4289927482605
118784,58,1.3999263,3.188393,342.11199125,383,0.5204054117202759,1687.15,0.037988283,-0.0027813746,0.003635568,118784,295.8811933994293
120832,59,1.3995125,3.687388,342.11199125,384,0.4039487838745117,1687.15,0.021875,-0.0024767984,0.0025765505,120832,301.22741508483887
122880,60,1.399193,4.190879,342.11199125,382,0.30070316791534424,1687.15,0.038867187,-0.00282168,0.0033201054,122880,306.55324482917786
124928,61,1.4066737,4.9335284,1526.7323131904761,376,0.046381592750549316,5901.047619047619,0.031103516,-0.0048196544,0.0035943128,124928,311.90761256217957
126976,62,1.4116638,5.742762,1526.7323131904761,394,0.2305557131767273,5901.047619047619,0.021630859,-0.0033261601,0.0025528846,126976,317.35347747802734
129024,63,1.407811,6.014964,1526.7323131904761,404,0.17946267127990723,5901.047619047619,0.030371094,-0.003352353,0.0029667304,129024,322.5407111644745
131072,64,1.405561,4.0997705,1526.7323131904761,418,0.21086901426315308,5901.047619047619,0.025146484,-0.00236425,0.0028809388,131072,327.6012110710144
133120,65,1.3994696,4.0512853,1526.7323131904761,381,0.23926126956939697,5901.047619047619,0.033837892,-0.0038040518,0.0032950551,133120,332.4912929534912
135168,66,1.4011832,3.3142514,1669.7794282727273,357,0.1284576654434204,6072.727272727273,0.033154298,-0.0024094246,0.0030934787,135168,337.8677349090576
137216,67,1.4010746,2.1954727,1669.7794282727273,395,0.3825811743736267,6072.727272727273,0.062060546,-0.0035813437,0.0049611856,137216,343.59004855155945
139264,68,1.4019992,3.647094,1680.3320837826088,371,0.2094925045967102,6005.260869565217,0.02709961,-0.0021630307,0.0032511498,139264,348.77542757987976
141312,69,1.4000175,2.171821,1680.3320837826088,397,0.497458815574646,6005.260869565217,0.036865234,-0.0025027103,0.0034911945,141312,354.29385566711426
143360,70,1.3958387,3.086698,1680.559265875,400,0.3270266652107239,5916.291666666667,0.034814455,-0.0030347847,0.0032802355,143360,359.44322633743286
145408,71,1.3954084,5.2024884,1597.890392230769,384,0.35435664653778076,5588.038461538462,0.035888672,-0.004576002,0.0034345393,145408,364.55486035346985
147456,72,1.390458,1.7672373,1597.890392230769,396,0.6891274154186249,5588.038461538462,0.029638672,-0.0031378213,0.0028136366,147456,369.8878846168518
149504,73,1.3876578,3.1507556,1577.787370148148,378,0.6172823309898376,5472.444444444444,0.047021486,-0.007862649,0.004118716,149504,375.0546486377716
151552,74,1.3857465,1.7333829,1577.787370148148,384,0.6639663279056549,5472.444444444444,0.045703124,-0.0011865154,0.0038104325,151552,380.46101903915405
153600,75,1.3863773,1.0466645,1577.787370148148,404,0.7665594816207886,5472.444444444444,0.02841797,-0.0024709413,0.0028598625,153600,385.7898666858673
155648,76,1.3903202,1.7040446,1577.787370148148,395,0.7218578457832336,5472.444444444444,0.046582032,-0.002284951,0.004098919,155648,390.8554289340973
157696,77,1.3861973,4.5805097,1677.6405718214285,408,0.5708962082862854,5615.25,0.03642578,-0.00374765,0.0036217824,157696,396.03852581977844
159744,78,1.3779751,3.053589,1642.6660972068964,365,0.6854482889175415,5475.793103448276,0.04345703,-0.005327815,0.003933047,159744,401.04754519462585
161792,79,1.3669215,4.416877,1642.6660972068964,372,0.5079371631145477,5475.793103448276,0.056689452,-0.0041309902,0.0047705406,161792,406.65758872032166
163840,80,1.3612417,4.697385,1648.6664709333334,367,0.6515085101127625,5415.5,0.02578125,-0.00260942,0.0029121204,163840,412.15942883491516
165888,81,1.3613484,5.252749,1590.06978021875,323,0.7105640470981598,5176.1875,0.039160155,-0.004241585,0.0034260459,165888,417.7406756877899
167936,82,1.3710637,2.6257243,1590.06978021875,380,0.7240694761276245,5176.1875,0.06303711,-0.0050334902,0.0052117524,167936,424.07751750946045
169984,83,1.3796432,4.1977835,1576.5782971818182,418,0.7200593948364258,5091.393939393939,0.045898438,-0.0056850906,0.004181971,169984,429.4664452075958
172032,84,1.3741335,4.9924297,1530.391988457143,364,0.7274478375911713,4893.542857142857,0.050048828,-0.0064368853,0.004423771,172032,434.3599033355713
174080,85,1.3711191,5.8753486,1474.0868076756758,390,0.7247097492218018,4687.1621621621625,0.032177735,-0.0029510264,0.0031057245,174080,439.97898530960083
176128,86,1.3704765,5.4468317,1427.994428,387,0.7580733895301819,4511.153846153846,0.029394532,-0.0034524773,0.0028765597,176128,445.23046827316284
178176,87,1.3682768,4.603202,1382.0757006585366,374,0.7572362273931503,4345.365853658536,0.03227539,-0.0014831265,0.003133263,178176,450.5224304199219
180224,88,1.3648527,2.8585238,1361.8219017619049,352,0.8583087772130966,4269.547619047619,0.054589845,-0.005611714,0.0045641623,180224,455.99375557899475
182272,89,1.3594822,5.1155972,1330.4238101818182,410,0.8099126219749451,4139.886363636364,0.025341798,-0.0013389875,0.0028031769,182272,461.7994511127472
184320,90,1.3553841,2.1273575,1312.5002844666667,362,0.8849606662988663,4075.4666666666667,0.06704102,-0.0042715943,0.005438611,184320,466.7850589752197
186368,91,1.3514876,4.008534,1277.9152895744683,420,0.8532499223947525,3950.1702127659573,0.045214843,-0.0037006128,0.0039935713,186368,472.441543340683
188416,92,1.3508637,10.288766,1245.6916760612244,344,0.5878030955791473,3832.8979591836733,0.038476564,-0.0021901457,0.0034978571,188416,477.3180356025696
190464,93,1.346216,10.909238,1195.5190960192308,393,0.6704075038433075,3661.519230769231,0.040283203,-0.0026434492,0.0040142382,190464,483.2722108364105
192512,94,1.3404828,6.9596786,1165.0616057222223,360,0.7721139490604401,3555.703703703704,0.03779297,-0.002379417,0.003412464,192512,488.4771068096161
194560,95,1.3402417,5.4367776,1121.39654222807,374,0.845817968249321,3409.1754385964914,0.026220703,-0.0017904848,0.0029241126,194560,494.15247654914856
196608,96,1.3374562,10.351119,1095.892926355932,373,0.6715269684791565,3321.576271186441,0.06381836,0.00037255924,0.0053473036,196608,499.61540484428406
198656,97,1.3284914,11.011219,1062.6841263709675,404,0.6784919500350952,3204.1129032258063,0.0668457,-0.0030073288,0.0055684145,198656,505.1044716835022
200704,98,1.3299874,6.4193106,1041.808737984375,413,0.8150075823068619,3130.765625,0.0847168,-0.00344971,0.006685494,200704,510.16918778419495
202752,99,1.3370532,6.878685,1020.3122585151516,367,0.7775783538818359,3059.1969696969695,0.04042969,-0.0056772265,0.0037807873,202752,515.1248295307159
204800,100,1.3361137,7.9544077,991.3404502753623,402,0.7746604830026627,2960.5652173913045,0.04663086,-0.0024598937,0.0041695694,204800,520.6981227397919
206848,101,1.3325908,5.3339148,961.9932981805555,401,0.8477940708398819,2864.0416666666665,0.036132812,-0.0009218779,0.0033714555,206848,525.785980463028
208896,102,1.3289723,11.060141,940.37703484,380,0.7617783397436142,2784.08,0.061621092,-0.001711381,0.005172038,208896,530.8897864818573
210944,103,1.3186191,6.456867,925.8085635974027,401,0.8254134207963943,2732.7272727272725,0.07519531,-0.0039425334,0.0061687245,210944,536.2772130966187
212992,104,1.3210741,5.3332286,905.2062680375,395,0.8811274841427803,2660.7625,0.05234375,-0.0015487231,0.004316065,212992,541.3785045146942
215040,105,1.3261291,3.691814,891.9796418292683,398,0.8876872286200523,2615.7195121951218,0.053710938,-0.0033525242,0.0043363157,215040,546.5536041259766
217088,106,1.3266301,9.507431,874.2949623058822,388,0.7840524315834045,2553.0235294117647,0.0340332,-0.0006156595,0.0032636062,217088,551.6882853507996
219136,107,1.3178055,7.5861053,863.4601311954023,409,0.7723615616559982,2514.183908045977,0.035009764,-0.0014094792,0.0033533,219136,556.9602403640747
221184,108,1.3215445,6.3613024,845.5981795777778,375,0.8529906421899796,2455.2555555555555,0.045458984,-0.0031103774,0.003943594,221184,561.9684164524078
223232,109,1.3309948,8.327685,828.9249000752689,343,0.8170212358236313,2398.9139784946237,0.06748047,-0.0041768206,0.005608994,223232,567.4201562404633
225280,110,1.3349522,11.143687,811.9758926458334,347,0.6832360923290253,2344.15625,0.04765625,-0.0021778834,0.004346588,225280,573.3869369029999
227328,111,1.3330061,7.632802,797.8418903131313,418,0.8480757623910904,2295.2929292929293,0.089697264,-0.0058425046,0.008074894,227328,579.2788133621216
229376,112,1.3307077,6.7288003,794.8129108100001,381,0.7860062271356583,2276.67,0.050976563,-0.0012341747,0.00447472,229376,584.1699552536011
231424,113,1.3244838,12.375018,802.5714483199997,428,0.7443065047264099,2274.82,0.07421875,-0.0030323686,0.0064465404,231424,589.5450615882874
233472,114,1.3229601,7.7919173,803.0052880899998,384,0.829026073217392,2250.47,0.05419922,-0.0023653016,0.004614555,233472,594.3286468982697
235520,115,1.3337166,12.353056,800.6246527999999,423,0.6729942262172699,2222.4,0.07304688,-0.0062283324,0.006581658,235520,599.6599638462067
237568,116,1.337532,8.252863,802.8676710199999,364,0.7971476316452026,2207.83,0.07138672,-0.0030383242,0.005528371,237568,604.4942517280579
239616,117,1.3398371,14.120206,807.5779445499998,377,0.7152602672576904,2198.16,0.03413086,-0.0013976706,0.0032027587,239616,610.1075141429901
241664,118,1.3389637,6.828372,535.52311197,396,0.8564645051956177,1176.06,0.07265625,-0.0017672708,0.0061100987,241664,615.5271480083466
243712,119,1.3379166,7.326545,460.95324332,379,0.8190323263406754,1013.3,0.040966798,-0.00017536028,0.0037832516,243712,620.6921405792236
245760,120,1.3405247,13.311696,404.60832889,371,0.7585457861423492,882.66,0.05595703,-0.004837189,0.0048798868,245760,626.0842621326447
247808,121,1.3478494,9.545872,375.04300792999993,406,0.8124673366546631,818.93,0.04140625,-0.0019645088,0.0037226863,247808,631.6038131713867
249856,122,1.3536752,12.50976,352.38239003999996,418,0.7768858820199966,771.51,0.04560547,-0.0015963071,0.004121929,249856,636.6460502147675
251904,123,1.3565043,13.977689,340.7528269,419,0.7057645320892334,745.4,0.054003906,-0.0053983266,0.0048330827,251904,641.5448024272919
253952,124,1.3517524,7.220131,328.54240897999995,381,0.8793894350528717,717.54,0.054345705,-0.0036405444,0.0049375296,253952,646.4242968559265
256000,125,1.3555542,4.266876,316.85168974,382,0.922782689332962,690.26,0.067675784,-0.002393139,0.005461569,256000,651.7905015945435
258048,126,1.3575089,13.397743,311.01103632,415,0.7639423310756683,675.12,0.037060548,-0.00053883647,0.003378865,258048,657.146918296814
260096,127,1.351863,10.696756,307.43952507,353,0.816576674580574,665.66,0.06743164,-0.0013397959,0.005667868,260096,662.0729019641876
262144,128,1.3536538,13.188797,301.06962245,404,0.7277591824531555,650.24,0.07817383,-0.005226362,0.0059077637,262144,667.8640637397766
264192,129,1.3609644,13.435881,291.65548763000004,375,0.8154080659151077,629.16,0.057519533,-0.000748989,0.004644703,264192,672.9303095340729
266240,130,1.3584445,16.994434,283.75646444,392,0.731134831905365,611.25,0.0675293,-0.0040235533,0.005490021,266240,678.3860092163086
268288,131,1.3555205,16.07726,275.62979213999995,338,0.7072247266769409,594.75,0.045654297,-0.0033885657,0.0040720236,268288,683.6026678085327
270336,132,1.3592165,13.070371,269.58875603,398,0.7359954416751862,581.67,0.055419922,-0.0023113154,0.0048980997,270336,689.6537749767303
272384,133,1.3680592,21.4,255.22128647999997,399,0.5588500201702118,551.71,0.02993164,-0.0018802034,0.0028142065,272384,694.7973964214325
274432,134,1.3748541,7.8052073,248.20900598000003,407,0.8824751004576683,534.35,0.03828125,-0.0009301426,0.0036169316,274432,699.9193115234375
276480,135,1.3698096,18.580067,237.65262040999997,401,0.5430779457092285,512.51,0.050341796,-0.00061012653,0.004520519,276480,704.9444725513458
278528,136,1.3684742,6.9731574,231.50770196000002,453,0.9010075554251671,498.36,0.058984376,0.0003618589,0.0049400097,278528,710.0484638214111
280576,137,1.3764884,12.812197,227.61522589999996,442,0.7891654521226883,489.34,0.059570312,-0.0021418862,0.0047239754,280576,714.566130399704
282624,138,1.3817952,6.0688567,223.56427551000004,436,0.9052049964666367,479.21,0.077978514,-0.0019294571,0.0063583925,282624,719.197592496872
284672,139,1.3830631,11.984799,218.22992312,421,0.8213490098714828,468.0,0.036035158,-0.0017292772,0.003347744,284672,723.8916494846344
286720,140,1.3773735,15.260145,214.16562749999997,422,0.7505456954240799,458.01,0.090625,-0.0061122584,0.0072810077,286720,728.7483465671539
288768,141,1.3727025,9.735221,210.76245505,395,0.8528976142406464,448.95,0.055371094,-0.0016076736,0.0052570393,288768,733.6013736724854
290816,142,1.3787048,9.645412,210.26804339999998,420,0.8476589918136597,446.96,0.06347656,-0.0036944128,0.005484821,290816,738.7817506790161
292864,143,1.398804,9.658663,209.87225804999997,390,0.8229162991046906,445.38,0.05258789,-0.0011437566,0.0046252576,292864,743.6516537666321
294912,144,1.3981719,12.279011,207.50915098000004,416,0.785389855504036,440.34,0.050927736,-0.0027593935,0.0045226375,294912,748.8923509120941
296960,145,1.4053311,12.515456,204.70815684,381,0.7964964210987091,435.65,0.08291016,-0.004625893,0.0068763634,296960,753.8115336894989
299008,146,1.4146655,5.2628527,205.10843584999998,403,0.9127677157521248,435.87,0.06748047,0.00031953474,0.0057146046,299008,759.1820340156555
301056,147,1.4187832,6.474637,206.26908412,418,0.8698738217353821,436.97,0.052978516,-0.0028257738,0.004367212,301056,764.2629668712616
303104,148,1.4176416,9.363569,203.00389116999997,363,0.8047628998756409,432.06,0.05180664,9.3475785e-05,0.004786103,303104,769.1593687534332
305152,149,1.4083576,7.7634797,205.35019759000002,430,0.8389702141284943,435.6,0.05288086,-0.0019551353,0.005802761,305152,774.7883369922638
307200,150,1.4141448,7.7353106,206.23132703,382,0.8603307008743286,437.29,0.04609375,-0.0017082391,0.004101,307200,779.5492830276489
309248,151,1.4253002,11.194454,207.56496834,406,0.8286791890859604,439.34,0.057128906,-0.0032381434,0.0048581115,309248,784.9076764583588
311296,152,1.4252882,9.711516,210.13046456000006,420,0.8202360421419144,443.03,0.03227539,-0.0020494894,0.0033020258,311296,789.951975107193
313344,153,1.4258535,6.473368,214.60554912,354,0.9040794894099236,449.53,0.08544922,-0.005792898,0.0069721667,313344,794.8294649124146
315392,154,1.4334617,9.063125,215.72333186,383,0.8294188678264618,450.91,0.0793457,-0.0038282673,0.006477283,315392,800.6088767051697
317440,155,1.4459409,4.4631157,220.38284019,403,0.9261715486645699,458.33,0.055615235,-0.0041397144,0.0052281707,317440,805.9505712985992
319488,156,1.4514719,9.671003,222.32106625000003,381,0.8596283495426178,462.1,0.06040039,-0.0052168267,0.004972763,319488,811.0326154232025
321536,157,1.4544388,4.3695893,225.32895774999997,387,0.9093912541866302,467.54,0.03852539,-0.0024539116,0.0035405022,321536,816.4058566093445
323584,158,1.4548042,3.8794708,232.44695721,399,0.9455944299697876,479.78,0.034423828,-0.000815876,0.0034170833,323584,821.695166349411
325632,159,1.4434338,3.613908,236.91578955,385,0.9334772601723671,487.84,0.065136716,-0.00050362025,0.0056319507,325632,826.8218884468079
327680,160,1.4412493,5.9718547,240.3824512,378,0.8936398401856422,494.37,0.03149414,-0.0024229414,0.0029781263,327680,832.1326057910919
329728,161,1.4512395,5.3919206,245.64926686,412,0.895168848335743,503.74,0.075927734,-0.004472523,0.007092748,329728,837.5400698184967
331776,162,1.4662468,2.266825,246.85502855000001,421,0.9586010091006756,506.55,0.064941406,-0.002156858,0.0055252733,331776,842.5004394054413
333824,163,1.4661919,3.758739,252.25143369,368,0.9342825710773468,516.35,0.041503906,-0.0021869105,0.004307442,333824,847.3643267154694
335872,164,1.4635637,5.313404,256.97556214,396,0.8956228643655777,525.41,0.07265625,-0.002475958,0.007242243,335872,852.9241642951965
337920,165,1.4609729,2.8102155,260.50930538000006,442,0.9472723193466663,531.68,0.09467773,-0.0048194686,0.007766691,337920,858.0911388397217
339968,166,1.4644954,3.2128131,264.41492585000003,430,0.9425413869321346,538.45,0.027734375,-0.0005592945,0.00274023,339968,862.7257442474365
342016,167,1.4662517,3.1693645,267.47334156,430,0.9443633332848549,544.31,0.08061524,-0.009176942,0.006690624,342016,867.4825994968414
344064,168,1.4696105,2.6024678,271.62713872999996,407,0.9516287259757519,552.07,0.042382814,-0.0044678967,0.00394866,344064,872.2442512512207
346112,169,1.4619294,5.1059146,275.75002724,402,0.9319528043270111,559.22,0.05859375,2.6894664e-05,0.0050706724,346112,877.2730267047882
348160,170,1.4423692,4.2647433,277.63211752,378,0.9345459043979645,561.97,0.080566406,-0.0005328398,0.0066426033,348160,882.3654124736786
350208,171,1.422243,9.559762,278.65511198999997,338,0.8713230490684509,563.98,0.061914064,-0.0019941502,0.0054139043,350208,887.7717387676239
352256,172,1.425029,6.5244102,283.02032345,402,0.9105818718671799,571.09,0.06777344,-0.004687573,0.0054333443,352256,893.82133436203
354304,173,1.4243629,5.1095505,286.34827991,406,0.9224241748452187,575.83,0.039990235,-0.0014005998,0.0038566713,354304,898.9163963794708
356352,174,1.4161646,3.9997032,289.11993079,394,0.9439692832529545,579.72,0.062109374,-0.003488417,0.0062714876,356352,903.950496673584
358400,175,1.4030442,6.297877,289.32754716,387,0.8989735171198845,579.7,0.103466794,-0.0071459105,0.008525292,358400,909.1489799022675
360448,176,1.3976861,7.031854,290.165454,405,0.9115096554160118,580.84,0.05126953,-0.001990975,0.0043669725,360448,914.4411089420319
362496,177,1.3944207,7.995556,292.38084416,413,0.901205375790596,583.88,0.07314453,-0.0066007995,0.0062063537,362496,919.4949605464935
364544,178,1.3997383,5.275163,292.40251721,413,0.9276507198810577,583.42,0.06435547,-0.003662888,0.0057529537,364544,924.4490592479706
366592,179,1.4064847,7.025103,293.65147604000003,363,0.9151317626237869,584.77,0.05961914,0.000953963,0.005379674,366592,929.403247833252
368640,180,1.417964,3.101727,293.49831928,365,0.9619570523500443,584.1,0.064697266,-0.0047407867,0.0054331915,368640,935.0425741672516
370688,181,1.4218991,6.7125463,293.19342255,420,0.9141212403774261,583.32,0.063769534,-0.0008048309,0.0055934484,370688,940.6419644355774
372736,182,1.4123542,9.8042965,292.56867334,398,0.8909177482128143,582.33,0.05810547,-0.0035730805,0.0052372585,372736,945.5106530189514
374784,183,1.3964909,3.4801984,293.72917494999996,370,0.9586370475590229,583.67,0.054638673,-0.003105462,0.005251081,374784,950.6543600559235
376832,184,1.3986722,3.8598506,292.7425769,381,0.9543813318014145,581.37,0.03984375,-0.005317993,0.0035522443,376832,956.1877677440643
378880,185,1.41206,7.1689024,291.59982875,419,0.9247381538152695,578.97,0.04916992,-0.002468297,0.0043944716,378880,961.5562596321106
380928,186,1.4183562,5.5533047,289.87038616,392,0.943633608520031,574.86,0.031591795,-0.00090387615,0.002764049,380928,966.4373869895935
382976,187,1.417669,2.6059756,284.96179249,359,0.9665173962712288,565.24,0.06826172,-0.0043526418,0.0056680716,382976,971.6601207256317
385024,188,1.4228218,5.783462,278.35850554,408,0.931665875017643,553.02,0.045703124,-0.004913901,0.0046859416,385024,977.3657965660095
387072,189,1.4340589,5.9179316,272.947346,397,0.9141537696123123,543.26,0.06645508,-0.0050605186,0.0053870417,387072,982.3831496238708
389120,190,1.4466678,8.437673,270.20918502,397,0.917358785867691,537.2,0.04116211,-0.0017768079,0.0038838894,389120,987.5312254428864
391168,191,1.4568594,8.191234,269.42134981,432,0.9233000129461288,534.36,0.03330078,-0.0019462563,0.003025245,391168,992.6819550991058
393216,192,1.457471,3.4868712,268.82682557000004,382,0.9541534706950188,532.88,0.03227539,-0.0030383705,0.0030303414,393216,997.4165256023407
395264,193,1.4513519,7.998671,267.61124558,416,0.9113771542906761,529.96,0.03779297,-0.0017595896,0.003418558,395264,1002.7700481414795
