#{"t_start": 1566333456.7398307, "env_id": null}
r,l,t
174.492592,1019,3.230492
81.378186,518,4.321434
165.716503,1006,6.865673
76.930088,500,7.983469
126.600433,776,10.359612
261.134907,1522,14.21473
215.487574,1260,17.423069
280.384404,1428,20.603645
302.724957,1402,23.90891
136.069337,782,25.630099
680.292929,2503,32.517684
59.832763,336,33.356078
136.305635,648,34.828455
586.478713,2587,41.123178
196.416945,1096,43.931529
43.409764,264,44.595906
167.930577,834,47.10016
275.474025,1278,50.011431
28.489943,166,50.470428
2846.68955,13818,84.939831
25219.138752,90179,314.977439
4673.768845,9678,339.931137
1912.490505,4521,351.549074
1685.784454,3870,361.705623
900.919517,2305,367.503919
310.8083,993,369.864569
1055.108796,2467,376.396065
4373.677017,9471,400.244102
663.380808,1571,404.535233
1822.677309,3667,414.295082
765.767591,1659,419.020939
656.471248,1514,423.361549
1144.85084,2378,430.273985
1046.053526,2149,435.365829
490.582263,1109,437.8184
559.491467,1188,441.524686
418.000821,963,443.997611
555.785697,1194,447.147957
594.785111,1316,450.377358
560.294977,1230,453.611213
413.026058,995,456.197211
531.416147,1161,459.631622
565.235546,1238,463.248589
776.892228,1596,466.744414
523.865153,1241,470.512915
517.684169,1195,473.648315
481.82164,1067,476.003534
555.109365,1191,478.972473
421.764152,963,481.773936
394.093322,922,484.573028
328.89638,770,486.546232
405.111164,895,488.567189
405.789295,834,490.964118
340.544421,775,493.116697
317.617482,709,495.359723
331.529134,762,497.224019
357.129582,844,499.371158
317.010227,708,501.373717
421.069521,942,503.541097
343.047639,766,506.007538
352.891272,790,507.880861
532.794269,1126,510.400553
441.073463,953,512.845457
348.269933,761,514.586214
322.685231,756,516.635267
342.1646,782,518.667182
401.924349,889,521.417061
292.540954,677,523.137694
367.416704,806,524.956592
341.25902,734,526.895207
257.553977,595,528.324897
262.213403,603,529.787033
422.526821,875,532.022756
377.146243,769,533.720844
465.08708,951,536.346167
374.237565,790,538.489875
384.744219,824,540.385294
320.763788,713,542.41009
377.286049,815,544.5343
431.192209,913,546.498668
321.71019,748,548.66715
404.118997,880,550.543983
433.173937,913,553.127078
413.623725,894,555.246046
325.943504,711,557.059124
362.302104,799,559.211298
443.657514,928,561.260377
291.985473,685,563.197631
401.916878,880,565.503796
288.902397,674,567.106749
321.907929,691,569.373199
301.711102,642,571.27596
362.560514,793,573.376477
270.69256,616,575.419564
256.853435,599,577.087564
332.123992,725,578.856639
344.374558,739,580.901561
376.380042,755,582.471016
315.906847,701,584.210303
345.874455,739,586.128064
323.562077,713,587.964699
344.17399,709,590.220937
322.117162,665,591.730669
280.879021,620,593.057816
279.308788,621,594.30085
241.915114,539,595.869992
286.233801,625,597.374832
272.241947,611,598.808933
253.935185,550,600.600908
334.392037,725,602.256767
292.696472,605,603.54256
328.396671,684,605.363056
376.355847,786,607.135336
302.166415,644,609.006587
266.987222,603,610.974521
296.681902,636,612.717521
297.717089,636,614.1512
292.872451,630,615.683468
291.871389,635,617.473808
276.128566,615,618.837801
320.835032,703,620.526736
283.289352,625,622.636613
309.837535,655,624.203074
221.930052,513,625.39802
235.059923,525,627.017349
255.61391,550,628.218929
275.437492,562,629.900496
239.910862,535,631.227579
234.158259,491,632.83742
193.913276,441,634.037485
268.588241,558,635.182221
255.105084,548,636.342075
237.720115,524,637.785368
235.506299,528,638.86586
299.393637,579,640.301845
202.296256,451,641.308503
264.347712,562,642.875045
190.052859,437,643.79573
254.777742,541,645.047743
256.731979,552,646.125188
302.229981,583,647.970262
249.45917,544,649.42375
275.690719,549,650.764947
238.148317,528,651.950099
271.804428,542,653.591287
192.709754,439,654.729584
203.570612,451,655.79144
241.323609,534,657.026138
242.241105,530,658.631796
201.909907,449,659.552187
197.073639,438,660.489153
324.575025,619,661.992059
281.759135,573,663.763887
293.85093,582,665.595606
279.226121,549,667.138804
183.493021,430,667.975055
98.974581,259,668.937643
262.150752,528,670.187636
191.705768,438,671.237602
248.435606,493,672.170784
217.137766,467,673.734729
197.227363,441,674.7149
203.667458,445,675.875895
214.763909,460,677.056759
223.50419,465,678.155663
205.445673,446,679.688169
241.83443,485,680.725648
98.627224,259,681.347389
206.10763,454,682.575116
203.388351,453,683.526185
195.755853,442,685.047137
213.810099,464,686.199294
91.184337,253,686.727808
196.836947,436,688.160571
274.273058,548,689.733769
203.761044,448,691.160793
203.438514,445,692.316899
208.829825,458,693.509848
236.898627,483,694.464357
98.389658,264,695.520704
217.485707,468,696.611874
102.639288,263,697.173815
108.796148,272,697.772722
150.145598,355,698.460778
215.559208,441,699.485156
205.475119,450,701.065665
254.254173,489,702.138179
209.271405,427,703.153459
260.163852,500,704.198668
158.371767,364,705.136183
155.665351,359,706.296532
107.958066,268,706.946721
105.219509,269,707.566323
113.56093,278,708.133354
147.219632,347,709.005283
160.587487,361,709.79937
216.386897,439,711.159055
248.170486,484,712.150934
209.013319,457,713.058828
206.589003,425,713.952752
211.446429,427,714.803783
237.239133,476,716.182277
113.140782,276,716.738965
243.526743,484,717.685298
243.324697,477,718.668759
299.905654,537,720.257536
163.362052,367,720.997771
175.59922,382,721.799766
171.292987,375,722.651683
173.463132,376,723.356437
187.907819,392,724.612955
208.32116,454,725.59349
217.154334,453,726.709507
208.554339,447,727.591401
211.229736,455,728.504794
220.24286,446,729.87886
113.903368,280,730.607056
222.512596,467,731.653902
213.557315,437,732.518358
278.625696,523,733.655594
207.440796,424,734.945062
292.554183,529,736.276952
158.217219,362,737.061902
156.545943,360,737.94223
215.876508,440,738.94915
222.829418,467,740.281843
238.532455,471,741.242833
234.737707,472,742.227805
259.579778,529,743.481099
215.032871,455,744.991084
213.358957,464,746.048652
239.652346,484,747.144754
247.704007,510,748.419583
254.956488,489,749.960343
213.013028,458,751.161526
173.642908,382,751.938789
209.218389,456,752.909748
104.455243,268,753.478326
215.33801,463,754.975949
211.389202,465,756.244819
204.827557,448,757.185262
218.707149,468,758.427058
208.528259,456,759.404964
202.581591,452,760.839239
208.029145,458,761.901713
256.749312,520,763.16237
278.900964,552,764.34334
209.358613,458,765.749478
252.926898,512,766.84226
251.158996,509,767.967301
285.16858,582,769.260395
164.927764,375,770.414542
272.884547,546,771.589576
197.200059,442,772.796027
217.879546,469,774.355958
221.501013,474,775.870413
245.74277,503,776.956939
216.888648,465,777.977916
286.822333,567,779.166229
273.774133,569,780.715947
249.872332,514,782.119011
209.498012,460,783.200977
221.43666,472,784.26807
304.026917,555,785.970129
213.820756,467,787.180812
284.200164,577,788.4581
216.864496,462,789.469656
221.024452,476,790.902875
291.440201,544,792.058087
221.093471,477,793.275561
226.870556,480,794.212552
284.467503,557,795.756955
282.063293,551,796.991226
287.065585,581,798.444453
370.016516,662,800.551139
219.003885,469,802.123726
284.789699,534,803.259323
248.732897,505,804.491477
212.179803,464,805.727479
228.995947,455,807.091848
229.892012,485,808.412533
223.906516,477,809.487859
310.467159,592,810.771695
292.685474,586,812.537352
287.140318,584,814.064974
225.558547,478,815.230946
213.872365,464,816.193821
333.407314,618,818.317815
325.174225,644,819.684469
270.014635,573,821.085303
317.894317,639,822.878022
276.724386,579,824.296749
292.58528,573,825.66308
306.999819,607,827.002439
306.366365,617,828.864428
326.834593,650,830.58013
337.876292,686,832.145178
369.421925,733,834.337475
296.786652,596,835.666129
344.230396,690,837.478492
334.2794,682,839.33576
363.490308,696,840.810098
390.738202,738,842.544196
269.222785,533,844.110058
293.671095,576,845.425893
344.439383,670,846.813939
467.970024,917,849.247566
289.241373,590,850.627975
292.683376,597,852.293439
382.817407,772,854.815794
341.486657,692,856.305884
317.800892,664,857.757542
334.204865,681,859.751324
322.497909,650,861.03501
333.609959,651,862.375194
322.434642,634,864.102448
290.951029,596,865.500222
333.8352,640,866.80079
337.340298,659,868.563707
320.88313,634,869.919657
347.24195,677,871.252514
311.913728,634,873.082541
327.40838,651,874.628757
383.374954,742,876.152463
314.08923,627,878.060565
312.479824,600,879.520693
368.145342,718,881.096251
329.550543,620,882.549439
323.590412,646,884.574227
248.324865,493,885.712217
304.265357,584,886.94947
324.070182,640,889.400881
123.752833,303,890.504769
288.942884,575,891.711011
320.859417,624,893.081852
313.26289,619,895.18101
249.316646,503,896.207758
339.475431,661,897.950089
237.120729,497,899.079051
380.29564,685,900.945316
262.227013,525,902.016614
325.196901,645,903.462066
236.935681,480,905.048926
325.156543,621,906.596548
334.211859,654,908.145598
291.450059,574,909.908373
314.139217,600,911.187021
113.318621,283,911.762866
299.789527,583,913.475263
289.615588,566,915.154407
239.372748,482,916.146247
240.577765,502,917.37148
288.36447,576,918.741499
310.352658,615,920.463615
307.045036,592,921.835463
242.231256,501,922.805361
244.233454,484,923.795758
274.238051,552,925.805283
221.097642,453,926.739079
254.490028,503,927.82922
279.69903,561,929.028735
343.655855,641,930.833207
216.216926,448,932.006038
273.385117,517,933.318033
240.42033,483,934.70154
219.140445,451,936.118969
269.238066,515,937.541225
236.905537,477,938.895142
272.929589,549,940.281448
238.615948,482,941.669214
267.745423,528,942.862084
235.30578,494,943.90136
242.337999,483,944.944361
281.764099,581,946.571778
263.707641,513,947.72159
256.642395,505,948.990275
296.286629,548,950.232306
237.252658,478,951.741545
291.056329,571,953.119551
280.298855,533,954.636057
227.242978,461,955.75064
295.574111,575,957.455967
240.811957,479,958.528951
239.965302,478,959.745774
239.188292,477,960.86481
233.742069,471,962.529213
288.483375,560,963.791149
241.322747,482,964.799664
220.189445,451,965.803217
227.136217,466,967.22388
263.08048,511,968.368626
262.077625,508,969.704992
231.980037,468,970.708249
256.114165,502,972.332976
226.900134,456,973.543365
229.013292,466,974.724093
225.949343,457,976.046445
218.662693,450,977.1804
217.866171,447,978.503613
214.64175,436,979.431612
214.410387,436,980.375307
235.089218,462,981.437903
187.188737,399,982.39602
124.91078,298,983.542179
231.63175,465,984.650866
249.852585,492,985.621329
227.792218,465,986.769706
220.626182,450,988.266957
296.104696,582,989.523694
291.252433,551,990.905112
224.429404,462,991.862149
325.636014,605,993.72318
314.819532,604,994.957979
294.512796,583,996.255962
294.361762,570,997.456445
291.197162,571,999.186101
284.622155,560,1000.50788
311.94913,591,1001.898096
294.38955,577,1003.776501
264.095884,522,1004.930201
317.61519,615,1006.345495
319.720483,598,1007.625968
299.765477,586,1009.328205
285.567832,567,1010.98838
287.638175,565,1012.455613
276.226925,561,1014.303651
331.621615,647,1015.978838
335.237528,661,1017.490359
281.760445,565,1018.617685
319.421998,582,1020.340413
326.689629,608,1022.212321
372.914675,692,1023.670982
302.748402,580,1025.415421
315.948202,594,1026.623276
273.339367,541,1027.809836
325.164494,634,1029.875432
305.662981,596,1031.136615
295.191917,579,1032.746664
351.960658,674,1034.632167
291.084137,571,1036.424795
234.378855,479,1037.38305
292.291296,576,1038.662271
325.981294,610,1040.424537
237.353225,499,1041.699242
224.256939,464,1042.79754
277.856248,553,1044.023142
288.419831,570,1045.650035
306.880494,580,1047.054484
329.543097,634,1048.571368
306.900407,586,1049.789821
323.948086,607,1051.494704
228.09683,465,1052.681535
342.9389,623,1054.163176
1079.602473,1850,1058.972248
294.073897,575,1060.809746
382.421615,749,1063.099791
328.205828,639,1064.687818
405.86711,747,1066.463495
323.335751,610,1068.121545
414.04141,788,1069.69831
449.215677,817,1071.952898
2333.567038,3710,1081.064898
1267.613706,2151,1086.27116
2660.21435,4256,1097.205235
640.307949,1122,1100.188712
747.836346,1305,1103.391536
2156.31045,3459,1111.729049
797.330186,1350,1115.300694
607.435236,1077,1118.353634
579.099518,1025,1120.672261
3035.358866,4936,1133.132365
1240.570723,2063,1138.324831
22635.136916,39721,1239.283387
