explained_variance,clipfrac,approxkl,fps,ep_reward_mean,serial_timesteps,policy_loss,policy_entropy,value_loss,ep_len_mean,time_elapsed,n_updates,total_timesteps
0.8139135539531708,0.03203125,0.0030565485,308,334.62117048,81920,-0.0010565344,1.8402717,46.82256,357.42,248.9817099571228,40,81920
0.7970124185085297,0.021972656,0.002309283,306,342.90792349000003,83968,-0.001306736,1.8675935,48.265594,366.11,255.62931656837463,41,83968
0.7955896407365799,0.025537109,0.00272125,303,349.535042,86016,-0.001703185,1.8732369,45.470116,373.32,262.32332491874695,42,86016
0.8373277485370636,0.016455078,0.0019475346,306,358.69819723,88064,-0.00030075962,1.8714693,43.70843,382.86,269.0731158256531,43,88064
0.8293054699897766,0.024169922,0.0022363602,301,370.85480901000005,90112,-0.004129289,1.881851,43.557053,395.72,275.7609853744507,44,90112
0.8584394007921219,0.010302735,0.0015133533,302,370.87320535999993,92160,0.00025421026,1.8970706,41.31431,395.67,282.54817962646484,45,92160
0.8625533282756805,0.01953125,0.0021750962,299,381.58420474999997,94208,-0.0010841459,1.8942629,34.847633,407.01,289.3097622394562,46,94208
0.8714466691017151,0.02451172,0.002399184,298,384.75150349999996,96256,-7.191062e-05,1.8966163,33.72049,410.35,296.14153242111206,47,96256
0.8851380348205566,0.031347655,0.002912737,301,383.40871655999996,98304,-0.0025053697,1.9019066,29.839462,408.95,303.00162267684937,48,98304
0.8763148114085197,0.034521483,0.0031067934,305,383.37716889,100352,-0.0025151134,1.912956,30.350033,409.06,309.7935559749603,49,100352
0.7952401041984558,0.030126953,0.0031142219,307,381.56932825999996,102400,-0.0042714467,1.91421,34.505478,407.34,316.4938979148865,50,102400
0.8886218369007111,0.0036132813,0.00080675806,303,379.85644657000006,104448,-0.00023693047,1.9117895,29.991568,405.12,323.166321516037,51,104448
0.9045216739177704,0.009375,0.0016072855,302,387.38018647999996,106496,-0.000751753,1.9085147,30.105774,412.67,329.91369557380676,52,106496
0.9210455790162086,0.025683593,0.002607712,300,393.55052226,108544,-0.00083037495,1.9106123,27.825169,419.22,336.675639629364,53,108544
0.9062684550881386,0.028466797,0.00264008,300,395.0895638600001,110592,-0.0012846637,1.9133012,28.998993,420.77,343.48964953422546,54,110592
0.8912305906414986,0.030126953,0.0027112823,302,399.97695167000006,112640,-0.0027266257,1.9246776,27.394272,425.69,350.3124511241913,55,112640
0.904894582927227,0.043847658,0.0036582667,305,407.45835987000004,114688,-0.002219085,1.937886,25.154644,433.88,357.08014583587646,56,114688
0.8616302758455276,0.023828125,0.0028831342,301,406.84353529,116736,-0.0013534181,1.9315199,27.868454,433.25,363.79325127601624,57,116736
0.915033333003521,0.032177735,0.0031201306,301,413.3719233499999,118784,-0.0025594006,1.9347961,25.678524,440.56,370.5948009490967,58,118784
0.8779069036245346,0.019628907,0.0020670923,302,415.47499841000007,120832,-0.00090306683,1.9369442,26.59338,442.79,377.3783631324768,59,120832
0.8966644927859306,0.026416015,0.00255394,300,419.94428931999994,122880,-0.002560284,1.936038,25.174524,447.46,384.1430330276489,60,122880
0.8937973976135254,0.018896485,0.002032832,298,425.55039045999996,124928,-0.0011913634,1.9421507,25.003038,452.97,390.96792674064636,61,124928
0.8514661341905594,0.017773438,0.0019482214,302,417.7402895000001,126976,-0.0015041692,1.9459671,25.216866,444.53,397.8222041130066,62,126976
0.8994820788502693,0.02841797,0.0027393019,304,419.49200214000007,129024,-0.0015660599,1.9498441,24.44889,446.12,404.58420634269714,63,129024
0.8960439041256905,0.031640626,0.0033671886,303,421.3176789,131072,-0.003463184,1.9620012,22.20797,448.09,411.3153007030487,64,131072
0.8663637638092041,0.04135742,0.0036406182,302,421.36555746000005,133120,-0.00031956861,1.9731817,24.273937,448.27,418.06746888160706,65,133120
0.9141593649983406,0.031445313,0.0028877077,301,418.90870821,135168,-0.0018500574,1.9725021,22.160482,445.31,424.8487000465393,66,135168
0.8637865781784058,0.035986327,0.0037067998,305,415.79724674,137216,-0.004024907,1.9634428,22.36786,442.1,431.6514296531677,67,137216
0.9191943779587746,0.017382812,0.0020321277,304,424.72143292999993,139264,-1.7486163e-05,1.957804,20.424042,451.9,438.34764790534973,68,139264
0.92343869805336,0.043554686,0.003915309,302,435.8147161300001,141312,-0.0028156512,1.9528742,21.497923,463.44,445.070898771286,69,141312
0.933008685708046,0.017675782,0.0020741967,307,437.19778063999996,143360,-0.0012770315,1.9523561,17.752453,465.01,451.84067130088806,70,143360
0.9200309440493584,0.03730469,0.0035036742,303,452.45732261000006,145408,-0.0026463643,1.9550873,17.830744,481.28,458.5034873485565,71,145408
0.9477640576660633,0.0171875,0.0019244222,303,460.06143237,147456,-0.00084831176,1.9596249,18.03977,489.07,465.2509891986847,72,147456
0.9551292881369591,0.013964844,0.0015922826,302,463.1774439400001,149504,-0.0009343813,1.9723351,17.466145,492.05,472.01129627227783,73,149504
0.9605909660458565,0.021240234,0.0023721335,303,478.48502426000005,151552,-0.0020366719,1.9791803,18.516138,508.49,478.7831597328186,74,151552
0.83885557949543,0.030664062,0.0029732203,302,496.74632367,153600,-0.0010844346,1.9745429,20.000172,527.57,485.52879524230957,75,153600
0.8246447741985321,0.006640625,0.0010794767,303,507.39329836,155648,-0.0008006006,1.975604,22.931011,538.47,492.30748748779297,76,155648
0.5950118005275726,0.031982422,0.0034496605,306,512.1281832300001,157696,-0.0047955443,1.9649436,25.428251,543.4,499.06122183799744,77,157696
0.9667634032666683,0.011083985,0.0014591475,301,529.46707907,159744,-0.0012501099,1.9652712,17.171345,561.45,505.7506101131439,78,159744
0.36264604330062866,0.021582032,0.0025036065,316,536.86243821,161792,-0.0025414082,1.9725584,37.167366,569.75,512.5379800796509,79,161792
