n_updates,approxkl,time_elapsed,serial_timesteps,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean,clipfrac,value_loss
40,0.003226559,253.15503764152527,81920,0.8019956946372986,1.8500093,-0.0016659917,302,81920,599.41254293,639.78,0.034423828,45.833454
41,0.0031640218,259.9366126060486,83968,0.7957795262336731,1.848142,-0.0042455536,302,83968,614.0116968100001,654.85,0.033447266,45.81328
42,0.0027723575,266.7080991268158,86016,0.8402328342199326,1.8539985,-8.782944e-05,308,86016,622.03763288,663.47,0.027001953,43.42447
43,0.0011332304,273.34806728363037,88064,0.8750291019678116,1.8513619,-0.0005371548,307,88064,647.14600008,690.28,0.005566406,39.87295
44,0.0031765192,280.01900243759155,90112,0.8590974360704422,1.8473715,-0.0040643183,304,90112,657.3352458100001,700.93,0.03330078,39.59515
45,0.001672722,286.74914503097534,92160,0.9078509733080864,1.8529577,-0.0020613954,302,92160,671.2603304699999,715.42,0.014892578,36.346428
46,0.0028440717,293.51004219055176,94208,0.5932515263557434,1.8724988,-0.002086383,303,94208,684.0578632600002,729.07,0.031640626,38.65618
47,0.002786549,300.2525324821472,96256,0.8010871857404709,1.8924534,-0.0023582703,305,96256,693.6247700999999,739.48,0.030664062,32.610672
48,0.0021094005,306.96143317222595,98304,0.9120185524225235,1.8951795,-0.0011538507,302,98304,702.7418155899999,749.59,0.01875,30.920038
49,0.0023183625,313.7314021587372,100352,0.7291035652160645,1.9065933,-0.0016767941,309,100352,708.4517058300002,755.28,0.022802735,35.063545
50,0.0024410866,320.3572578430176,102400,0.7701059728860855,1.9229269,-0.0017613685,303,102400,708.0132628299999,754.67,0.022949219,31.494314
51,0.002794989,327.1036870479584,104448,0.8724411129951477,1.9262053,-0.0039411574,302,104448,701.4155640100003,747.11,0.029736329,30.720638
52,0.00274118,333.8858947753906,106496,0.7533083260059357,1.9491937,-0.001083263,301,106496,701.7568217000002,747.3,0.030517578,31.21069
53,0.0033956156,340.67391896247864,108544,0.736806720495224,1.9614127,-0.0025365113,306,108544,710.3853119500002,756.5,0.03828125,30.66277
54,0.0017541368,347.35175943374634,110592,0.8564361929893494,1.9649918,-0.00025840904,302,110592,704.1307298699999,750.04,0.01171875,25.201077
