time_elapsed,clipfrac,explained_variance,value_loss,ep_len_mean,policy_loss,n_updates,fps,policy_entropy,approxkl,serial_timesteps,total_timesteps,ep_reward_mean
2.86102294921875e-06,0.040283203,-0.17797768115997314,4.63977,1602.0,-0.0045832074,1,384,1.4296805,0.003390633,2048,2048,295.532042
5.327788591384888,0.04921875,-0.24062013626098633,4.9590406,652.8333333333334,-0.0075414716,2,427,1.4441208,0.0039924216,4096,4096,129.33419600000002
10.114275932312012,0.031152343,-0.2431190013885498,5.8124127,560.7777777777778,-0.0029291671,3,421,1.4566109,0.002891944,6144,6144,111.11383766666667
14.969855308532715,0.008300781,-0.044275522232055664,5.16784,615.7692307692307,-0.0011191552,4,408,1.4658115,0.0014698384,8192,8192,127.76059530769233
19.989683389663696,0.038671874,0.14076411724090576,3.9764314,586.8823529411765,-0.003700576,5,432,1.4727625,0.0034453105,10240,10240,121.02634588235296
24.722866535186768,0.031835936,0.15031909942626953,2.9441614,529.3913043478261,-0.0046643284,6,406,1.4882592,0.0028057355,12288,12288,107.17052408695653
29.757723569869995,0.020947266,0.47343266010284424,2.6022582,498.67857142857144,-0.0017443309,7,417,1.5035858,0.0023277793,14336,14336,99.6498705
34.66241979598999,0.033154298,0.5439791977405548,2.3841367,477.5,-0.0025187447,8,377,1.507017,0.003413628,16384,16384,93.90537402941176
40.095516204833984,0.037646484,0.5877884328365326,2.4008596,446.3170731707317,-0.003383244,9,396,1.5088089,0.003368379,18432,18432,87.53227478048781
45.26276898384094,0.049951173,0.7465901374816895,1.9454992,429.59574468085106,-0.005653968,10,420,1.5235735,0.004292535,20480,20480,83.88740221276595
50.133920192718506,0.05703125,0.8410454839468002,1.6677994,418.9433962264151,-0.007247334,11,413,1.5346843,0.0044814986,22528,22528,81.40970715094338
55.08495545387268,0.035351563,0.8875997588038445,1.2013308,425.05263157894734,-0.0020530699,12,442,1.5344226,0.0032398533,24576,24576,81.73447071929824
59.7097749710083,0.03754883,0.895787201821804,1.0943402,429.2,-0.0016492758,13,415,1.5374476,0.0035779388,26624,26624,81.76931226666667
64.63683819770813,0.07519531,0.909172810614109,0.8827556,440.18461538461537,-0.0069324225,14,424,1.5524676,0.0056858654,28672,28672,82.54459844615384
69.46388936042786,0.062353514,0.9242163524031639,0.90204126,457.2089552238806,-0.003716065,15,409,1.5607016,0.0048269387,30720,30720,84.71172258208955
74.46593594551086,0.046972655,0.9251933172345161,0.7118032,471.3478260869565,-0.0037277222,16,397,1.5622785,0.0039800922,32768,32768,86.4722311884058
79.62306952476501,0.072021484,0.912895917892456,0.7189365,492.4,-0.006899251,17,403,1.5536659,0.006012722,34816,34816,89.31153541428571
84.70538926124573,0.040039062,0.8436952084302902,0.6670367,514.3239436619718,-0.0025204057,18,414,1.5403231,0.0038936487,36864,36864,92.40216336619719
89.64933276176453,0.044628907,0.771012470126152,0.6943683,535.6388888888889,-0.0011064492,19,386,1.5385721,0.003968767,38912,38912,95.60044673611111
94.94472765922546,0.05522461,0.8300789296627045,0.4783911,556.3698630136986,-0.0018565841,20,404,1.5469543,0.0046547884,40960,40960,98.68303363013698
100.00698757171631,0.050830077,0.7988908737897873,0.4255702,576.5405405405405,-3.9496656e-05,21,418,1.5463979,0.004363344,43008,43008,101.6783552162162
104.90110421180725,0.0793457,0.7774438858032227,0.42253304,596.1733333333333,-0.00319426,22,353,1.5428703,0.0059388285,45056,45056,104.74150941333332
110.69651412963867,0.120751955,0.7020229697227478,0.38620964,615.2894736842105,-0.008984299,23,379,1.5577122,0.008997181,47104,47104,107.78748868421052
116.08862280845642,0.10805664,0.5800102055072784,0.40722007,633.9090909090909,-0.0064012026,24,393,1.5690129,0.007942239,49152,49152,110.9168025194805
121.29049158096313,0.076855466,0.4013487696647644,0.46678573,652.0512820512821,-0.0033587005,25,386,1.568708,0.0059387838,51200,51200,114.01720514102563
126.60641407966614,0.0690918,0.3909551501274109,0.47571617,669.7341772151899,-0.002315575,26,378,1.5680794,0.0056729894,53248,53248,117.21319702531645
132.02254486083984,0.09448242,0.14454632997512817,0.59258556,686.975,-0.003780083,27,394,1.5611728,0.007265857,55296,55296,120.41428201250001
137.21556282043457,0.06704102,0.20488810539245605,0.5651987,703.7901234567901,-0.0014256565,28,397,1.5545495,0.0052715586,57344,57344,123.60648582716051
142.36300945281982,0.037109375,0.10149890184402466,0.6080369,720.1951219512196,0.00012089747,29,397,1.5645298,0.0034838268,59392,59392,126.7811568292683
147.51901602745056,0.07133789,0.15483975410461426,0.6134728,736.2048192771084,-0.0017706559,30,362,1.57581,0.005730058,61440,61440,129.94584087951807
153.16261434555054,0.12626953,0.07122081518173218,0.6450063,751.8333333333334,-0.004289833,31,387,1.5854716,0.008886956,63488,63488,133.11022607142857
158.44577312469482,0.09257813,0.016758203506469727,0.7205092,767.0941176470589,-0.0028803565,32,390,1.5954053,0.0067686127,65536,65536,136.30668235294118
163.6954779624939,0.08515625,0.00020259618759155273,0.7545131,782.0,-0.0011077025,33,366,1.5996943,0.0065103793,67584,67584,139.55063148837212
169.28856015205383,0.05595703,0.0066811442375183105,0.7525756,796.5632183908046,-0.0015517324,34,384,1.5951798,0.0046752063,69632,69632,142.7684682758621
174.62034034729004,0.08022461,0.0041103363037109375,0.77082646,810.7954545454545,-0.0019318765,35,369,1.592603,0.0061743394,71680,71680,146.04509595454545
180.16437530517578,0.08017578,-0.02084958553314209,0.80649817,824.7078651685393,-0.0062405593,36,368,1.6012695,0.0064659193,73728,73728,149.1803422696629
