policy_entropy,explained_variance,ep_reward_mean,clipfrac,fps,ep_len_mean,time_elapsed,approxkl,n_updates,serial_timesteps,policy_loss,value_loss,total_timesteps
1.5673078,0.031725287437438965,409.24331938999995,0.04824219,317,526.73,1238.8691093921661,0.0041366494,94,192512,-0.0031488468,34.699184,192512
1.5765759,0.06769901514053345,426.3514968199999,0.041503906,335,545.52,1245.3291256427765,0.0038336348,95,194560,-0.0010015157,34.736656,194560
1.5768402,0.015120506286621094,443.61317414999996,0.035009764,286,564.4,1251.4332036972046,0.0033527245,96,196608,-0.0027831146,35.54376,196608
1.5761912,0.026862263679504395,461.01084434999996,0.037744142,244,583.15,1258.5728528499603,0.0035008057,97,198656,-0.002415042,35.229645,198656
1.5784267,0.03381890058517456,478.46097322,0.034521483,279,601.96,1266.9543571472168,0.0034444605,98,200704,-0.0038248028,33.07151,200704
1.586503,0.1313907504081726,495.3489839200001,0.05732422,330,620.7,1274.2813920974731,0.0046842853,99,202752,-0.003659761,33.036774,202752
1.5954187,0.03297758102416992,512.45342341,0.044873048,330,639.51,1280.4797139167786,0.0038795925,100,204800,-0.0024368563,30.261703,204800
1.6027806,0.04119527339935303,529.1680216,0.024560547,298,658.33,1286.6732442378998,0.0024409867,101,206848,-0.0019576384,31.322895,206848
1.6111389,0.06963890790939331,546.20166834,0.042041015,251,677.05,1293.532138824463,0.003766897,102,208896,-0.002688912,31.439991,208896
1.6099361,0.07217496633529663,563.17225091,0.04790039,255,695.71,1301.6670570373535,0.0042894175,103,210944,-0.004561523,32.67861,210944
1.6068926,0.3057621717453003,545.5197852399999,0.038964845,137,677.39,1309.6973965168,0.0037783026,104,212992,-0.0037184022,28.554882,212992
1.6116015,0.09858369827270508,562.6689664099999,0.037353516,286,696.22,1324.6189048290253,0.0032645974,105,215040,-0.001721479,31.321793,215040
1.6173172,0.3151695132255554,579.8542365899999,0.039501954,271,714.87,1331.764569759369,0.0040093986,106,217088,-0.004477432,28.61127,217088
1.6219614,0.06548535823822021,596.73845571,0.03955078,289,733.62,1339.3093569278717,0.003557335,107,219136,-0.0017667295,28.76879,219136
1.6275482,0.4541139006614685,596.2674403799999,0.036621094,214,733.5,1346.3769104480743,0.003193292,108,221184,-0.0019687405,30.70136,221184
