n_updates,policy_loss,fps,ep_len_mean,approxkl,policy_entropy,explained_variance,value_loss,time_elapsed,clipfrac,total_timesteps,serial_timesteps,ep_reward_mean
40,-0.0017766604,309,342.1,0.0031012702,1.9026754,0.8333387821912766,42.830315,248.01695036888123,0.032421876,81920,81920,320.02866587999995
41,-0.0017560025,308,349.17,0.00324099,1.901565,0.8422648906707764,45.459583,254.6305274963379,0.035253905,83968,83968,327.29239535000005
42,-2.1559186e-05,303,355.86,0.001780709,1.892868,0.8609438538551331,44.500946,261.2696113586426,0.014257813,86016,86016,334.08766412
43,-0.00026975333,312,359.93,0.0027941435,1.885854,0.8837579563260078,38.991016,268.0223126411438,0.026708985,88064,88064,337.86796155
44,-0.00072646217,304,370.11,0.0024000448,1.8898191,0.8777661696076393,38.42253,274.572301864624,0.02368164,90112,90112,347.43262062
45,-0.002435252,303,380.92,0.002763365,1.9000969,0.8797527328133583,37.319893,281.2905683517456,0.031591795,92160,92160,357.54739289
46,-0.00066831725,304,386.06,0.0021539996,1.914427,0.903014525771141,33.93127,288.0379590988159,0.020507812,94208,94208,362.33242333999993
47,-0.0011649474,301,399.65,0.0022598985,1.9187877,0.9072870537638664,32.777107,294.7717263698578,0.02060547,96256,96256,374.7019936699999
48,-0.0020824124,306,410.51,0.0026566288,1.9193065,0.9090248271822929,28.523594,301.57768416404724,0.024072265,98304,98304,384.26556066000006
49,-0.002236007,302,418.55,0.004773817,1.9154999,0.9235274866223335,32.584904,308.27169013023376,0.05078125,100352,100352,392.01653934999996
50,-0.0017172244,302,428.53,0.0024439069,1.8972702,0.9265628457069397,30.351284,315.03442215919495,0.020898437,102400,102400,401.3589248100001
51,-0.0023831066,310,438.63,0.0036315757,1.8905474,0.8896315768361092,31.613537,321.81664061546326,0.04086914,104448,104448,411.17343538999995
52,-0.0028951473,303,451.48,0.0026823836,1.8995196,0.9171658754348755,28.410471,328.41323590278625,0.027880859,106496,106496,423.06982428
53,-0.0018224374,302,461.34,0.0023796507,1.9130188,0.9185341969132423,28.426306,335.15239357948303,0.022558594,108544,108544,432.3757736400001
54,-0.0014639226,306,471.93,0.0024149048,1.9240608,0.8964411541819572,25.146547,341.9193150997162,0.02236328,110592,110592,442.21656422000007
55,-0.0006420155,316,480.58,0.0009735317,1.9241604,0.6944272220134735,31.646692,348.6037678718567,0.006152344,112640,112640,450.15635924000003
56,-0.0044956575,314,491.65,0.0032785728,1.9141369,0.7820332050323486,29.799778,355.07999324798584,0.03378906,114688,114688,460.7817783500001
57,-0.003027622,310,501.77,0.001686403,1.9122387,0.8720391243696213,26.504963,361.60093426704407,0.014013672,116736,116736,470.63904178000007
58,-0.0020208661,307,513.39,0.0024253563,1.9251003,0.8636388778686523,27.393711,368.19040298461914,0.025097657,118784,118784,481.63813308
59,-0.0016860513,311,524.26,0.0021379243,1.9350933,0.8431360274553299,25.838907,374.85780811309814,0.020898437,120832,120832,491.25496827
60,-0.0034492142,305,533.9,0.002237949,1.9346764,0.9171434193849564,25.443914,381.4419996738434,0.020117188,122880,122880,500.8320397100001
61,-0.00072347966,306,544.32,0.002316956,1.9380782,0.8026854246854782,26.012272,388.1489505767822,0.022607422,124928,124928,510.80859706999996
62,-0.0026663616,305,557.06,0.0035331063,1.9469198,0.7631604820489883,28.523304,394.84043884277344,0.041308593,126976,126976,522.92743154
63,-0.0063601644,306,569.1,0.006232072,1.9412447,0.9137846678495407,23.370953,401.5526337623596,0.078125,129024,129024,534.3707249900001
64,-0.0018738715,311,577.54,0.0030593614,1.9335272,0.4824458360671997,29.474842,408.2428035736084,0.03310547,131072,131072,542.24048636
65,-0.002808263,307,583.01,0.0030896708,1.9400654,0.21075856685638428,33.381676,414.8104612827301,0.03618164,133120,133120,547.99328363
66,-0.0009347623,304,592.9,0.0023767285,1.9495261,0.7574521452188492,25.872458,421.473596572876,0.023388673,135168,135168,557.5055082
67,-0.0011164414,303,600.06,0.0021467141,1.9519465,0.867743045091629,21.642818,428.2033112049103,0.023339843,137216,137216,564.45057585
68,-0.004022977,310,604.31,0.0035831928,1.9713795,0.8961510136723518,19.53041,434.9487090110779,0.041503906,139264,139264,568.5308854499999
69,-0.0016458897,303,610.37,0.0019481189,1.9758809,0.8722766488790512,19.879887,441.55108094215393,0.016308594,141312,141312,574.1711107000001
70,-0.0014668027,312,612.47,0.0009216429,1.9685526,0.8789936006069183,19.213352,448.2996973991394,0.0065429686,143360,143360,575.9617195800001
71,-0.003104393,307,614.47,0.0025553594,1.9776573,0.735309511423111,25.735285,454.8649306297302,0.026464844,145408,145408,578.15255774
72,-0.002668036,307,616.4,0.0016598061,1.9905453,0.8725671768188477,19.052008,461.51616287231445,0.015136719,147456,147456,579.9067706999999
73,-0.0014604045,306,623.29,0.0024166931,1.9992743,0.783203974366188,21.308285,468.1741888523102,0.023388673,149504,149504,586.17934622
74,-0.0018859636,315,630.25,0.0015679704,1.995923,0.4633740782737732,22.74902,474.850088596344,0.0125,151552,151552,592.73846649
75,-0.0028689122,311,636.35,0.0030663812,1.9929434,0.7413633167743683,23.473413,481.3451545238495,0.029882813,153600,153600,598.9051217100001
76,-0.0016515192,308,638.58,0.0023429864,1.9958277,0.7059888243675232,22.211695,487.9212214946747,0.021533202,155648,155648,600.96629429
77,-0.0045922915,304,648.63,0.0026637353,2.0143347,0.8946268558502197,16.130299,494.55619168281555,0.02998047,157696,157696,610.45498567
78,-0.001274479,307,661.05,0.0024472422,2.041928,0.6344931721687317,18.723322,501.27296137809753,0.025244141,159744,159744,622.3483464300001
79,-0.0014300707,307,663.66,0.0020817404,2.0526795,0.535764753818512,20.652462,507.92717456817627,0.019433593,161792,161792,625.2270574600001
80,-0.0031872229,310,667.75,0.002127384,2.065539,0.4043269157409668,26.42579,514.5819208621979,0.019824218,163840,163840,629.3713719
81,-0.0039668763,310,674.26,0.0028530096,2.0803313,0.40410274267196655,27.859234,521.1791932582855,0.029882813,165888,165888,636.24775371
82,-0.0030375326,310,683.08,0.0022213806,2.0864651,0.09176552295684814,18.657173,527.7823531627655,0.018164063,167936,167936,644.2360807700001
83,-0.00078980287,305,687.64,0.001773119,2.0856476,0.601094126701355,20.381119,534.3800857067108,0.01796875,169984,169984,648.60633702
84,-0.001824018,307,696.25,0.0023897027,2.094993,0.6904198229312897,17.45232,541.0921821594238,0.024414062,172032,172032,656.8557035599999
85,-0.0006038845,307,710.89,0.0019302052,2.1040711,0.8547025173902512,12.667073,547.7598567008972,0.016357422,174080,174080,670.55910219
86,-0.0017391464,309,714.81,0.0045372588,2.108139,0.20928508043289185,16.618217,554.4294276237488,0.054248046,176128,176128,674.34759278
87,-0.0019751051,309,725.63,0.0020767315,2.1125457,0.4483073949813843,15.51772,561.0544731616974,0.01850586,178176,178176,684.2993868199998
88,-0.0026644676,308,747.67,0.002997368,2.1178017,0.7002779841423035,17.45671,567.6802017688751,0.026416015,180224,180224,705.21297399
89,-0.00088188314,309,753.19,0.0022786984,2.1192865,0.23492485284805298,15.61512,574.3140490055084,0.022509765,182272,182272,710.26833432
90,-0.00028873532,302,761.74,0.001998072,2.1279051,0.2845379710197449,16.86684,580.9377360343933,0.016357422,184320,184320,718.50923509
91,-0.0056959987,304,781.18,0.0037341167,2.138686,0.2367885708808899,22.921984,587.7062087059021,0.04511719,186368,186368,737.37175452
92,-0.005036808,305,792.05,0.0032316507,2.1499343,0.3476928472518921,13.86763,594.4429726600647,0.034716796,188416,188416,747.61747507
93,-0.0013595752,300,795.26,0.0021878912,2.163182,0.5355062782764435,12.83127,601.1466863155365,0.020507812,190464,190464,750.7000539799999
94,-0.0023846838,299,811.2,0.003219671,2.1600509,0.17867892980575562,16.472073,607.9638774394989,0.032470703,192512,192512,765.7505302600001
95,-0.008238494,302,825.6,0.0077829883,2.1722577,0.5362569689750671,16.987715,614.799551486969,0.10249023,194560,194560,779.33050555
96,-0.0026504272,300,835.49,0.003874973,2.2054353,0.5645407438278198,11.9088,621.5637700557709,0.046289064,196608,196608,788.84743582
97,-0.0015320822,301,849.51,0.0025170622,2.2239869,0.5198571979999542,12.729082,628.3751466274261,0.024609376,198656,198656,801.92858252
98,-0.0021456787,298,869.63,0.0029226823,2.230595,0.679021805524826,14.715357,635.1693391799927,0.03305664,200704,200704,821.15589857
99,-0.0017351521,301,881.76,0.0030213702,2.2470474,0.0010998845100402832,16.297215,642.0361175537109,0.031396486,202752,202752,832.90361419
100,-0.0026765808,301,885.46,0.0059078066,2.2519937,0.6822904348373413,9.475265,648.840639591217,0.08095703,204800,204800,836.4148398399999
101,-0.0004433292,299,896.0,0.003359434,2.2510448,0.9518207311630249,8.271513,655.6489205360413,0.033203125,206848,206848,846.46827607
102,-0.0009564354,296,912.31,0.0022460152,2.2552948,0.00941091775894165,14.638824,662.4819087982178,0.021337891,208896,208896,861.8586552600001
103,-0.0009886664,301,925.97,0.00142308,2.2647133,0.3763688802719116,21.91025,669.3859102725983,0.013916016,210944,210944,874.70042714
104,-0.000273839,300,926.4,0.0029546851,2.2684903,0.777598649263382,9.460443,676.1732568740845,0.030371094,212992,212992,874.7756143
105,0.00038653862,304,945.29,0.003887729,2.2683053,0.6572244763374329,14.340238,682.9875452518463,0.04511719,215040,215040,893.07812263
106,-0.0031034502,300,945.85,0.004754142,2.2852547,0.7780630737543106,7.75692,689.722588300705,0.056640625,217088,217088,893.57289009
107,-0.0054015457,299,959.74,0.0052259574,2.2949848,0.978239506483078,3.7713084,696.5334808826447,0.0671875,219136,219136,906.12921049
108,-0.0017609127,298,973.66,0.0017578291,2.2965932,0.7532298564910889,18.166477,703.3827052116394,0.018359374,221184,221184,918.3054246200002
109,-0.00056855974,301,986.89,0.001989454,2.2978425,-0.0028879642486572266,15.200493,710.2374386787415,0.020996094,223232,223232,930.6501596800001
110,-0.0032270916,304,993.42,0.0036010568,2.2982764,0.7674687802791595,9.431908,717.0324182510376,0.042529296,225280,225280,937.34498699
111,-0.0028146475,303,994.98,0.003143577,2.300301,0.7454468905925751,10.89116,723.7677526473999,0.028125,227328,227328,938.78319652
112,-0.0012302255,304,1010.38,0.0025386366,2.3071136,0.7386087775230408,13.042081,730.5135540962219,0.026611328,229376,229376,953.0532422399999
113,-6.701557e-05,300,1023.28,0.0014370182,2.3159904,0.6990673243999481,9.500633,737.2327156066895,0.011328125,231424,231424,965.25907867
114,0.00034663331,300,1036.6,0.0037051428,2.3239343,0.10283541679382324,14.190771,744.0437068939209,0.042578124,233472,233472,977.7509203199999
115,-0.00096160686,302,1052.24,0.0032272884,2.3250842,0.0006559491157531738,14.96992,750.8596994876862,0.035058595,235520,235520,992.37003169
116,-0.0027674637,299,1058.37,0.003312471,2.3268974,0.8211836069822311,9.112719,757.6215934753418,0.03300781,237568,237568,997.70734891
117,-0.0014686999,299,1070.17,0.004416699,2.3256593,0.05780380964279175,14.836809,764.4607737064362,0.05126953,239616,239616,1008.44090151
118,-0.0002579717,303,1087.01,0.0016892999,2.3248832,0.09025430679321289,14.847616,771.3052830696106,0.009863282,241664,241664,1024.3534553700001
119,-0.0044082473,306,1102.26,0.0046898746,2.3355982,0.18226397037506104,13.72193,778.0479214191437,0.052001953,243712,243712,1038.74805999
120,-0.0028990505,301,1114.52,0.0039670137,2.3491907,-0.002074122428894043,15.332434,784.7268455028534,0.04321289,245760,245760,1050.3752797
121,0.00013918114,303,1131.25,0.0029327024,2.3480072,0.023898959159851074,15.577022,791.5219297409058,0.031542968,247808,247808,1066.4523062600001
122,-0.0043735756,301,1142.9,0.0037694052,2.3732803,0.11875265836715698,14.75065,798.2813801765442,0.044433594,249856,249856,1077.3287793
123,-0.0026355623,303,1157.11,0.0040293587,2.4008107,0.06699126958847046,15.256796,805.0838027000427,0.046923827,251904,251904,1090.87808322
124,-0.001208678,303,1171.98,0.0030720772,2.4029775,-0.002675652503967285,15.271339,811.8424746990204,0.034082033,253952,253952,1105.00813324
125,-0.0014589344,301,1182.98,0.002829898,2.4035656,0.006447434425354004,15.426845,818.6012094020844,0.03100586,256000,256000,1115.53365561
126,-0.0026369393,300,1199.24,0.003152009,2.403593,0.008905291557312012,15.678487,825.4081890583038,0.03173828,258048,258048,1130.9951993299999
127,-0.0016056439,299,1215.39,0.0028330921,2.3992634,0.005818426609039307,15.384926,832.2358176708221,0.030322265,260096,260096,1146.37053698
128,-0.006317889,301,1231.81,0.0068569803,2.4057639,0.06262272596359253,14.70445,839.0751407146454,0.09291992,262144,262144,1161.6924090999998
129,-0.0011029006,300,1248.91,0.0022478295,2.4183345,-9.942054748535156e-05,15.652391,845.8600032329559,0.02211914,264192,264192,1177.63649753
130,-0.0023981943,303,1261.25,0.003160286,2.4278042,0.009367644786834717,15.551775,852.6871380805969,0.035009764,266240,266240,1189.3659090200001
131,-0.0022999684,303,1278.46,0.0028704205,2.4356205,0.004356861114501953,16.098143,859.4441690444946,0.032128908,268288,268288,1205.5084757800003
132,-0.0038498286,304,1287.71,0.0043305764,2.4364438,-0.0026848316192626953,15.848047,866.2053356170654,0.053710938,270336,270336,1214.2037298500002
133,-0.0072597526,301,1302.08,0.0045077675,2.4466808,0.699312835931778,8.096121,872.9283149242401,0.051953126,272384,272384,1227.6580339700001
134,-0.0012162339,299,1318.68,0.0025423602,2.4708266,-0.002991318702697754,16.327284,879.7343497276306,0.024169922,274432,274432,1243.58803976
135,-0.0027082164,301,1336.99,0.002341895,2.4825819,-0.006063938140869141,16.675917,886.5765991210938,0.020751953,276480,276480,1261.15910624
136,-0.0020764417,298,1352.2,0.0034417708,2.495369,0.002043604850769043,16.695065,893.365293264389,0.039453126,278528,278528,1275.9530242499998
137,0.0005357148,300,1366.88,0.0014095987,2.5144107,-0.002730727195739746,16.97368,900.2271144390106,0.007470703,280576,280576,1290.2609014500001
138,-0.0003149816,297,1383.15,0.001103478,2.5115938,0.0015976428985595703,16.683224,907.0546064376831,0.0033203126,282624,282624,1306.06453123
139,-0.0037592822,300,1399.71,0.0047101127,2.5115457,0.14542990922927856,15.627495,913.9355235099792,0.061035156,284672,284672,1321.79459695
140,-0.00035279774,299,1413.41,0.0007638349,2.5264711,-0.007217049598693848,16.869076,920.7487468719482,0.005419922,286720,286720,1334.5817483300002
141,-0.0008860252,299,1426.7,0.002350463,2.5353246,0.026893019676208496,16.291096,927.5905377864838,0.022949219,288768,288768,1347.3572800200002
142,-0.0021459996,300,1440.88,0.0037012685,2.5373232,0.1324378252029419,16.014809,934.4233269691467,0.043115236,290816,290816,1360.5263573600002
143,-0.00032732164,298,1455.44,0.00199302,2.5374417,0.01672428846359253,17.182018,941.2345240116119,0.015283203,292864,292864,1374.2894387800002
144,0.00056651473,299,1469.78,0.0019224802,2.5313008,0.0463794469833374,16.89817,948.0922663211823,0.016308594,294912,294912,1387.3420365900001
145,-0.0017372593,295,1485.22,0.0020188212,2.53157,0.03162038326263428,17.18176,954.9272313117981,0.015039062,296960,296960,1401.99412305
146,-0.0028693255,299,1494.37,0.00407782,2.5351558,0.09288734197616577,16.382532,961.850647687912,0.047558594,299008,299008,1411.13137355
147,-0.0005583804,303,1510.27,0.0018678993,2.5357397,0.028905928134918213,17.75765,968.6866936683655,0.013671875,301056,301056,1426.25869492
148,-0.0016222817,302,1525.05,0.001905806,2.537885,0.3631172776222229,15.064853,975.4420473575592,0.014404297,303104,303104,1439.84990767
149,-0.0022790742,300,1537.13,0.0026776528,2.5422223,0.04401814937591553,17.616047,982.2194566726685,0.029150391,305152,305152,1450.669605
150,-0.0019696662,299,1550.11,0.0036233023,2.543672,0.007793128490447998,17.804375,989.0343554019928,0.043164063,307200,307200,1463.00260687
151,-0.0012661375,300,1557.95,0.0030805832,2.5346534,0.1681721806526184,16.255697,995.8786396980286,0.034863282,309248,309248,1470.44947155
152,-0.0032236234,295,1573.35,0.0021350603,2.5317314,0.024671554565429688,17.858744,1002.6924638748169,0.016845703,311296,311296,1485.22528071
153,0.00010588112,299,1587.03,0.0013722804,2.5243468,0.015693604946136475,18.219456,1009.6336817741394,0.008496094,313344,313344,1498.56070613
154,-0.0022897802,296,1601.61,0.0026569804,2.5143354,-0.00279998779296875,18.389513,1016.4788963794708,0.031982422,315392,315392,1512.68982928
155,-0.0027942408,300,1616.73,0.0037721065,2.5202749,0.7422355115413666,8.278654,1023.386328458786,0.04135742,317440,317440,1527.0072912299997
156,-0.0015453699,297,1630.09,0.0047550746,2.5135262,0.039307475090026855,17.887913,1030.2012312412262,0.050830077,319488,319488,1539.6248594899996
157,-0.0010919472,297,1639.32,0.002310917,2.5153441,0.06646430492401123,18.035383,1037.089596271515,0.020654297,321536,321536,1548.4831742799997
158,-0.003182131,297,1654.71,0.002599202,2.5228763,0.006219387054443359,18.430714,1043.9855604171753,0.025341798,323584,323584,1563.3664451399998
159,-0.0012673544,296,1667.63,0.00244143,2.5167594,0.04764050245285034,18.311382,1050.861737728119,0.022949219,325632,325632,1575.7513713899998
160,-0.00309255,297,1679.02,0.0042964565,2.510736,0.218317449092865,16.585388,1057.779290676117,0.042773437,327680,327680,1587.04043011
161,-0.0029443635,299,1687.52,0.003890771,2.5136511,0.17353838682174683,17.447151,1064.6606273651123,0.043945312,329728,329728,1595.1163081999998
162,-0.0002223133,297,1700.31,0.0021407711,2.5210648,0.062132418155670166,18.86513,1071.498214483261,0.020117188,331776,331776,1607.51172717
163,-0.00015563407,302,1712.76,0.0015821385,2.5277405,0.06513363122940063,18.387997,1078.3809275627136,0.010449219,333824,333824,1619.24835235
