fps,time_elapsed,ep_len_mean,value_loss,approxkl,clipfrac,explained_variance,policy_entropy,n_updates,total_timesteps,serial_timesteps,policy_loss,ep_reward_mean
279,3.337860107421875e-06,532.0,4.7850213,0.0028556206,0.029003907,-0.0071752071380615234,1.4307752,1,2048,2048,-0.0028950856,101.814549
296,7.333308458328247,626.0,3.3444228,0.0024644423,0.019970704,-0.1517179012298584,1.4408455,2,4096,4096,-0.0025024982,117.09793575
288,14.232369422912598,659.3333333333334,3.2734246,0.005255215,0.058496095,0.09357082843780518,1.4254978,3,6144,6144,-0.0039115394,118.503715
283,21.341938972473145,541.3333333333334,3.2104385,0.0020328737,0.014013672,0.18930542469024658,1.4056096,4,8192,8192,-0.0017603466,97.10802013333334
280,28.564175605773926,502.9,2.739495,0.002567538,0.027441407,0.37083524465560913,1.3976126,5,10240,10240,-0.0041407403,89.2817092
276,35.87661528587341,494.4347826086956,2.279243,0.002506864,0.024267578,0.5583149194717407,1.4134266,6,12288,12288,-0.0022176008,86.98188147826086
287,43.327810764312744,488.82758620689657,2.296962,0.0034131154,0.03745117,0.5541580021381378,1.4271133,7,14336,14336,-0.0030810712,84.86942831034482
284,50.448949098587036,437.3783783783784,2.477321,0.0018422587,0.012011719,0.5733962953090668,1.4353224,8,16384,16384,-0.0005139361,76.43179856756755
291,57.645975828170776,418.52272727272725,2.0567746,0.002925903,0.029589843,0.7553665637969971,1.4442161,9,18432,18432,-0.0016713036,73.44331579545455
293,64.67371821403503,392.28846153846155,1.6117804,0.002255611,0.025537109,0.8069285899400711,1.4607894,10,20480,20480,-0.0020951093,68.91096286538462
285,71.65382289886475,405.1296296296296,1.6732231,0.0038046446,0.046923827,0.7932784706354141,1.4705327,11,22528,22528,-0.0032523472,70.84973329629631
297,78.8393018245697,435.0,1.658056,0.0039790305,0.042773437,0.841018334031105,1.469579,12,24576,24576,-0.0019292014,75.70608996363637
299,85.73545455932617,463.80357142857144,1.6367464,0.0052189277,0.0647461,0.6871655285358429,1.467408,13,26624,26624,-0.0034233048,80.73794144642856
288,92.56518959999084,491.5964912280702,1.6730344,0.0040473104,0.046240233,0.47388148307800293,1.4633601,14,28672,28672,-0.0034666178,86.0789884385965
288,99.67185544967651,518.4310344827586,1.6172909,0.0035026975,0.038330078,0.4227083921432495,1.456013,15,30720,30720,-0.0019967866,91.26667412068966
270,106.7686276435852,544.3559322033898,1.6266267,0.0021825102,0.013427734,0.276969313621521,1.4540987,16,32768,32768,-7.582594e-05,96.64747866101696
283,114.33694767951965,569.4166666666666,1.5788153,0.0020272858,0.017333984,-0.02857184410095215,1.4580548,17,34816,34816,-0.00014725231,101.9969956
269,121.55155539512634,593.655737704918,1.4045565,0.0020801134,0.019189453,0.09195190668106079,1.4685781,18,36864,36864,8.927062e-05,107.25394626229509
273,129.14669179916382,617.1129032258065,1.4892356,0.0033077963,0.03515625,0.07949745655059814,1.4756137,19,38912,38912,-0.0011994916,112.35612090322581
283,136.63457775115967,639.8253968253969,1.3614614,0.002047723,0.015283203,0.05261194705963135,1.4794624,20,40960,40960,-0.00028660166,117.60304023809525
