serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
53248,-0.6872698068618774,53248,0.0025015452,1.4388194,0.019726563,238,-0.001133024,26,259.5687005519867,1.1829714,2137.304347826087,440.46516639130425
55296,0.1745525598526001,55296,0.0026499438,1.4293722,0.027734375,238,-0.0032024775,27,268.15062975883484,1.0227965,2137.304347826087,440.46516639130425
57344,0.19089281558990479,57344,0.0032199386,1.4324796,0.032470703,198,-0.004129979,28,276.7270040512085,1.2910029,2304.0416666666665,484.08672683333333
59392,0.5313991606235504,59392,0.0035232038,1.439572,0.03754883,238,-0.0044860877,29,287.05959010124207,1.2359105,2304.0416666666665,484.08672683333333
61440,0.566822737455368,61440,0.0031659051,1.4331858,0.029589843,198,-0.0033056557,30,295.64834427833557,1.6480322,2375.84,506.39499996
63488,-0.15067613124847412,63488,0.0024236063,1.4116542,0.022216797,239,-0.0018977884,31,305.98452258110046,2.2651584,2375.84,506.39499996
65536,-0.28314268589019775,65536,0.0029323609,1.4056587,0.029589843,238,-0.0035236739,32,314.5501129627228,1.5959771,2375.84,506.39499996
67584,0.08684676885604858,67584,0.0032745157,1.411921,0.034716796,238,-0.0042076944,33,323.13846826553345,1.6792223,2375.84,506.39499996
69632,0.1582891345024109,69632,0.004752365,1.420633,0.052441407,183,-0.0034037405,34,331.7250394821167,1.2422047,2599.423076923077,576.0663536153845
71680,0.5770795047283173,71680,0.004820821,1.4070797,0.05341797,195,-0.005956666,35,342.8963463306427,1.878231,2579.1481481481483,575.7756944074073
73728,0.05780583620071411,73728,0.0023386653,1.3893018,0.019970704,238,-0.0007187946,36,353.38073348999023,7.3363295,2579.1481481481483,575.7756944074073
75776,0.15196865797042847,75776,0.004440424,1.3827717,0.045703124,194,-0.0032541484,37,361.9624729156494,3.485403,2634.4285714285716,607.5322404642857
77824,0.2248651385307312,77824,0.0032665092,1.3780549,0.036474608,187,-0.0036039255,38,372.5067811012268,5.5295005,2614.344827586207,609.8010034482759
79872,0.01961684226989746,79872,0.002269261,1.366816,0.01689453,187,-0.0016275415,39,383.4210457801819,4.1922693,2594.1666666666665,614.5821223333334
81920,0.0499192476272583,81920,0.0030547732,1.3598237,0.032128908,203,-0.005655243,40,394.3649401664734,4.9562387,2579.3225806451615,619.8437436451613
83968,0.06804949045181274,83968,0.0020627424,1.3620203,0.017626952,188,-0.0013454244,41,404.4067270755768,4.665328,2560.03125,622.514617875
86016,0.1396040916442871,86016,0.0038518365,1.3682042,0.04082031,238,-0.0027012862,42,415.2486174106598,7.533704,2560.03125,622.514617875
88064,0.12826919555664062,88064,0.0029715127,1.3730977,0.028955078,238,-0.002513113,43,423.8319413661957,9.69792,2560.03125,622.514617875
90112,0.11673504114151001,90112,0.002660168,1.3710243,0.025341798,238,-0.00091121334,44,432.4182026386261,10.327592,2560.03125,622.514617875
