ep_len_mean,n_updates,fps,value_loss,total_timesteps,time_elapsed,policy_entropy,approxkl,explained_variance,ep_reward_mean,serial_timesteps,clipfrac,policy_loss
185.91,38,86,9.06373e-07,77824,692.5282163619995,1.4211524,0.004036957,-0.9845184087753296,0.0,77824,0.043164063,-0.0043740543
185.9,39,97,7.613268e-07,79872,716.1277287006378,1.4137194,0.00636555,-1.3345744609832764,0.0,79872,0.08730469,-0.0064928965
190.59,40,99,3.3931349e-06,81920,737.1206002235413,1.4109236,0.0027216638,-0.7839922904968262,0.0,81920,0.027978515,-0.0020365657
189.52,41,79,1.0754852e-06,83968,757.6023290157318,1.3969464,0.002499878,-2.689190149307251,0.0,83968,0.0203125,-0.001515805
190.42,42,94,1.1972423e-06,86016,783.3166573047638,1.3915589,0.0032100796,-1.2692406177520752,0.0,86016,0.03618164,-0.0030428204
195.81,43,115,8.299058e-06,88064,804.9316680431366,1.370645,0.0044619767,-1.1166892051696777,0.0,88064,0.047705077,-0.0075783604
199.05,44,93,1.1455968e-05,90112,822.5921211242676,1.3541648,0.0039057329,-1.932187795639038,0.0,90112,0.04584961,-0.007109447
192.38,45,104,7.243332e-06,92160,844.4338893890381,1.3541874,0.005418045,-4.955916404724121,0.0,92160,0.06416015,-0.004803004
192.68,46,93,4.3964346e-06,94208,864.0536971092224,1.3589027,0.005166748,-2.2792325019836426,0.0,94208,0.06367187,-0.0027145166
193.01,47,107,9.887909e-07,96256,885.9222266674042,1.3734704,0.004320176,-0.6302931308746338,0.0,96256,0.04921875,-0.004974928
196.96,48,103,3.7374743e-06,98304,905.0594532489777,1.3792459,0.004443051,-1.0509192943572998,0.0,98304,0.048046876,-0.0030688443
198.97,49,127,4.517626e-06,100352,924.80251288414,1.374046,0.0049693673,-1.0304315090179443,0.0,100352,0.055615235,-0.004276363
208.51,50,175,1.8291666e-05,102400,940.8353021144867,1.3774502,0.0037036873,0.2212965488433838,0.0,102400,0.041064452,-0.0045780404
219.84,51,174,1.853818e-05,104448,952.5201003551483,1.3781534,0.0033293846,0.3001168966293335,0.0,104448,0.039794922,-0.0054720095
233.92,52,178,1.2030647e-05,106496,964.2577912807465,1.3751934,0.0046846145,0.28078126907348633,0.0,106496,0.05644531,-0.005531466
249.04,53,198,1.368451e-05,108544,975.7460227012634,1.3755771,0.003827064,-0.3620882034301758,0.0,108544,0.0440918,-0.0043625347
264.6,54,223,8.394413e-06,110592,986.0881271362305,1.3826334,0.00506485,-0.49981892108917236,0.0,110592,0.062109374,-0.0070392587
276.28,55,289,1.0963581e-05,112640,995.271511554718,1.3685634,0.004223869,-0.18005549907684326,0.0,112640,0.04194336,-0.0035931629
292.79,56,231,3.6079316e-06,114688,1002.3480839729309,1.3451806,0.0040372633,-0.3153430223464966,0.0,114688,0.044140626,-0.004560513
304.76,57,270,5.595678e-06,116736,1011.1832027435303,1.3324317,0.0049578315,-0.2005230188369751,0.0,116736,0.05673828,-0.0053174417
324.79,58,167,4.3880887e-06,118784,1018.7419257164001,1.3247963,0.003500132,0.02648603916168213,0.0,118784,0.03569336,-0.0034717147
341.37,59,148,8.930191e-06,120832,1030.9937076568604,1.3144771,0.0026172507,-0.0971367359161377,0.0,120832,0.026660156,-0.003515759
350.72,60,222,3.8038488e-06,122880,1044.742576122284,1.3096482,0.0058914376,-0.47551000118255615,0.0,122880,0.07758789,-0.0069395835
350.34,61,114,3.1814467e-05,124928,1053.9481093883514,1.3065475,0.0045841,-0.5301645994186401,0.0,124928,0.056591798,-0.003993111
356.31,62,93,9.73457e-07,126976,1071.8856043815613,1.2991425,0.005399777,-0.679479718208313,0.0,126976,0.06538086,-0.0045922985
360.5,63,112,6.805727e-07,129024,1093.788442850113,1.2903502,0.006180384,0.1068105697631836,0.0,129024,0.08276367,-0.0074918903
364.54,64,112,1.6591646e-06,131072,1111.923199415207,1.2793753,0.0033826982,-0.22447562217712402,0.0,131072,0.03691406,-0.0017822856
365.3,65,91,3.1804876e-07,133120,1130.2086248397827,1.269588,0.0042921943,-1.0831210613250732,0.0,133120,0.050683595,-0.0047553536
361.82,66,99,1.7064287e-05,135168,1152.6743912696838,1.2613156,0.006269922,-4.417990207672119,0.0,135168,0.080078125,-0.005508005
359.15,67,99,5.9822963e-07,137216,1173.3554499149323,1.2440714,0.0048717298,-0.7230201959609985,0.0,137216,0.053955078,-0.0053762016
319.95,68,101,3.317609e-07,139264,1193.9427824020386,1.2370964,0.007097044,-0.03050220012664795,0.0,139264,0.094335936,-0.006178468
282.61,69,95,3.8397047e-06,141312,1214.0438032150269,1.2257811,0.00467281,-0.2086576223373413,0.0,141312,0.052099608,-0.00494229
242.63,70,101,3.3578704e-06,143360,1235.3862142562866,1.212528,0.0034949903,-0.4683603048324585,0.0,143360,0.035986327,-0.002405827
220.73,71,114,4.9768973e-06,145408,1255.577874660492,1.212078,0.0036276751,-0.010951638221740723,0.0,145408,0.040625,-0.0021601738
216.41,72,113,6.184263e-07,147456,1273.4259853363037,1.2118561,0.004369937,0.28759437799453735,0.0,147456,0.05214844,-0.0026156025
218.61,73,127,5.5393193e-06,149504,1291.4009447097778,1.2114803,0.0034738302,0.32847851514816284,0.0,149504,0.038720705,-0.0043841423
220.01,74,109,1.867335e-05,151552,1307.4452538490295,1.2136596,0.004724931,0.4995092749595642,0.0,151552,0.058691405,-0.004474678
224.64,75,119,1.5151716e-06,153600,1326.0911190509796,1.2096833,0.0038159564,0.5501475036144257,0.0,153600,0.039746094,-0.0039270236
230.66,76,162,1.3535744e-06,155648,1343.1900057792664,1.2011793,0.004144678,0.5528115928173065,0.0,155648,0.04472656,-0.0024800445
