approxkl,time_elapsed,ep_len_mean,total_timesteps,policy_entropy,fps,explained_variance,policy_loss,clipfrac,ep_reward_mean,serial_timesteps,value_loss,n_updates
0.001968647,2.6226043701171875e-06,412.3333333333333,2048,1.4204757,404,-0.15243756771087646,-0.0017247451,0.013623047,73.13760633333334,2048,4.1432676,1
0.003315291,5.068808317184448,663.0,4096,1.4151356,409,-0.21228110790252686,-0.0041487785,0.031103516,119.86200283333334,4096,4.192977,2
0.0033160604,10.070104122161865,610.3333333333334,6144,1.4138335,395,-0.10673749446868896,-0.0037015812,0.03930664,104.87699122222222,6144,2.4097023,3
0.0030853094,15.248522996902466,555.3571428571429,8192,1.416347,387,0.11108815670013428,-0.0040458897,0.031933594,86.53646735714285,8192,1.447895,4
0.0024981103,20.535640478134155,548.1666666666666,10240,1.4081433,418,0.04339700937271118,-0.0015721808,0.024414062,84.39509355555555,10240,2.4622312,5
0.0027175553,25.435408115386963,552.6818181818181,12288,1.4075419,406,0.08568912744522095,-0.0022533245,0.022949219,85.62010763636364,12288,2.3606734,6
0.0032524816,30.470263481140137,548.32,14336,1.4095514,412,0.010954678058624268,-0.0033323995,0.03569336,84.61095519999999,14336,2.3378692,7
0.003379669,35.430827379226685,545.9333333333333,16384,1.4217049,413,0.2951674461364746,-0.004025028,0.035546876,83.80235793333333,16384,1.8497946,8
0.0035308823,40.382620334625244,562.1875,18432,1.4432791,386,0.38687729835510254,-0.0029783377,0.037353516,87.3270446875,18432,2.455975,9
0.0035312772,45.68789553642273,607.2424242424242,20480,1.4486793,407,0.4326675534248352,-0.0026740625,0.038330078,93.7095797878788,20480,1.7069728,10
0.0030786511,50.72055172920227,617.4166666666666,22528,1.4401342,400,0.43416935205459595,-0.0020318164,0.030761719,95.75739213888889,22528,1.9860013,11
0.003111123,55.83146524429321,656.1081081081081,24576,1.4256144,412,0.5040925741195679,-0.0026798737,0.030859375,101.5814468108108,24576,1.6921847,12
0.0050236904,60.79296851158142,692.7631578947369,26624,1.410999,411,0.4502227306365967,-0.0042473665,0.06040039,107.08267565789474,26624,1.2767467,13
0.003175762,65.76737928390503,727.5384615384615,28672,1.4052196,425,0.4878951907157898,-0.0021992116,0.027001953,111.39108884615383,28672,1.5102661,14
0.0044264686,70.58564472198486,760.575,30720,1.4056504,427,0.46359169483184814,-0.0026636529,0.05415039,116.4640341,30720,1.3151729,15
0.0021939862,75.38303804397583,792.0,32768,1.4146568,382,0.4187030792236328,-0.0006999779,0.021386718,121.06318502439025,32768,1.3594778,16
0.004436142,80.73903894424438,790.75,34816,1.4240849,403,0.5321273505687714,-0.0044504665,0.052978516,120.69086777272729,34816,1.0864115,17
0.0032890185,85.82055449485779,818.7111111111111,36864,1.4214298,389,0.3436136841773987,-0.0014957276,0.033251952,124.66719564444445,36864,1.0537539,18
0.003741106,91.07664513587952,845.4565217391304,38912,1.4118264,366,0.5663991868495941,-0.0019046109,0.04042969,127.37250632608696,38912,0.54706323,19
0.0026008817,96.66085076332092,871.063829787234,40960,1.4061531,420,0.4962945580482483,-0.00091534556,0.022998046,130.8593376382979,40960,0.87362325,20
0.0036101155,101.5284173488617,895.6041666666666,43008,1.3962836,399,0.5865875780582428,-0.0019462301,0.03754883,135.46039572916666,43008,1.1901909,21
0.004348898,106.65773105621338,919.1428571428571,45056,1.4019961,394,0.6845390200614929,-0.003321528,0.053613283,137.48619973469388,45056,0.39449713,22
0.003144636,111.84766840934753,941.74,47104,1.4127123,383,0.5734876096248627,-0.0021182226,0.034472656,141.21750886,47104,0.9376367,23
